round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7118925955146551,0.353515625,0.28354978354978355,0.695430338382721,0.9843622619135848,0.9787234042553191,0.1796875,0.30363036303630364,0.6377079280614943,0.22682776099881147,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5066375732421875,3035760,0.19587934484547542,0.02054670528602462,0.88671875,0.04016277423920736,0.6377079280614943,0.22682776099881147,0.8174813024099116,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7104006819427013,0.3323567708333333,0.2656641604010025,0.6948019862174988,0.984436374416364,0.9107142857142857,0.19921875,0.3269230769230769,0.6403757873290776,0.24686537976764553,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5054977536201477,3035760,0.25072259690209736,0.020533281432463992,0.82421875,0.040068363083934674,0.6403757873290776,0.24686537976764553,0.7603686635944701,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7093746066093445,0.3173828125,0.26187961985216474,0.6948320865631104,0.9847328244274809,1.0,0.1953125,0.32679738562091504,0.6373455442131903,0.24874078796810023,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057412981987,3035760,0.24197732157414956,0.019838212634822803,0.8046875,0.0387218045112782,0.6373455442131903,0.24874078796810023,0.7689053410893707,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.707898810505867,0.3235677083333333,0.2604982206405694,0.6949833631515503,0.9842140369080263,0.8909090909090909,0.19140625,0.31511254019292606,0.6354130762729471,0.23452585888231356,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5064631700515747,3035760,0.24397835914918847,0.019425920556683098,0.78515625,0.037913797981703294,0.6354130762729471,0.23452585888231356,0.7664878748961245,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7068898323923349,0.33984375,0.2603938730853392,0.6951817274093628,0.9841399244052471,0.9038461538461539,0.18359375,0.3051948051948052,0.6352621321862959,0.22827321648902965,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5080080032348633,3035760,0.2499814718743052,0.01929824561403509,0.7734375,0.03765690376569038,0.6352621321862959,0.22827321648902965,0.7601420261388532,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7054542526602745,0.361328125,0.2590634441087613,0.6952928304672241,0.9832505743718966,0.7272727272727273,0.1875,0.2981366459627329,0.6372925736099571,0.22663694984379812,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5085742473602295,3035760,0.2748091603053435,0.01994962216624685,0.7734375,0.03889598271289657,0.6372925736099571,0.22663694984379812,0.734834176928307,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7043502274900675,0.3876953125,0.2597402597402597,0.695353090763092,0.9842881494108056,1.0,0.171875,0.29333333333333333,0.6397897170336935,0.22646421429824662,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5119131803512573,3035760,0.3050470614392648,0.020401724681880323,0.7578125,0.039733742959549415,0.6397897170336935,0.22646421429824662,0.7037092996902622,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7031689360737801,0.421875,0.26307053941908715,0.6952740550041199,0.9835470243830134,0.7833333333333333,0.18359375,0.2974683544303797,0.6445566286734155,0.22835173047069007,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5114694833755493,3035760,0.3469947380123027,0.021050274325383495,0.734375,0.040927397409382824,0.6445566286734155,0.22835173047069007,0.6604970914859862,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7018533609807491,0.4576822916666667,0.2673702726473175,0.6951410174369812,0.9838434743941303,0.8518518518518519,0.1796875,0.2967741935483871,0.6486597109428118,0.23019921176092725,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5130824446678162,3035760,0.3919069146965093,0.022353082562192043,0.7265625,0.04337180832458902,0.6486597109428118,0.23019921176092725,0.6145652338143084,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7011104617267847,0.4876302083333333,0.26858736059479554,0.6949201822280884,0.984065811902468,0.9019607843137255,0.1796875,0.2996742671009772,0.6528612093469064,0.23179669695174318,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5145502090454102,3035760,0.4350403913140147,0.024157085647849116,0.73046875,0.04676753782668501,0.6528612093469064,0.23179669695174318,0.570673113243182,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
