round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7141159847378731,0.3723958333333333,0.2137030995106036,0.6952139139175415,0.984436374416364,0.9107142857142857,0.19921875,0.3269230769230769,0.6680239338596359,0.25181744579594495,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063503980636597,3035760,0.23960572148521456,0.02188874020263812,0.89453125,0.04273185295764135,0.6680239338596359,0.25181744579594495,0.7730603611090127,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7128053214401007,0.4095052083333333,0.20786026200873362,0.694419264793396,0.9839916993996888,0.75,0.234375,0.35714285714285715,0.6685549678458109,0.28236412488652585,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050855278968811,3035760,0.33854591269547174,0.023419461242440903,0.83203125,0.04555662495989734,0.6685549678458109,0.28236412488652585,0.6709979602628995,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7108590677380562,0.4033203125,0.19428571428571428,0.6942456364631653,0.9849551619358186,0.8441558441558441,0.25390625,0.39039039039039036,0.6550448081136209,0.2930371510909832,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047340989112854,3035760,0.3607796635292374,0.022807617744326606,0.78125,0.0443213296398892,0.6550448081136209,0.2930371510909832,0.6473521190602101,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7094686906784773,0.4108072916666667,0.19196428571428573,0.6942488551139832,0.9843622619135848,0.8813559322033898,0.203125,0.33015873015873015,0.6479716833024854,0.2617997861876611,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057360529899597,3035760,0.36530052619876974,0.02197928653624856,0.74609375,0.04270064833445115,0.6479716833024854,0.2617997861876611,0.6420639117624839,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7078088466078043,0.4339192708333333,0.19303944315545243,0.6942548155784607,0.9845845994219224,0.9615384615384616,0.1953125,0.3246753246753247,0.6440266275402282,0.24696336183715753,0.00015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5074989199638367,3035760,0.38145705180463946,0.022093572778827977,0.73046875,0.042889908256880736,0.6440266275402282,0.24696336183715753,0.6252927400468384,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7060675751417875,0.4638671875,0.19462102689486552,0.6941561102867126,0.9845104869191432,0.9607843137254902,0.19140625,0.31921824104234525,0.6424465100192642,0.24265991708030005,0.00015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5087724924087524,3035760,0.41236196546357373,0.02300136764888723,0.72265625,0.044583684781298955,0.6424465100192642,0.24265991708030005,0.593639042079021,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7046184819191694,0.4928385416666667,0.19938335046248715,0.694013237953186,0.984436374416364,0.96,0.1875,0.3137254901960784,0.6399840409458337,0.24073386603506436,0.00015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5099517107009888,3035760,0.4488253168309494,0.02386951332714494,0.703125,0.0461716044632551,0.6399840409458337,0.24073386603506436,0.5560927702651658,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7030353676527739,0.53125,0.19732441471571907,0.6937087178230286,0.9845104869191432,0.9795918367346939,0.1875,0.31475409836065577,0.638538636964569,0.24091988393633007,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5111618041992188,3035760,0.4922552434595716,0.0251979841612671,0.68359375,0.04860436050548535,0.638538636964569,0.24091988393633007,0.51144519150865,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7013078052550554,0.5680338541666666,0.20108368452739314,0.6932981014251709,0.9843622619135848,0.9411764705882353,0.1875,0.3127035830618892,0.6367948860202463,0.24150199806112785,0.0002266374556168316,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5122736096382141,3035760,0.5328688949825836,0.025874235533950133,0.64453125,0.04975124378109453,0.6367948860202463,0.24150199806112785,0.4692906247639193,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6999011505395174,0.5983072916666666,0.19974059662775617,0.6927990317344666,0.9839916993996888,0.8571428571428571,0.1875,0.3076923076923077,0.6348225794647578,0.24126219875367758,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5132403373718262,3035760,0.5734084340028163,0.027491408934707903,0.625,0.052666227781435156,0.6348225794647578,0.24126219875367758,0.4275893329304223,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
