round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7149592569896153,0.3870442708333333,0.18166014776184267,0.6951622366905212,0.9848069369302601,0.9322033898305084,0.21484375,0.3492063492063492,0.6787322585366775,0.26794385404219195,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062964558601379,3035760,0.2555399095827466,0.021881410569502786,0.875,0.04269513008672448,0.6787322585366775,0.26794385404219195,0.7564402810304449,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.713117927312851,0.4345703125,0.18104667609618105,0.6942979693412781,0.9853998369524939,0.9402985074626866,0.24609375,0.39009287925696595,0.6811609385623631,0.30126965812981493,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5054070949554443,3035760,0.3746387015489513,0.024633976295607717,0.828125,0.047844730309185284,0.6811609385623631,0.30126965812981493,0.6341316008158948,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7111736178398133,0.4391276041666667,0.16723054615756405,0.6940746903419495,0.9851774994441562,0.8589743589743589,0.26171875,0.40119760479041916,0.6649905921847851,0.30442563645595333,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048593282699585,3035760,0.40272734010227523,0.024844720496894408,0.796875,0.04818707924884847,0.6649905921847851,0.30442563645595333,0.6048953690413236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7092384376696178,0.4580078125,0.16874687968047927,0.6939799189567566,0.9837693618913511,0.7402597402597403,0.22265625,0.34234234234234234,0.6556608311456523,0.27545425990109906,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5055103302001953,3035760,0.4179204031720151,0.024411617426139207,0.76171875,0.04730713245997089,0.6556608311456523,0.27545425990109906,0.5887285638739895,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7077129530055182,0.4791666666666667,0.16405433646812956,0.6938942074775696,0.9845104869191432,0.9607843137254902,0.19140625,0.31921824104234525,0.6497161719989424,0.2540639925708638,0.00015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5076907277107239,3035760,0.434818053805677,0.024147727272727272,0.73046875,0.04675,0.6497161719989424,0.2540639925708638,0.5708997506987988,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7061510103089468,0.5094401041666666,0.1641708264004437,0.6937202215194702,0.9842881494108056,0.9074074074074074,0.19140625,0.3161290322580645,0.6463695807679233,0.24571906956220343,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5086956024169922,3035760,0.46720521752019567,0.024550816074612535,0.69921875,0.04743606731151451,0.6463695807679233,0.24571906956220343,0.5372818614489688,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7041108263390405,0.5475260416666666,0.16766467065868262,0.693437397480011,0.9842881494108056,0.9074074074074074,0.19140625,0.3161290322580645,0.6436779658816196,0.2423079197387946,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5098751187324524,3035760,0.5078929815459868,0.025705794947994055,0.67578125,0.0495276266819353,0.6436779658816196,0.2423079197387946,0.49535393215985496,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7026881349938257,0.5843098958333334,0.17346278317152103,0.6930869817733765,0.9839175868969096,0.8305084745762712,0.19140625,0.3111111111111111,0.6406015394821334,0.2411366316787198,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5106279253959656,3035760,0.5462091454828429,0.026472962066182406,0.640625,0.050844830258874596,0.6406015394821334,0.2411366316787198,0.45561683160837047,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7007656497614725,0.6171875,0.181058495821727,0.6926078200340271,0.9842140369080263,0.9056603773584906,0.1875,0.3106796116504854,0.6364538969838331,0.240559648863959,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5124050974845886,3035760,0.5877121470392055,0.028266666666666666,0.62109375,0.0540724366604319,0.6364538969838331,0.240559648863959,0.4129334441338672,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.699107494524547,0.6526692708333334,0.19227857683573052,0.6920228600502014,0.984065811902468,0.8727272727272727,0.1875,0.3086816720257235,0.6319317715022287,0.24023609121403558,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5131486058235168,3035760,0.6203216482620618,0.02939470121833301,0.59375,0.05601621522019532,0.6319317715022287,0.24023609121403558,0.3791644632469593,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
