round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7179101135049548,0.392578125,0.12146892655367232,0.695019543170929,0.9851774994441562,0.8783783783783784,0.25390625,0.3939393939393939,0.7002942450611921,0.3030822534196919,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.506133496761322,3035760,0.2886681983250574,0.022880490296220635,0.875,0.04459486362731435,0.7002942450611921,0.3030822534196919,0.7226713001435371,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7153841989380972,0.47265625,0.12242686890574214,0.6940471529960632,0.9859186244719484,0.9459459459459459,0.2734375,0.42424242424242425,0.7017188444322732,0.3276366841886774,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5052600502967834,3035760,0.4245164159193656,0.02672381192487079,0.828125,0.051776773720845035,0.7017188444322732,0.3276366841886774,0.5832892649391856,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7132972687482834,0.4912109375,0.11943661971830986,0.6937359571456909,0.9853998369524939,0.8554216867469879,0.27734375,0.41887905604719766,0.6802341743314195,0.32104521856949525,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047249794006348,3035760,0.4572000296450011,0.025892138449154816,0.75390625,0.05006485084306096,0.6802341743314195,0.32104521856949525,0.5485381884112714,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7114195687430246,0.5061848958333334,0.11648223645894001,0.6935776472091675,0.9823612243385459,0.576271186440678,0.265625,0.36363636363636365,0.6603464425001888,0.2897645599472713,0.0037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049641728401184,3035760,0.47224486770918256,0.024518631389389114,0.69140625,0.04735785953177257,0.6603464425001888,0.2897645599472713,0.5319936541512428,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7093611270189285,0.5270182291666666,0.11671732522796352,0.6934148073196411,0.984436374416364,0.896551724137931,0.203125,0.33121019108280253,0.6448349087784241,0.26295120294453583,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5073520541191101,3035760,0.4934410435040391,0.02415738463763923,0.65234375,0.046589482494071695,0.6448349087784241,0.26295120294453583,0.5096320918637154,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7069939464330673,0.5602213541666666,0.11641595814257685,0.6931638121604919,0.9838434743941303,0.796875,0.19921875,0.31875,0.6318373392290548,0.2481778559772478,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5081270933151245,3035760,0.526272882235233,0.024783147459727387,0.625,0.04767580452920143,0.6318373392290548,0.2481778559772478,0.4756364735211906,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7046932893139974,0.5966796875,0.11814946619217082,0.6927598118782043,0.9845845994219224,1.0,0.1875,0.3157894736842105,0.6183209823789377,0.24177350039914347,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5113908648490906,3035760,0.5653301711998814,0.02618685588781889,0.60546875,0.05020242914979757,0.6183209823789377,0.24177350039914347,0.43544609805847245,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7028359643050602,0.6341145833333334,0.12324492979719189,0.692250669002533,0.9845104869191432,0.9795918367346939,0.1875,0.31475409836065577,0.6026512745996071,0.2380745323889599,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5122273564338684,3035760,0.603794560142296,0.026247207743857037,0.55078125,0.050106609808102345,0.6026512745996071,0.2380745323889599,0.3951801767772154,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7005859924214227,0.6725260416666666,0.12521739130434784,0.6916238069534302,0.9842881494108056,0.9230769230769231,0.1875,0.3116883116883117,0.5865603103516658,0.2364521198514239,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126703977584839,3035760,0.6406284740235678,0.02698249227600412,0.51171875,0.05126198395617296,0.5865603103516658,0.2364521198514239,0.3568784467779708,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6986492310251509,0.70703125,0.12790697674418605,0.6908566355705261,0.984065811902468,0.8596491228070176,0.19140625,0.31309904153354634,0.5740347546177382,0.2357123096894165,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5128182172775269,3035760,0.6773141628992811,0.028965517241379312,0.4921875,0.0547112462006079,0.5740347546177382,0.2357123096894165,0.3191055375084989,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
