round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7175750689847129,0.400390625,0.1066925315227934,0.6949710249900818,0.9859186244719484,0.9459459459459459,0.2734375,0.42424242424242425,0.7130024682235401,0.32855720190924326,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062840580940247,3035760,0.2991180612169273,0.023214840916157116,0.875,0.045229681978798585,0.7130024682235401,0.32855720190924326,0.712019339729546,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7149669659989222,0.4970703125,0.11461318051575932,0.6938936710357666,0.986437411991403,0.9866666666666667,0.2890625,0.4471299093655589,0.7162755793419959,0.35605545153101886,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505362331867218,3035760,0.45282739198102717,0.026948095048453472,0.79296875,0.052124791372448326,0.7162755793419959,0.35605545153101886,0.5537508498904585,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7129953226872853,0.5231119791666666,0.11050394656952034,0.6934741735458374,0.9862150744830653,0.926829268292683,0.296875,0.44970414201183434,0.7003252306508272,0.354382066175103,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504741370677948,3035760,0.496776106129104,0.027480474399768584,0.7421875,0.05299860529986053,0.7003252306508272,0.354382066175103,0.5079700838558586,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7106448803629194,0.5481770833333334,0.10911424903722722,0.6932060122489929,0.9847328244274809,0.7777777777777778,0.2734375,0.4046242774566474,0.6848544208468687,0.3262130759728775,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051981210708618,3035760,0.5216037945601423,0.027587258039932935,0.70703125,0.053102537773214026,0.6848544208468687,0.3262130759728775,0.4819823222784619,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7086637905665807,0.5843098958333334,0.11134307585247043,0.6929300427436829,0.9848810494330393,0.8714285714285714,0.23828125,0.37423312883435583,0.6700102577056735,0.29925626174822473,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5067785978317261,3035760,0.5511005706662714,0.026912412330778013,0.64453125,0.05166744950681071,0.6700102577056735,0.29925626174822473,0.45070635340333914,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7066344921078,0.6165364583333334,0.11694152923538231,0.6925987601280212,0.9841399244052471,0.7916666666666666,0.22265625,0.3475609756097561,0.6580952656379844,0.2788258823185203,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5075173377990723,3035760,0.5843770844141407,0.028375044060627422,0.62890625,0.05430016863406408,0.6580952656379844,0.2788258823185203,0.41648409760519756,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7043108633586339,0.6507161458333334,0.11832374691865243,0.6921453475952148,0.984065811902468,0.8253968253968254,0.203125,0.32601880877742945,0.6488581662669034,0.2658933025600407,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.508752703666687,3035760,0.6235825983843475,0.030196766023767776,0.60546875,0.057524587121915015,0.6488581662669034,0.2658933025600407,0.37606708468686256,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.702494614464896,0.677734375,0.12078152753108348,0.6916190981864929,0.984436374416364,0.9423076923076923,0.19140625,0.3181818181818182,0.6349323569823223,0.2568465663814563,0.0002266374556168316,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5108861923217773,3035760,0.6553027495738531,0.03074951953875721,0.5625,0.05831139906863737,0.6349323569823223,0.2568465663814563,0.3429024703482662,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7003833821841648,0.7063802083333334,0.122568093385214,0.6909918189048767,0.982731786852442,0.6352941176470588,0.2109375,0.31671554252199413,0.6190162399901791,0.2516328474509293,0.00234192037470726,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5098880529403687,3035760,0.6841325131549693,0.031790556334735855,0.53125,0.0599911777679753,0.6190162399901791,0.2516328474509293,0.3129107803883055,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6984201371669769,0.7311197916666666,0.12684989429175475,0.690256655216217,0.9845104869191432,0.9795918367346939,0.1875,0.31475409836065577,0.6030464146426683,0.24845979984877375,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.513623058795929,3035760,0.7127399392277477,0.03254132231404959,0.4921875,0.061046511627906974,0.6030464146426683,0.24845979984877375,0.28299463624688376,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
