round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7114961892366409,0.33848314606741575,0.28164717844433146,0.695406436920166,0.9842893137690826,1.0,0.17829457364341086,0.3026315789473684,0.6385087885752037,0.221372199245485,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5073763132095337,3035760,0.19653179190751446,0.020999275887038378,0.8992248062015504,0.04104015566955599,0.6385087885752037,0.221372199245485,0.8171653067391962,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7113656122237444,0.323501872659176,0.2793017456359102,0.6948474645614624,0.9844375277901289,1.0,0.18604651162790697,0.3137254901960784,0.6407811910668813,0.2382357355139478,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060610771179199,3035760,0.23314065510597304,0.02034607339798441,0.8294573643410853,0.03971789161098738,0.6407811910668813,0.2382357355139478,0.7784829253550922,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7099024374037981,0.31647940074906367,0.2793682132280355,0.6949363350868225,0.9844375277901289,0.9615384615384616,0.1937984496124031,0.3225806451612903,0.6358972827220103,0.23757371831899532,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053876638412476,3035760,0.22928709055876687,0.02042746358993758,0.8372093023255814,0.03988183161004431,0.6358972827220103,0.23757371831899532,0.7825627077666969,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7091925349086523,0.31788389513108617,0.27835562159484895,0.6952093243598938,0.9844375277901289,1.0,0.18604651162790697,0.3137254901960784,0.6309864335228563,0.22677629390457202,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5068944692611694,3035760,0.2189121090855195,0.01944288652084502,0.8062015503875969,0.03797006206644761,0.6309864335228563,0.22677629390457202,0.7925355092172862,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7076026517897844,0.33286516853932585,0.27993936331480546,0.6954605579376221,0.9835482436638506,0.8214285714285714,0.17829457364341086,0.2929936305732484,0.6279555874160441,0.22028481852824877,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5078828930854797,3035760,0.2272120942641174,0.019467019467019467,0.7984496124031008,0.03800738007380074,0.6279555874160441,0.22028481852824877,0.7839226352372318,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7063840255141258,0.3506554307116105,0.2764736567553469,0.6956267356872559,0.9841410997480362,1.0,0.17054263565891473,0.2913907284768212,0.6288463926196115,0.22017316417807,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5101935267448425,3035760,0.24603527493700905,0.019200930954228083,0.7674418604651163,0.03746452223273415,0.6288463926196115,0.22017316417807,0.7641281353883348,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7050726022571325,0.37687265917602997,0.2754491017964072,0.6956543922424316,0.983696457684897,0.88,0.17054263565891473,0.2857142857142857,0.6321689027575721,0.21955906325528227,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5111499428749084,3035760,0.2838298503038387,0.01941549151849581,0.7364341085271318,0.037833532457188374,0.6321689027575721,0.21955906325528227,0.7249924448473859,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7034572158008814,0.4002808988764045,0.27008547008547007,0.69563227891922,0.9835482436638506,0.8461538461538461,0.17054263565891473,0.2838709677419355,0.6365262931024385,0.22009995909802638,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126264691352844,3035760,0.31940121535497257,0.02041693531055233,0.7364341085271318,0.0397323295692179,0.6365262931024385,0.22009995909802638,0.6887277122997885,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7027442157268524,0.42837078651685395,0.26929982046678635,0.6954676508903503,0.9835482436638506,0.8461538461538461,0.17054263565891473,0.2838709677419355,0.6403846919723283,0.22146864346168615,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.514099657535553,3035760,0.3668297020898177,0.021703994458554605,0.7286821705426356,0.042152466367713005,0.6403846919723283,0.22146864346168615,0.6402236325173769,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7015673518180847,0.45739700374531833,0.27061044682190055,0.6952656507492065,0.983696457684897,0.88,0.17054263565891473,0.2857142857142857,0.6431133319745772,0.2223701370037775,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5158190131187439,3035760,0.40847784200385356,0.023209876543209877,0.7286821705426356,0.0449868389566882,0.6431133319745772,0.2223701370037775,0.5977636748262315,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
