round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7150790300220251,0.3681640625,0.19892695006190672,0.6951485276222229,0.9842893137690826,0.9259259259259259,0.1937984496124031,0.32051282051282054,0.6680916035899274,0.24677862957802843,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063113570213318,3035760,0.25596561434711723,0.022269974604414926,0.8837209302325582,0.04344512195121951,0.6680916035899274,0.24677862957802843,0.7562707766696888,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.713647635653615,0.400390625,0.19563318777292577,0.6943843960762024,0.9796946791166444,0.45,0.27906976744186046,0.3444976076555024,0.6693080417278693,0.27489477118115946,0.006648534300392868,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045248866081238,3035760,0.3574922187638951,0.024423337856173677,0.8372093023255814,0.047462096242584045,0.6693080417278693,0.27489477118115946,0.6518585675430644,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7116838973015547,0.3916015625,0.1891540130151844,0.6942593455314636,0.9845857418111753,0.8205128205128205,0.24806201550387597,0.38095238095238093,0.6536477916698878,0.2891835198879337,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504692792892456,3035760,0.36460649177412185,0.023383768913342505,0.7906976744186046,0.04542418169672679,0.6536477916698878,0.2891835198879337,0.6436990027198549,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7102018930017948,0.4013671875,0.1880794701986755,0.6942881941795349,0.9838446717059434,0.8333333333333334,0.1937984496124031,0.31446540880503143,0.6443965365774807,0.25112874574967525,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056940913200378,3035760,0.36831184230028163,0.022417379246591172,0.751937984496124,0.043536804308797125,0.6443965365774807,0.25112874574967525,0.6391659111514053,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7086510676890612,0.421875,0.1882998171846435,0.6943150758743286,0.9842893137690826,0.96,0.18604651162790697,0.3116883116883117,0.6395307840257133,0.2362962285418328,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5076607465744019,3035760,0.37957610789980734,0.022143698468786808,0.7286821705426356,0.04298125285779607,0.6395307840257133,0.2362962285418328,0.6272287700211544,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7067013997584581,0.4498697916666667,0.1827852998065764,0.694212019443512,0.9842893137690826,1.0,0.17829457364341086,0.3026315789473684,0.6370422690290283,0.23156026153096435,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5091959238052368,3035760,0.4144064028457092,0.023203592814371257,0.7209302325581395,0.044960116026105876,0.6370422690290283,0.23156026153096435,0.5915684496826836,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7051521595567465,0.4837239583333333,0.1824742268041237,0.6939970254898071,0.9838446717059434,0.8846153846153846,0.17829457364341086,0.2967741935483871,0.6338609055406795,0.22772206760719568,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5102114081382751,3035760,0.4556099006966059,0.023655913978494623,0.6821705426356589,0.04572616263964666,0.6338609055406795,0.22772206760719568,0.5488062858869749,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7035291120409966,0.521484375,0.18242491657397109,0.6936812996864319,0.9835482436638506,0.8214285714285714,0.17829457364341086,0.2929936305732484,0.6329993838743759,0.22754034328111283,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5112545490264893,3035760,0.5025937453683118,0.025301559282141808,0.6666666666666666,0.048752834467120185,0.6329993838743759,0.22754034328111283,0.5006044122091267,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7020487114787102,0.5572916666666666,0.18854415274463007,0.6932805776596069,0.9841410997480362,1.0,0.17054263565891473,0.2913907284768212,0.6309471935829227,0.2281631628134261,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5149896740913391,3035760,0.5412776048614198,0.026500638569604086,0.6434108527131783,0.05090463048144741,0.6309471935829227,0.2281631628134261,0.46071320640676944,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7003031261265278,0.5953776041666666,0.19338092147955874,0.692769467830658,0.9841410997480362,1.0,0.17054263565891473,0.2913907284768212,0.6285447721857935,0.22845757546096718,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5160853266716003,3035760,0.5827775307544094,0.027777777777777776,0.6124031007751938,0.05314497140935082,0.6285447721857935,0.22845757546096718,0.4177999395587791,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
