round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7160995658487082,0.3873697916666667,0.16429840142095914,0.6950663924217224,0.983696457684897,0.7714285714285715,0.20930232558139536,0.32926829268292684,0.6789839081106027,0.2611659614126393,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5061897039413452,3035760,0.2796798577145398,0.022988505747126436,0.8837209302325582,0.04481132075471698,0.6789839081106027,0.2611659614126393,0.7320942883046238,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7143460027873516,0.4479166666666667,0.16122650840751732,0.6941832900047302,0.9831036016007114,0.631578947368421,0.27906976744186046,0.3870967741935484,0.6833383701017427,0.29699057119301875,0.003173164097914778,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047783255577087,3035760,0.4046242774566474,0.026084836665041442,0.8294573643410853,0.05057905932403687,0.6833383701017427,0.29699057119301875,0.603656693865216,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7124929372221231,0.4440104166666667,0.14940239043824702,0.6939452886581421,0.9854750259374537,0.9696969696969697,0.24806201550387597,0.3950617283950617,0.6627397443195794,0.3022788429064816,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049646496772766,3035760,0.43100637320290497,0.02533265097236438,0.7674418604651163,0.04904632152588556,0.6627397443195794,0.3022788429064816,0.575551526140828,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7106196954846382,0.4527994791666667,0.1488607594936709,0.6938673257827759,0.9838446717059434,0.75,0.23255813953488372,0.35502958579881655,0.651703950466311,0.27012757824062733,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5052686929702759,3035760,0.43945457240254926,0.02397706541568934,0.7131782945736435,0.04639435199193142,0.651703950466311,0.27012757824062733,0.5658809307948021,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7091529350727797,0.4697265625,0.14756671899529042,0.6938115358352661,0.9844375277901289,1.0,0.18604651162790697,0.3137254901960784,0.6432111389890386,0.2453905798503985,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5077185034751892,3035760,0.4524974062546317,0.023777718407694364,0.689922480620155,0.04597107438016529,0.6432111389890386,0.2453905798503985,0.5521305530371714,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.707106851041317,0.5055338541666666,0.14997202014549524,0.6936348080635071,0.9842893137690826,1.0,0.17829457364341086,0.3026315789473684,0.6388273934606348,0.23693570490530091,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.509367048740387,3035760,0.4788795020008893,0.02443133951137321,0.6744186046511628,0.04715447154471545,0.6388273934606348,0.23693570490530091,0.5249320036264733,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7050863839685917,0.5345052083333334,0.15183867141162516,0.6933512687683105,0.9842893137690826,1.0,0.17829457364341086,0.3026315789473684,0.633581540595182,0.23324583071339874,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5102633237838745,3035760,0.5177115755150438,0.026084319077949652,0.6666666666666666,0.050204319906596614,0.633581540595182,0.23324583071339874,0.4851919008763977,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7031483724713326,0.5735677083333334,0.15155440414507773,0.6929410099983215,0.983696457684897,0.8518518518518519,0.17829457364341086,0.2948717948717949,0.6293910664127198,0.23125305973907803,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5109580755233765,3035760,0.5592115014080332,0.02725157859754071,0.6356589147286822,0.052262587635436585,0.6293910664127198,0.23125305973907803,0.4422786340284074,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7015808746218681,0.6126302083333334,0.15602836879432624,0.6924466490745544,0.9841410997480362,1.0,0.17054263565891473,0.2913907284768212,0.6225504321078759,0.22933837454868827,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5148826241493225,3035760,0.5958203646064918,0.027636363636363636,0.5891472868217055,0.05279610976033345,0.6225504321078759,0.22933837454868827,0.40404956180114837,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6997948158532381,0.6477864583333334,0.15993788819875776,0.6918145418167114,0.9841410997480362,1.0,0.17054263565891473,0.2913907284768212,0.616720079838636,0.22758093973759325,0.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5155197978019714,3035760,0.630057803468208,0.029048945483485872,0.5658914728682171,0.05526116578349735,0.616720079838636,0.22758093973759325,0.36869144756724087,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
