round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7177572920918465,0.4069010416666667,0.12989493791786055,0.6949971318244934,0.9844375277901289,0.7608695652173914,0.2713178294573643,0.4,0.6984047500240125,0.30310208261811,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060363411903381,3035760,0.29642804209278195,0.02372112211221122,0.8914728682170543,0.04621257785814748,0.6984047500240125,0.30310208261811,0.7151707464490783,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7154492996633053,0.4781901041666667,0.11777655476059438,0.6940099596977234,0.9857714539795465,0.9230769230769231,0.27906976744186046,0.42857142857142855,0.7027955236013597,0.3257784092481798,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051336288452148,3035760,0.43945457240254926,0.027670028445823634,0.8294573643410853,0.053553553553553554,0.7027955236013597,0.3257784092481798,0.5681474765790269,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7131391819566488,0.4957682291666667,0.11435105774728416,0.6936489939689636,0.9857714539795465,0.9230769230769231,0.27906976744186046,0.42857142857142855,0.6841975490850651,0.3260353286024486,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046805739402771,3035760,0.47784200385356457,0.027298050139275765,0.7596899224806202,0.05270233933853186,0.6841975490850651,0.3260353286024486,0.527651858567543,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7109558302909136,0.5221354166666666,0.11352657004830918,0.6934402585029602,0.9847339558322217,0.825,0.2558139534883721,0.3905325443786982,0.6686380343952716,0.3025941612954484,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053842067718506,3035760,0.49814732473692014,0.027285921625544267,0.7286821705426356,0.05260212646894236,0.6686380343952716,0.3025941612954484,0.5063463281958296,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7091219779103994,0.5543619791666666,0.113915857605178,0.6932373642921448,0.9844375277901289,0.875,0.21705426356589147,0.34782608695652173,0.6587478125197664,0.27400757252180874,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5066993236541748,3035760,0.5211204979991108,0.026556776556776556,0.6744186046511628,0.05110132158590308,0.6587478125197664,0.27400757252180874,0.4818676337262013,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7071999665349722,0.5807291666666666,0.11659807956104253,0.6929751634597778,0.9831036016007114,0.6829268292682927,0.21705426356589147,0.32941176470588235,0.6513033516765411,0.2568243731601456,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5073587894439697,3035760,0.5473543797243219,0.027158098933074686,0.6511627906976745,0.0521415270018622,0.6513033516765411,0.2568243731601456,0.4546690843155032,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7048422694206238,0.6162109375,0.12080536912751678,0.6925579309463501,0.9817696754112939,0.56,0.21705426356589147,0.3128491620111732,0.643252135941208,0.24777083258834265,0.003324267150196434,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5078203082084656,3035760,0.5866310953016155,0.027698863636363636,0.6046511627906976,0.052971137521222414,0.643252135941208,0.24777083258834265,0.41372015714717436,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7028783671557903,0.6533203125,0.12633305988515175,0.6920323371887207,0.9817696754112939,0.5625,0.20930232558139536,0.3050847457627119,0.6351933064861863,0.24517398150128433,0.003173164097914778,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5086216330528259,3035760,0.6257595968578628,0.029827315541601257,0.5891472868217055,0.05677997758685095,0.6351933064861863,0.24517398150128433,0.37352674524025387,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7007996160537004,0.685546875,0.12181818181818181,0.6913982629776001,0.9811768193271083,0.5185185185185185,0.21705426356589147,0.30601092896174864,0.6259414657230339,0.2444138545585964,0.003928679359323058,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5090939998626709,3035760,0.6637023862457389,0.032342657342657344,0.5736434108527132,0.06123293338849814,0.6259414657230339,0.2444138545585964,0.3345421577515866,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6990743223577738,0.7115885416666666,0.12450592885375494,0.6906729936599731,0.9814732473692012,0.5370370370370371,0.2248062015503876,0.31693989071038253,0.6156067197518631,0.2435484135205479,0.0037775763070414022,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5097513198852539,3035760,0.6934934044760634,0.0327710843373494,0.5271317829457365,0.06170598911070781,0.6156067197518631,0.2435484135205479,0.30326382592928375,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
