round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7194866389036179,0.4026692708333333,0.10356619443087445,0.6950143575668335,0.9856232399585001,0.9210526315789473,0.2713178294573643,0.41916167664670656,0.7090042191720489,0.32338270047974416,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063497424125671,3035760,0.2982066103453387,0.023582954075299957,0.8837209302325582,0.0459399556719726,0.7090042191720489,0.32338270047974416,0.7132064067694167,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7169963470527103,0.4521484375,0.10048102618920364,0.6940866112709045,0.9865125240847784,0.975,0.3023255813953488,0.46153846153846156,0.707418808464582,0.35361006555636987,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053606033325195,3035760,0.4182599673929154,0.026683291770573565,0.8294573643410853,0.05170330997825562,0.707418808464582,0.35361006555636987,0.5897552130553038,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7148293857063566,0.4645182291666667,0.09764125068568294,0.6938300728797913,0.9865125240847784,0.975,0.3023255813953488,0.46153846153846156,0.684637973485514,0.3482660300730591,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050569772720337,3035760,0.4341188676448792,0.025225225225225224,0.7596899224806202,0.048829098156452415,0.684637973485514,0.3482660300730591,0.5722272589906316,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7124465801886151,0.4853515625,0.0970873786407767,0.6937224268913269,0.9848821698532682,0.8,0.27906976744186046,0.41379310344827586,0.6668183553896936,0.3168534104609846,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5054565072059631,3035760,0.44390099303394104,0.024914765276685024,0.7364341085271318,0.04819888381532217,0.6668183553896936,0.3168534104609846,0.5618011483831974,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7102039839540208,0.5107421875,0.09512341962673089,0.6935772895812988,0.9839928857269897,0.7837837837837838,0.2248062015503876,0.3493975903614458,0.6500892562215803,0.2816305211349457,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5067362189292908,3035760,0.46672595227508523,0.02440361941321634,0.689922480620155,0.047139830508474576,0.6500892562215803,0.2816305211349457,0.5376246600181324,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7080134238515581,0.5445963541666666,0.08741030658838878,0.6933050751686096,0.9822143174744331,0.5918367346938775,0.2248062015503876,0.3258426966292135,0.6357286095473702,0.26105920495729623,0.0030220610456331218,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.507236123085022,3035760,0.5020008892841262,0.02415316642120766,0.6356589147286822,0.046538024971623154,0.6357286095473702,0.26105920495729623,0.5006044122091267,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7054933650153024,0.5885416666666666,0.09195402298850575,0.6929371953010559,0.983696457684897,0.8064516129032258,0.1937984496124031,0.3125,0.6202739299209813,0.24833162064910308,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5094811916351318,3035760,0.5417222469245591,0.0247032402951556,0.5968992248062015,0.0474430067775724,0.6202739299209813,0.24833162064910308,0.4593532789362345,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7034744130713599,0.6298828125,0.0954653937947494,0.6924346089363098,0.9835482436638506,0.78125,0.1937984496124031,0.3105590062111801,0.6029052782990247,0.24287792740128947,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5102001428604126,3035760,0.5826293167333629,0.025767737380868336,0.5658914728682171,0.04929101958136394,0.6029052782990247,0.24287792740128947,0.4170444242973708,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.701283922791481,0.6643880208333334,0.09482001755926252,0.6917598247528076,0.9814732473692012,0.5384615384615384,0.21705426356589147,0.30939226519337015,0.5820097174490056,0.2390473872064752,0.003626473254759746,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5096543431282043,3035760,0.6310953016155328,0.0268644747393745,0.5193798449612403,0.05108654212733511,0.5820097174490056,0.2390473872064752,0.36672710788757934,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6991669420685087,0.7041015625,0.10089020771513353,0.6909537315368652,0.9823625314954795,0.6086956521739131,0.21705426356589147,0.32,0.560750455066169,0.23664062515820994,0.0027198549410698096,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.510745644569397,3035760,0.6690380910034089,0.027827648114901255,0.4806201550387597,0.05260924904539669,0.560750455066169,0.23664062515820994,0.3272892112420671,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
