round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7088105844599859,0.5074869791666666,0.13592233009708737,0.6929260492324829,0.9900696605898918,0.8875,0.5503875968992248,0.6794258373205742,0.8444751335914971,0.5967822265089892,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042145848274231,3143280,0.6044167778271825,0.03985507246376811,0.8527131782945736,0.0761509172724126,0.8444751335914971,0.5967822265089892,0.40042308854638864,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7062022324119295,0.8502604166666666,0.2255892255892256,0.6906208992004395,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8447076448773723,0.5935778053678197,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037486553192139,3143280,0.8848377056469542,0.10679611650485436,0.6821705426356589,0.18467995802728226,0.8447076448773723,0.5935778053678197,0.11121184647929888,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7043298844780241,0.9007161458333334,0.20365535248041775,0.6887890696525574,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8338985056025263,0.5916837800422324,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027121305465698,3143280,0.9488661627389952,0.21428571428571427,0.627906976744186,0.31952662721893493,0.8338985056025263,0.5916837800422324,0.04487760652765186,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7018184240375247,0.9173177083333334,0.1910828025477707,0.6871930956840515,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8277864457048079,0.5895020881236293,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019546151161194,3143280,0.9728768341485104,0.365,0.5658914728682171,0.44376899696048633,0.8277864457048079,0.5895020881236293,0.019190087639770325,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6995198756456376,0.9254557291666666,0.17921146953405018,0.6856381297111511,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8236106132909775,0.58722273096507,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018113255500793,3143280,0.9807321772639692,0.4965034965034965,0.5503875968992248,0.5220588235294118,0.8236106132909775,0.58722273096507,0.010879419764279238,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6972957781382969,0.9319661458333334,0.1803921568627451,0.6840835213661194,0.9903660886319846,0.9571428571428572,0.5193798449612403,0.6733668341708543,0.8205586830373353,0.5825496215328498,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014877915382385,3143280,0.983696457684897,0.5772357723577236,0.5503875968992248,0.5634920634920635,0.8205586830373353,0.5825496215328498,0.007857358718646117,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6947783363716944,0.9352213541666666,0.18775510204081633,0.6825001835823059,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8164138911730048,0.5729530897670096,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029104351997375,3143280,0.983696457684897,0.5811965811965812,0.5271317829457365,0.5528455284552846,0.8164138911730048,0.5729530897670096,0.007404049561801148,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6929187280791147,0.9378255208333334,0.1940928270042194,0.6808914542198181,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8138340115400563,0.566948973698662,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027362108230591,3143280,0.9838446717059434,0.5862068965517241,0.5271317829457365,0.5551020408163265,0.8138340115400563,0.566948973698662,0.007252946509519492,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6906062858445303,0.9381510416666666,0.20168067226890757,0.6792854070663452,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8107334706145561,0.5578833677854911,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034193396568298,3143280,0.9825107455165258,0.5447154471544715,0.5193798449612403,0.5317460317460317,0.8107334706145561,0.5578833677854911,0.008461770927772741,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6883967897721699,0.9378255208333334,0.2074688796680498,0.6776753664016724,0.9899214465688454,0.9552238805970149,0.49612403100775193,0.6530612244897959,0.8044228683341885,0.5513578584619686,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503537118434906,3143280,0.9820661034533867,0.5317460317460317,0.5193798449612403,0.5254901960784314,0.8044228683341885,0.5513578584619686,0.00891508008461771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
