round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7393270024231502,0.4905598958333333,0.13392363032650803,0.6930124759674072,0.9902178746109382,0.8987341772151899,0.5503875968992248,0.6826923076923077,0.8448751467105218,0.5974036474432207,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043236613273621,3143280,0.5863346672595228,0.03816793893129771,0.8527131782945736,0.07306542676851545,0.8448751467105218,0.5974036474432207,0.4188576609247507,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7369012364319393,0.8434244791666666,0.22294022617124395,0.6907857656478882,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8456535031309959,0.5948995990964482,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5036696791648865,3143280,0.8771305765525419,0.10136674259681093,0.689922480620155,0.17676266137040714,0.8456535031309959,0.5948995990964482,0.11922030825022666,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7353316524199077,0.8984375,0.21212121212121213,0.6890323162078857,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8353287135624946,0.593734682847676,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031229853630066,3143280,0.9435304579813251,0.1971153846153846,0.6356589147286822,0.30091743119266057,0.8353287135624946,0.593734682847676,0.05046841946207314,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7332115458590643,0.9153645833333334,0.2073170731707317,0.6875198483467102,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8296154954423103,0.5913263703138547,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025665760040283,3143280,0.9702089817696754,0.33783783783783783,0.5813953488372093,0.42735042735042733,0.8296154954423103,0.5913263703138547,0.022212148685403447,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7311040627104894,0.9212239583333334,0.18791946308724833,0.686055064201355,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8261617950574074,0.5902727528868114,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017319917678833,3143280,0.977619682821995,0.43452380952380953,0.5658914728682171,0.49158249158249157,0.8261617950574074,0.5902727528868114,0.014354789966757328,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7293245898825782,0.9264322916666666,0.19285714285714287,0.6845983862876892,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.8245418297759692,0.5892317894873965,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018203854560852,3143280,0.9807321772639692,0.496551724137931,0.5581395348837209,0.5255474452554745,0.8245418297759692,0.5892317894873965,0.011030522816560894,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7268949700253351,0.9303385416666666,0.20149253731343283,0.6831204295158386,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8223168666146591,0.5819750012386985,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037071108818054,3143280,0.9816214613902475,0.5182481751824818,0.5503875968992248,0.5338345864661654,0.8223168666146591,0.5819750012386985,0.009972801450589302,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7254396872861044,0.9322916666666666,0.21212121212121213,0.681626558303833,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8200725763187549,0.5756419781564649,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037966966629028,3143280,0.9798428931376908,0.4755244755244755,0.5271317829457365,0.5,0.8200725763187549,0.5756419781564649,0.011332728921124207,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7234255399022784,0.9348958333333334,0.2366412213740458,0.6801463961601257,0.9902178746109382,0.9701492537313433,0.5038759689922481,0.6632653061224489,0.8186757515912675,0.5698258836911,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5038190484046936,3143280,0.9786571809693198,0.4503311258278146,0.5271317829457365,0.4857142857142857,0.8186757515912675,0.5698258836911,0.012541553339377455,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7216263860464096,0.9348958333333334,0.24242424242424243,0.678673505783081,0.9902178746109382,0.9846153846153847,0.49612403100775193,0.6597938144329897,0.816078887506706,0.5624493341896123,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050638318061829,3143280,0.9780643248851342,0.43870967741935485,0.5271317829457365,0.4788732394366197,0.816078887506706,0.5624493341896123,0.01314596554850408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
