round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8308287680149078,0.4264322916666667,0.12338308457711443,0.6932721138000488,0.9902178746109382,0.8987341772151899,0.5503875968992248,0.6826923076923077,0.8461647936916232,0.598277918784185,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046353936195374,3143280,0.5231954942937602,0.033816425120772944,0.8682170542635659,0.06509735541993607,0.8461647936916232,0.598277918784185,0.4835297673012995,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8287554753678186,0.8082682291666666,0.20512820512820512,0.6912806034088135,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.848412012341254,0.597320288225417,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042876601219177,3143280,0.8384467170594339,0.07961504811898512,0.7054263565891473,0.1430817610062893,0.848412012341254,0.597320288225417,0.1589604110003022,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.8279048502445221,0.884765625,0.22707423580786026,0.6897614002227783,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8389745139518485,0.5985404132400893,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5038638114929199,3143280,0.9226322810137839,0.15221238938053097,0.6666666666666666,0.2478386167146974,0.8389745139518485,0.5985404132400893,0.07237836204291327,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.8267658327307019,0.9046223958333334,0.22281167108753316,0.6884987354278564,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.834547428788294,0.5990090966435033,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027173757553101,3143280,0.953757225433526,0.23782234957020057,0.6434108527131783,0.3472803347280335,0.834547428788294,0.5990090966435033,0.04019341190692052,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8250243225267955,0.912109375,0.21511627906976744,0.6873027682304382,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8327523479540178,0.5997355684876149,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028756260871887,3143280,0.966651845264562,0.3125,0.6201550387596899,0.4155844155844156,0.8327523479540178,0.5997355684876149,0.02659413720157147,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.8243727351937975,0.9153645833333334,0.2215568862275449,0.6861392855644226,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8326797247816033,0.6011822694815755,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033091306686401,3143280,0.970060767748629,0.34334763948497854,0.6201550387596899,0.4419889502762431,0.8326797247816033,0.6011822694815755,0.023118766999093383,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.8220112298216138,0.9166666666666666,0.22424242424242424,0.6849761605262756,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8335189909595864,0.6023641247080207,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039564967155457,3143280,0.9693196976433971,0.3347457627118644,0.6124031007751938,0.4328767123287671,0.8335189909595864,0.6023641247080207,0.023723179208220008,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.8215742272990091,0.9182942708333334,0.24169184290030213,0.6838253140449524,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8352672181342404,0.6029647723876308,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047871470451355,3143280,0.9669482733066548,0.3134920634920635,0.6124031007751938,0.4146981627296588,0.8352672181342404,0.6029647723876308,0.026140828044726505,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.8202617181198938,0.9176432291666666,0.24024024024024024,0.6827203631401062,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8368391584145659,0.6025101522032633,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5058010816574097,3143280,0.9644286349488662,0.2952029520295203,0.6201550387596899,0.4,0.8368391584145659,0.6025101522032633,0.028860682985796315,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.819498923420906,0.9150390625,0.24347826086956523,0.6816583275794983,0.9903660886319846,0.9444444444444444,0.5271317829457365,0.6766169154228856,0.8381475468595163,0.5995641196111138,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5068496465682983,3143280,0.9620572106121239,0.2787456445993031,0.6201550387596899,0.38461538461538464,0.8381475468595163,0.5995641196111138,0.03127833182230281,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
