round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9831733903714588,0.314453125,0.11064189189189189,0.6937044262886047,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8480975071510397,0.6009817757290021,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051991939544678,3143280,0.40373499333036905,0.028799612778315584,0.9224806201550387,0.055855432996949075,0.8480975071510397,0.6009817757290021,0.6063765488062859,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9810376163039889,0.7161458333333334,0.18352059925093633,0.6921042799949646,0.9911071587372166,0.9726027397260274,0.5503875968992248,0.7029702970297029,0.8526598822567533,0.6006526100031385,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047277808189392,3143280,0.7465540240106714,0.05564924114671164,0.7674418604651163,0.10377358490566038,0.8526598822567533,0.6006526100031385,0.25385312783318226,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9807584651878902,0.8470052083333334,0.237012987012987,0.6909741759300232,0.9909589447161702,0.9594594594594594,0.5503875968992248,0.6995073891625616,0.8449448415292098,0.6057346020909663,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046979784965515,3143280,0.8630502445531347,0.09480122324159021,0.7209302325581395,0.16756756756756758,0.8449448415292098,0.6057346020909663,0.13417951042611062,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9806270386491504,0.8753255208333334,0.2445759368836292,0.6901243329048157,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8417664063945876,0.6099079465895566,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041313767433167,3143280,0.9023269601304283,0.12780898876404495,0.7054263565891473,0.2164090368608799,0.8417664063945876,0.6099079465895566,0.09383499546690843,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9788248934916088,0.884765625,0.25,0.6893730163574219,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8415725493779005,0.6153291649475884,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504774808883667,3143280,0.9129983696457685,0.1421875,0.7054263565891473,0.23667100130039012,0.8415725493779005,0.6153291649475884,0.0829555757026292,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9793848842382431,0.8863932291666666,0.26215644820295986,0.6886925101280212,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8426812240987113,0.6201402532226687,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056414604187012,3143280,0.9131465836668149,0.1435257410296412,0.7131782945736435,0.23896103896103896,0.8426812240987113,0.6201402532226687,0.0829555757026292,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.976502143059458,0.8831380208333334,0.26283367556468173,0.6880501508712769,0.9906625166740773,0.9125,0.5658914728682171,0.6985645933014354,0.8447732400008433,0.6238996918931918,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062771439552307,3143280,0.9076626648880984,0.13676470588235295,0.7209302325581395,0.22991347342398022,0.8447732400008433,0.6238996918931918,0.08869749168933212,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9771543038742883,0.873046875,0.25287356321839083,0.6874669790267944,0.9909589447161702,0.9473684210526315,0.5581395348837209,0.7024390243902439,0.8476471263479213,0.6266399326028506,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5082605481147766,3143280,0.8995108937305469,0.12653061224489795,0.7209302325581395,0.2152777777777778,0.8476471263479213,0.6266399326028506,0.09700815956482321,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9763948223420551,0.8600260416666666,0.24561403508771928,0.6869844794273376,0.9911071587372166,0.96,0.5581395348837209,0.7058823529411765,0.8503470684836516,0.6287813138767228,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.510497510433197,3143280,0.8869127019416037,0.11435523114355231,0.7286821705426356,0.19768664563617244,0.8503470684836516,0.6287813138767228,0.11000302206104563,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9767507527555738,0.8359375,0.23404255319148937,0.6866047978401184,0.9912553727582629,0.9605263157894737,0.5658914728682171,0.7121951219512195,0.8542283085126072,0.6311587035144045,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.512483537197113,3143280,0.869571661479176,0.10180275715800637,0.7441860465116279,0.1791044776119403,0.8542283085126072,0.6311587035144045,0.1279842852825627,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
