round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2872706064156123,0.15462239583333334,0.09857688302672683,0.6945690512657166,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8515353944258202,0.60414653814554,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060332417488098,3143280,0.18882466281310212,0.02234537003932785,0.9689922480620154,0.04368338284116722,0.8515353944258202,0.60414653814554,0.8263825929283771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.282597393648965,0.330078125,0.11521926053310404,0.6937482953071594,0.9909589447161702,0.9594594594594594,0.5503875968992248,0.6995073891625616,0.8602326049931945,0.6073477511981169,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063114762306213,3143280,0.35452793834296725,0.026869682042095836,0.9302325581395349,0.05223068552774755,0.8602326049931945,0.6073477511981169,0.6566938652160773,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2811643587691444,0.4016927083333333,0.118042226487524,0.6933929324150085,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8554757872000488,0.6179604195258417,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5058414340019226,3143280,0.4077367718986216,0.02852962692026335,0.9069767441860465,0.05531914893617021,0.8554757872000488,0.6179604195258417,0.6019945602901179,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2807780674525668,0.4069010416666667,0.12065637065637065,0.6933586597442627,0.9908107306951237,0.9240506329113924,0.5658914728682171,0.7019230769230769,0.8545299289464252,0.6256347350521129,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5065041184425354,3143280,0.40062249888839485,0.027972027972027972,0.8992248062015504,0.05425631431244153,0.8545299289464252,0.6256347350521129,0.6090964037473557,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2764329961368017,0.3841145833333333,0.1191806331471136,0.693483829498291,0.9908107306951237,0.9135802469135802,0.5736434108527132,0.7047619047619048,0.8555484103724632,0.6324076910033721,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5077202320098877,3143280,0.37394397510004446,0.02724543985222812,0.9147286821705426,0.05291479820627803,0.8555484103724632,0.6324076910033721,0.6365971592626171,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.277054174883025,0.3522135416666667,0.11868910540301152,0.6937547922134399,0.9909589447161702,0.9146341463414634,0.5813953488372093,0.7109004739336493,0.8576246131644727,0.6384298523493892,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5094197392463684,3143280,0.3383726100489106,0.026022304832713755,0.9224806201550387,0.05061675882603148,0.8576246131644727,0.6384298523493892,0.6730129948624962,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2709070529256548,0.3154296875,0.11452631578947368,0.6941386461257935,0.9911071587372166,0.9259259259259259,0.5813953488372093,0.7142857142857143,0.8616633986239081,0.6438154770967541,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126384496688843,3143280,0.30650659552393655,0.025646371976647205,0.9534883720930233,0.0499492385786802,0.8616633986239081,0.6438154770967541,0.7061045633121789,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2716387399605342,0.2809244791666667,0.1124949779027722,0.6946809887886047,0.9911071587372166,0.9259259259259259,0.5813953488372093,0.7142857142857143,0.8654913426150432,0.648015061193705,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.516370415687561,3143280,0.27701200533570475,0.024814888933360015,0.9612403100775194,0.048380803745610615,0.8654913426150432,0.648015061193705,0.7363251737685101,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2698709415537972,0.24479166666666666,0.1083781706379708,0.6954411864280701,0.9911071587372166,0.9259259259259259,0.5813953488372093,0.7142857142857143,0.8691049311134069,0.6512047589489891,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5199776291847229,3143280,0.2386245738846895,0.023773297831875238,0.9689922480620154,0.04640801930573603,0.8691049311134069,0.6512047589489891,0.7756119673617408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2704668739012308,0.216796875,0.1062407132243685,0.6964232325553894,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8724327122880751,0.6550649151751686,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5204039812088013,3143280,0.2072032014228546,0.02320058458165875,0.9844961240310077,0.0453328573978226,0.8724327122880751,0.6550649151751686,0.8079480205500151,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
