round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7097995374883924,0.2584635416666667,0.10666666666666667,0.6939422488212585,0.9902178746109382,0.8987341772151899,0.5503875968992248,0.6826923076923077,0.8455515964213175,0.5977533198568319,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049523711204529,3143280,0.3337779753964725,0.026052974381241857,0.9302325581395349,0.050686378035902854,0.8455515964213175,0.5977533198568319,0.6778482925355093,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7087451756000519,0.6119791666666666,0.15460992907801419,0.6926323175430298,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8476354129330157,0.596162272116908,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049265623092651,3143280,0.6602934637616719,0.04424778761061947,0.813953488372093,0.08393285371702638,0.8476354129330157,0.596162272116908,0.34270172257479603,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7084289810487202,0.76953125,0.18055555555555555,0.6918036341667175,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.8377791599607367,0.5962856178548375,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048134326934814,3143280,0.7874610938194754,0.06412825651302605,0.7441860465116279,0.11808118081180811,0.8377791599607367,0.5962856178548375,0.21169537624660018,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7074478341000421,0.8190104166666666,0.20797720797720798,0.6912440061569214,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.8328360988705925,0.5953443879479458,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049605965614319,3143280,0.8307395879650215,0.07826810990840966,0.7286821705426356,0.14135338345864662,0.8328360988705925,0.5953443879479458,0.1672710788757933,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7066712536982127,0.8258463541666666,0.20029895366218237,0.6907729506492615,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.8307259271753569,0.5956712659299958,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5052871704101562,3143280,0.8377056469542019,0.08145580589254767,0.7286821705426356,0.1465315666406859,0.8307259271753569,0.5956712659299958,0.16016923541855546,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7059292576142719,0.8199869791666666,0.1950509461426492,0.6903511881828308,0.9906625166740773,0.9342105263157895,0.5503875968992248,0.6926829268292682,0.8303259140563322,0.5964736739400869,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505354106426239,3143280,0.8341485104490884,0.07979626485568761,0.7286821705426356,0.14384085692425402,0.8303259140563322,0.5964736739400869,0.1637957086733152,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7049031717436655,0.8069661458333334,0.18655692729766804,0.6899580359458923,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8307721951642337,0.5961416957740321,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5066272020339966,3143280,0.8254038832073514,0.07599029911075182,0.7286821705426356,0.1376281112737921,0.8307721951642337,0.5961416957740321,0.17271078875793291,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7045351688350949,0.7838541666666666,0.18024691358024691,0.689603865146637,0.9903660886319846,0.9210526315789473,0.5426356589147286,0.6829268292682927,0.8321268515980613,0.5952293542264158,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.507506787776947,3143280,0.8139914035867793,0.07218844984802432,0.7364341085271318,0.1314878892733564,0.8321268515980613,0.5952293542264158,0.18449682683590207,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7036679536104202,0.7623697916666666,0.17607223476297967,0.6893230080604553,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8331599747927311,0.5929343926597536,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5104162096977234,3143280,0.7978360752927227,0.06605762473647224,0.7286821705426356,0.1211340206185567,0.8331599747927311,0.5929343926597536,0.20081595648232095,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7029042678219931,0.7330729166666666,0.17338709677419356,0.6891098618507385,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8343201885391263,0.589061452849208,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5117834806442261,3143280,0.775603972135764,0.059758423394787034,0.7286821705426356,0.11045828437132785,0.8343201885391263,0.589061452849208,0.22348141432456936,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
