round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7090125496898378,0.6975911458333334,0.17127564674397858,0.6919155716896057,0.9899214465688454,0.8860759493670886,0.5426356589147286,0.6730769230769231,0.8435351320453263,0.594926614019003,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5036681294441223,3143280,0.7601897139469393,0.05658129839189994,0.7364341085271318,0.10508849557522124,0.8435351320453263,0.594926614019003,0.23934723481414324,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7048679807356426,0.8948567708333334,0.17391304347826086,0.6886277198791504,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8417136960275124,0.5899951161929778,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024775266647339,3143280,0.9473840225285312,0.20725388601036268,0.6201550387596899,0.3106796116504854,0.8417136960275124,0.5899951161929778,0.04623753399818677,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7014770818608148,0.9313151041666666,0.1593625498007968,0.6858125925064087,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8296799192242907,0.5867218787721044,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010831356048584,3143280,0.9878464502741959,0.7473684210526316,0.5503875968992248,0.6339285714285714,0.8296799192242907,0.5867218787721044,0.003626473254759746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6974901024784361,0.9505208333333334,0.20833333333333334,0.6832056045532227,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8214781861074214,0.5813163006063901,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49967047572135925,3143280,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8214781861074214,0.5813163006063901,0.0003022061045633122,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6937307651553835,0.9541015625,0.2033898305084746,0.6805997490882874,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8110350910483741,0.5706606245665804,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49912652373313904,3143280,0.9893285904846598,0.9830508474576272,0.4496124031007752,0.6170212765957447,0.8110350910483741,0.5706606245665804,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.69010714164802,0.9547526041666666,0.19653179190751446,0.6779559850692749,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8030477134242763,0.5596455228811357,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49785956740379333,3143280,0.9888839484215207,0.9821428571428571,0.4263565891472868,0.5945945945945946,0.8030477134242763,0.5596455228811357,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6861770834241594,0.955078125,0.18823529411764706,0.6752365827560425,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.7918649162139432,0.5482684284764859,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4973548650741577,3143280,0.9885875203794279,0.9814814814814815,0.4108527131782946,0.5792349726775956,0.7918649162139432,0.5482684284764859,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6829337328672409,0.9534505208333334,0.1437125748502994,0.672442615032196,0.9896250185267527,0.9682539682539683,0.4728682170542636,0.6354166666666666,0.7791224778089354,0.5353329154962708,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.496899276971817,3143280,0.9875500222321032,0.9787234042553191,0.35658914728682173,0.5227272727272727,0.7791224778089354,0.5353329154962708,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6792815246752331,0.9527994791666666,0.1317365269461078,0.6695941686630249,0.9890321624425671,0.9365079365079365,0.4573643410852713,0.6145833333333334,0.7684931394528898,0.5214774037826302,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49630919098854065,3143280,0.9868089521268713,0.9761904761904762,0.3178294573643411,0.47953216374269003,0.7684931394528898,0.5214774037826302,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6757441793169294,0.9518229166666666,0.0975609756097561,0.6666849255561829,0.9875500222321032,0.8688524590163934,0.4108527131782946,0.5578947368421052,0.7618891161291381,0.4873728168734256,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4955800473690033,3143280,0.9862160960426857,0.9736842105263158,0.2868217054263566,0.4431137724550898,0.7618891161291381,0.4873728168734256,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
