round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7096970783812659,0.5052083333333334,0.1353811149032992,0.6929369568824768,0.9900696605898918,0.8875,0.5503875968992248,0.6794258373205742,0.8444739622500064,0.5967036518039912,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042592287063599,3143280,0.6017489254483475,0.03959683225341973,0.8527131782945736,0.07567939456484347,0.8444739622500064,0.5967036518039912,0.40314294348745844,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7072695578847612,0.8492838541666666,0.2270450751252087,0.690631628036499,0.9908107306951237,0.958904109589041,0.5426356589147286,0.693069306930693,0.8447708973178623,0.5942647567734128,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034918785095215,3143280,0.8838002074996295,0.10589651022864019,0.6821705426356589,0.18333333333333332,0.8447708973178623,0.5942647567734128,0.11226956784527048,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7052717685699463,0.8994140625,0.20155038759689922,0.6888015270233154,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8339465306036391,0.5923189685643461,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028054714202881,3143280,0.9481250926337631,0.21148825065274152,0.627906976744186,0.31640625,0.8339465306036391,0.5923189685643461,0.04563312178906014,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7028006723948887,0.916015625,0.18867924528301888,0.6872032880783081,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8279504335134856,0.5899849846500153,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020769238471985,3143280,0.9721357640432785,0.35609756097560974,0.5658914728682171,0.437125748502994,0.8279504335134856,0.5899849846500153,0.019945602901178604,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7004661462136677,0.9244791666666666,0.1773049645390071,0.6856444478034973,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8240311248860871,0.5878089882319985,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019469261169434,3143280,0.9801393211797836,0.48322147651006714,0.5581395348837209,0.5179856115107914,0.8240311248860871,0.5878089882319985,0.011634935025687519,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6980276069470814,0.9313151041666666,0.19157088122605365,0.6840863227844238,0.9902178746109382,0.92,0.5348837209302325,0.6764705882352942,0.8211912074422353,0.5835882633221314,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014328956604004,3143280,0.9825107455165258,0.5419847328244275,0.5503875968992248,0.5461538461538461,0.8211912074422353,0.5835882633221314,0.009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6958851277828216,0.9326171875,0.18181818181818182,0.6824955940246582,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8172549143632236,0.5741802381505704,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503192126750946,3143280,0.9828071735586187,0.5528455284552846,0.5271317829457365,0.5396825396825397,0.8172549143632236,0.5741802381505704,0.008310667875491085,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6936447330883571,0.935546875,0.1951219512195122,0.6808830499649048,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.814952642663537,0.5683506633892466,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030884742736816,3143280,0.9826589595375722,0.5483870967741935,0.5271317829457365,0.5375494071146245,0.814952642663537,0.5683506633892466,0.008461770927772741,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.691402770791735,0.9371744791666666,0.21224489795918366,0.6792740225791931,0.9899214465688454,0.9420289855072463,0.5038759689922481,0.6565656565656566,0.8122866694310327,0.5592003525347492,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502945601940155,3143280,0.9811768193271083,0.5075757575757576,0.5193798449612403,0.5134099616858238,0.8122866694310327,0.5592003525347492,0.009821698398307646,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6890808305570058,0.9361979166666666,0.216,0.6776663661003113,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.806564666249669,0.552828158986825,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042212009429932,3143280,0.9793982510745517,0.4652777777777778,0.5193798449612403,0.4908424908424908,0.806564666249669,0.552828158986825,0.011634935025687519,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
