round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.709274901662554,0.5078125,0.136,0.6929216980934143,0.9900696605898918,0.8875,0.5503875968992248,0.6794258373205742,0.8444212518829315,0.5966923331226228,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042152404785156,3143280,0.6061953460797391,0.04002911208151383,0.8527131782945736,0.0764685436218283,0.8444212518829315,0.5966923331226228,0.3986098519190088,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7064831112112318,0.8505859375,0.22596964586846544,0.6906179785728455,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8445337006660248,0.5935431508880542,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.50370854139328,3143280,0.8860234178153253,0.10784313725490197,0.6821705426356589,0.18624338624338624,0.8445337006660248,0.5935431508880542,0.11000302206104563,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7048033641917364,0.90234375,0.20634920634920634,0.6887897849082947,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8336888354757168,0.591829453973737,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026130080223083,3143280,0.9494590188231806,0.21657754010695188,0.627906976744186,0.3220675944333996,0.8336888354757168,0.591829453973737,0.044273194318525236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7022117303950446,0.91796875,0.18181818181818182,0.6871982216835022,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8277190935691009,0.5892239969425102,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018593668937683,3143280,0.9736179042537424,0.37435897435897436,0.5658914728682171,0.4506172839506173,0.8277190935691009,0.5892239969425102,0.018434572378362043,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7001677159752164,0.9267578125,0.18181818181818182,0.6856487989425659,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8231473477314629,0.5869737515342568,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501679003238678,3143280,0.9811768193271083,0.5071428571428571,0.5503875968992248,0.5278810408921933,0.8231473477314629,0.5869737515342568,0.01042611060743427,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6976243866341455,0.9332682291666666,0.18326693227091634,0.6840997338294983,0.9899214465688454,0.8860759493670886,0.5426356589147286,0.6730769230769231,0.8199976104633593,0.5821871988429387,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008233189582825,3143280,0.9845857418111753,0.6068376068376068,0.5503875968992248,0.5772357723577236,0.8199976104633593,0.5821871988429387,0.00695074040495618,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6952228690896716,0.9378255208333334,0.1940928270042194,0.6825251579284668,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8158088932931329,0.5722175065649309,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027063488960266,3143280,0.9851785978953609,0.6355140186915887,0.5271317829457365,0.576271186440678,0.8158088932931329,0.5722175065649309,0.0058930190389845875,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6934202126094273,0.9397786458333334,0.19913419913419914,0.6809223294258118,0.990514302653031,0.9850746268656716,0.5116279069767442,0.673469387755102,0.8128658977981122,0.5659161039160683,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024545788764954,3143280,0.9847339558322217,0.6181818181818182,0.5271317829457365,0.5690376569037657,0.8128658977981122,0.5659161039160683,0.006346328195829556,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6910379414047514,0.939453125,0.19130434782608696,0.6793187260627747,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8094010696690492,0.557753319884242,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029246211051941,3143280,0.9844375277901289,0.6071428571428571,0.5271317829457365,0.5643153526970954,0.8094010696690492,0.557753319884242,0.006648534300392868,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6888911779437746,0.9404296875,0.19383259911894274,0.677708625793457,0.989773232547799,0.9411764705882353,0.49612403100775193,0.649746192893401,0.8033065798936889,0.5505366243601122,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029178261756897,3143280,0.9838446717059434,0.5877192982456141,0.5193798449612403,0.551440329218107,0.8033065798936889,0.5505366243601122,0.007101843457237836,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
