round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7051093203680856,0.4892578125,0.14027397260273972,0.693048894405365,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8492410891346226,0.5979464788433732,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504348635673523,3143280,0.5835618468835693,0.038229722748407094,0.8671875,0.07323107372587828,0.8492410891346226,0.5979464788433732,0.4219233965400015,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7026061471019472,0.8463541666666666,0.26479750778816197,0.6907897591590881,0.9907359371525977,0.9337748344370861,0.55078125,0.6928746928746928,0.8529750002360807,0.596986684858638,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032669305801392,3143280,0.8744534202920032,0.09832402234636871,0.6875,0.17204301075268819,0.8529750002360807,0.596986684858638,0.12193095112185541,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7005380047219141,0.8961588541666666,0.2632794457274827,0.6889930367469788,0.9906618246498184,0.9452054794520548,0.5390625,0.6865671641791045,0.8399468877483569,0.5945578593450993,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023959875106812,3143280,0.9443415104128067,0.19706242350061198,0.62890625,0.3000931966449208,0.8399468877483569,0.5945578593450993,0.04955805696154718,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6978228658437728,0.9173177083333334,0.2573099415204678,0.6874449849128723,0.9902171496331431,0.9025974025974026,0.54296875,0.6780487804878049,0.8322121468232984,0.5901650491085945,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016002058982849,3143280,0.9722078114577929,0.3586698337292161,0.58984375,0.4460856720827179,0.8322121468232984,0.5901650491085945,0.020397371005514846,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.696013502563749,0.9313151041666666,0.2596491228070175,0.6859406232833862,0.9902171496331431,0.9428571428571428,0.515625,0.6666666666666666,0.8256294796309587,0.5832252357933136,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016356110572815,3143280,0.9807307492774031,0.4931506849315068,0.5625,0.5255474452554745,0.8256294796309587,0.5832252357933136,0.011180781143763693,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6940697346414839,0.9388020833333334,0.2713178294573643,0.6844388246536255,0.9896983621136886,0.9090909090909091,0.5078125,0.6516290726817042,0.8212488550086877,0.5744276873445862,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011711716651917,3143280,0.9841399244052471,0.5889830508474576,0.54296875,0.5650406504065041,0.8212488550086877,0.5744276873445862,0.007327944398277555,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6917546357427324,0.94140625,0.2682926829268293,0.6829349398612976,0.9897724746164678,0.9338235294117647,0.49609375,0.6479591836734694,0.8173420148069804,0.5647271377155411,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014954805374146,3143280,0.9849551619358186,0.6244131455399061,0.51953125,0.5671641791044776,0.8173420148069804,0.5647271377155411,0.0060436654831155096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6902737136398043,0.94140625,0.26229508196721313,0.6814075708389282,0.9899206996220262,0.96875,0.484375,0.6458333333333334,0.8127139481189091,0.5559927797255173,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023418068885803,3143280,0.9845104869191432,0.6113744075829384,0.50390625,0.5524625267665952,0.8127139481189091,0.5559927797255173,0.006194757120193397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.688462712083544,0.9430338541666666,0.27385892116182575,0.6798701286315918,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.8084742341542646,0.5484046431665991,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022268295288086,3143280,0.9841399244052471,0.6,0.4921875,0.5407725321888412,0.8084742341542646,0.5484046431665991,0.006345848757271285,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6859689440046037,0.9443359375,0.29045643153526973,0.6783349514007568,0.9891054620914548,0.8920863309352518,0.484375,0.6278481012658228,0.8038097225107652,0.5406538260530528,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022571682929993,3143280,0.9835470243830134,0.5772727272727273,0.49609375,0.5336134453781513,0.8038097225107652,0.5406538260530528,0.00702576112412178,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
