round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.736303961277008,0.4697265625,0.13763896241397564,0.6931368112564087,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8496354914255495,0.5987998836197099,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044235587120056,3143280,0.5634032461276217,0.03667160006577865,0.87109375,0.07038030613855137,0.8496354914255495,0.5987998836197099,0.4425474050011332,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7339275462286814,0.8372395833333334,0.2647058823529412,0.6909573674201965,0.9908841621581561,0.9463087248322147,0.55078125,0.6962962962962963,0.8538470232586689,0.5982585203861612,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035138130187988,3143280,0.8645964574223671,0.09237156201349248,0.6953125,0.163078332569858,0.8538470232586689,0.5982585203861612,0.13212963662461283,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.732154454929488,0.8909505208333334,0.2572062084257206,0.6892392039299011,0.9908100496553769,0.9459459459459459,0.546875,0.693069306930693,0.8413024335196797,0.5966838798038682,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025622844696045,3143280,0.9373008226487809,0.1786492374727669,0.640625,0.27938671209540034,0.8413024335196797,0.5966838798038682,0.05696154717836368,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7295758894511631,0.9137369791666666,0.2699724517906336,0.6877740621566772,0.9907359371525977,0.9645390070921985,0.53125,0.6851385390428212,0.8342417029443984,0.5942890375078157,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022348165512085,3143280,0.9670199362632476,0.30831643002028397,0.59375,0.40587449933244324,0.8342417029443984,0.5942890375078157,0.02576112412177986,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.728123585666929,0.9270833333333334,0.2679738562091503,0.6863592267036438,0.9905877121470392,0.9640287769784173,0.5234375,0.6784810126582278,0.8285192547405001,0.5897520050873825,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021543502807617,3143280,0.9771733491440006,0.42528735632183906,0.578125,0.4900662251655629,0.8285192547405001,0.5897520050873825,0.015109163707788774,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7264935489211763,0.9348958333333334,0.2753623188405797,0.6849536299705505,0.9901430371303639,0.9300699300699301,0.51953125,0.6666666666666666,0.8251322346925285,0.5849125655413794,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017176270484924,3143280,0.98102719928852,0.5,0.56640625,0.5311355311355311,0.8251322346925285,0.5849125655413794,0.010954143688146862,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7243944572550909,0.9384765625,0.28679245283018867,0.6835541129112244,0.9899206996220262,0.9347826086956522,0.50390625,0.6548223350253807,0.8229213390968497,0.5770362814904374,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020147562026978,3143280,0.9821388868302082,0.5278810408921933,0.5546875,0.540952380952381,0.8229213390968497,0.5770362814904374,0.009594318954445872,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7233166694641113,0.9401041666666666,0.2923076923076923,0.6821395754814148,0.989846587119247,0.9407407407407408,0.49609375,0.649616368286445,0.8201016504400545,0.569330673782402,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025440454483032,3143280,0.9821388868302082,0.528957528957529,0.53515625,0.5320388349514563,0.8201016504400545,0.569330673782402,0.009216589861751152,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7219536163977214,0.9407552083333334,0.3,0.6807259917259216,0.9896983621136886,0.9333333333333333,0.4921875,0.6445012787723785,0.8173071929062476,0.5631846540135655,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503096342086792,3143280,0.98102719928852,0.5,0.5234375,0.5114503816793893,0.8173071929062476,0.5631846540135655,0.010123139684218478,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7195631325244903,0.9397786458333334,0.29118773946360155,0.6793239712715149,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.8148957762805016,0.5566430987140137,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035055875778198,3143280,0.9808048617801823,0.4945054945054945,0.52734375,0.5103969754253308,0.8148957762805016,0.5566430987140137,0.010425322958374254,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
