round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8298355681555611,0.4127604166666667,0.1276595744680851,0.693400502204895,0.9903653746387016,0.9090909090909091,0.546875,0.6829268292682927,0.8508859812929667,0.6004851840734966,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046481490135193,3143280,0.4980360186763507,0.0326975476839237,0.890625,0.06307926407525245,0.8508859812929667,0.6004851840734966,0.5095565460451764,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8276068172284534,0.8030598958333334,0.24469413233458176,0.6914598345756531,0.9910323871637146,0.9591836734693877,0.55078125,0.6997518610421837,0.8563755949233209,0.6010490153039499,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039759278297424,3143280,0.8228711183576669,0.0738817891373802,0.72265625,0.13405797101449277,0.8563755949233209,0.6010490153039499,0.17519075319181082,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.8264961455549513,0.8759765625,0.25440313111545987,0.689976692199707,0.9908841621581561,0.9523809523809523,0.546875,0.6947890818858561,0.8452591457656569,0.6010959866293688,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034294128417969,3143280,0.9156599718372489,0.13970588235294118,0.66796875,0.23108108108108108,0.8452591457656569,0.6010959866293688,0.07954974692150789,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.8240961794342314,0.8990885416666666,0.2688679245283019,0.6887592077255249,0.99051359964426,0.8950617283950617,0.56640625,0.69377990430622,0.8397965338634131,0.6020214767099811,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025625824928284,3143280,0.9478247980434299,0.211340206185567,0.640625,0.3178294573643411,0.8397965338634131,0.6020214767099811,0.04623404094583365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8234975610460553,0.91015625,0.2849740932642487,0.68761146068573,0.9907359371525977,0.9395973154362416,0.546875,0.691358024691358,0.8358016060568859,0.602990603469444,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029590129852295,3143280,0.9626472985992737,0.28091872791519434,0.62109375,0.38686131386861317,0.8358016060568859,0.602990603469444,0.030747148145350154,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.822586839539664,0.9186197916666666,0.2937853107344633,0.6864925622940063,0.9907359371525977,0.958041958041958,0.53515625,0.6867167919799498,0.8341283842165899,0.6034061723706087,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503507137298584,3143280,0.9686504113243904,0.3264033264033264,0.61328125,0.4260515603799186,0.8341283842165899,0.6034061723706087,0.024476845206617814,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.8208811874900546,0.9202473958333334,0.301994301994302,0.6854037046432495,0.9905877121470392,0.9387755102040817,0.5390625,0.684863523573201,0.8337820833648107,0.6030479624847405,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5036892890930176,3143280,0.9694656488549618,0.33544303797468356,0.62109375,0.43561643835616437,0.8337820833648107,0.6030479624847405,0.023796932839767318,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.8208128111703055,0.9208984375,0.3037249283667622,0.6843254566192627,0.9903653746387016,0.9375,0.52734375,0.675,0.833758770397371,0.6021056059579145,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041407346725464,3143280,0.9682057363077151,0.32525252525252524,0.62890625,0.42876165113182424,0.833758770397371,0.6021056059579145,0.025232303392007254,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.8205428970711572,0.9205729166666666,0.3028571428571429,0.6832809448242188,0.99051359964426,0.9637681159420289,0.51953125,0.6751269035532995,0.8342955588501926,0.6010902233807642,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057200193405151,3143280,0.9659082487215593,0.30754716981132074,0.63671875,0.41475826972010177,0.8342955588501926,0.6010902233807642,0.0277253154037924,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.8182770716292518,0.919921875,0.3089887640449438,0.6822763681411743,0.9903653746387016,0.9565217391304348,0.515625,0.6700507614213198,0.8348454792910025,0.5999677363586232,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062772035598755,3143280,0.9634625361298451,0.2902654867256637,0.640625,0.3995127892813642,0.8348454792910025,0.5999677363586232,0.030293873234116492,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
