round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9855474838188716,0.3069661458333333,0.1154964686331533,0.6938398480415344,0.9907359371525977,0.9395973154362416,0.546875,0.691358024691358,0.852762380071013,0.6029913146080396,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051198601722717,3143280,0.3628548136070555,0.026993308381535668,0.9296875,0.0524633528050259,0.852762380071013,0.6029913146080396,0.6481075772455994,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9827958728585924,0.6998697916666666,0.1996527777777778,0.6922959685325623,0.9911064996664938,0.9657534246575342,0.55078125,0.7014925373134329,0.8600460593412405,0.6045508361807468,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046950578689575,3143280,0.7228192396057215,0.051954732510288065,0.7890625,0.09749034749034749,0.8600460593412405,0.6045508361807468,0.2784618871345471,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.982058589373316,0.8414713541666666,0.2698650674662669,0.6912027597427368,0.9908841621581561,0.934640522875817,0.55859375,0.6992665036674817,0.8510280723540078,0.6059857285566518,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504265546798706,3143280,0.8479211442970429,0.0865561694290976,0.734375,0.15485996705107083,0.8510280723540078,0.6059857285566518,0.14988290398126464,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9792110864605222,0.8681640625,0.27289048473967686,0.6903939843177795,0.9908100496553769,0.9177215189873418,0.56640625,0.7004830917874396,0.8474610407852988,0.6090188610788043,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040072798728943,3143280,0.8901652708811977,0.11591478696741854,0.72265625,0.19978401727861772,0.8474610407852988,0.6090188610788043,0.1065951499584498,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9793346537011011,0.8785807291666666,0.2813102119460501,0.6896857619285583,0.9908841621581561,0.934640522875817,0.55859375,0.6992665036674817,0.8451188253097378,0.6134846943733893,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049652457237244,3143280,0.9038760838953531,0.1300639658848614,0.71484375,0.2200841852074564,0.8451188253097378,0.6134846943733893,0.0924680818916673,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9789307683706283,0.8811848958333334,0.2829076620825147,0.6890379190444946,0.9908841621581561,0.9290322580645162,0.5625,0.7007299270072993,0.8450741175304072,0.6174420736163533,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5055738091468811,3143280,0.9063217964870673,0.1326530612244898,0.7109375,0.22358722358722358,0.8450741175304072,0.6174420736163533,0.0898995240613432,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.9770843867744718,0.8779296875,0.2802303262955854,0.688460111618042,0.9909582746609353,0.935064935064935,0.5625,0.7024390243902439,0.8461637774325754,0.6206310661405492,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5069193840026855,3143280,0.9013562588008597,0.1275121275121275,0.71875,0.21659799882283695,0.8461637774325754,0.6206310661405492,0.09511218554053033,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9780683875083923,0.8697916666666666,0.2805755395683453,0.687934398651123,0.9909582746609353,0.9294871794871795,0.56640625,0.7038834951456311,0.847746845962076,0.623616360315266,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5079562664031982,3143280,0.8927592084784703,0.11900191938579655,0.7265625,0.2045079714128642,0.847746845962076,0.623616360315266,0.1040265921281257,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9788370149476187,0.8597005208333334,0.28046744574290483,0.6874978542327881,0.9910323871637146,0.9470198675496688,0.55859375,0.7027027027027027,0.849829667787263,0.6269195936948897,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.509935200214386,3143280,0.8794930704809901,0.10722477064220183,0.73046875,0.187,0.849829667787263,0.6269195936948897,0.1176248394651356,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9762164771556854,0.8411458333333334,0.26506024096385544,0.68714839220047,0.9909582746609353,0.935064935064935,0.5625,0.7024390243902439,0.8517919409137267,0.6293706864232089,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5108473300933838,3143280,0.8646705699251463,0.09619341563786009,0.73046875,0.17,0.8517919409137267,0.6293706864232089,0.1327340031729244,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
