round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2963212111166547,0.1494140625,0.10237031947784267,0.6947180032730103,0.9910323871637146,0.9530201342281879,0.5546875,0.7012345679012346,0.8559726347076376,0.6063707346140799,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057615637779236,3143280,0.1587489809530868,0.02139591062030886,0.96875,0.041867139360175575,0.8559726347076376,0.6063707346140799,0.8569162196872403,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2896826871803828,0.302734375,0.11779242174629324,0.6939640045166016,0.9908100496553769,0.9285714285714286,0.55859375,0.697560975609756,0.865873858549898,0.6103335681985711,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5058729648590088,3143280,0.2931149484918106,0.02526595744680851,0.96484375,0.04924242424242424,0.865873858549898,0.6103335681985711,0.7198761048575961,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.287067000780787,0.3795572916666667,0.12568807339449542,0.69364333152771,0.9908841621581561,0.9235668789808917,0.56640625,0.7021791767554479,0.8599533976731888,0.6154444098089914,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057321786880493,3143280,0.34336322537612096,0.026420079260237782,0.9375,0.05139186295503212,0.8599533976731888,0.6154444098089914,0.6681272191584195,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2806912243366242,0.38671875,0.12696941612604262,0.6936396360397339,0.9908841621581561,0.9182389937106918,0.5703125,0.7036144578313253,0.8594952535978696,0.622380712982391,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063443183898926,3143280,0.3365448751204328,0.0262584441054696,0.94140625,0.05109179563281747,0.8594952535978696,0.622380712982391,0.6751529802825413,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2798328825405667,0.3577473958333333,0.12427873945849978,0.693793535232544,0.9908841621581561,0.9182389937106918,0.5703125,0.7036144578313253,0.8587788962755911,0.6285781025371753,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5080538392066956,3143280,0.31660861187282296,0.025510744151582512,0.94140625,0.049675358136658763,0.8587788962755911,0.6285781025371753,0.6954748054695172,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2781511958156315,0.3268229166666667,0.12149532710280374,0.6940680742263794,0.9908841621581561,0.9182389937106918,0.5703125,0.7036144578313253,0.8599590045894085,0.6345978104547281,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5099008083343506,3143280,0.2948936485585118,0.025035912169095013,0.953125,0.04879024195160968,0.8599590045894085,0.6345978104547281,0.7178363677570446,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2732933427606312,0.2913411458333333,0.11826650465775618,0.6944934129714966,0.9908100496553769,0.9125,0.5703125,0.7019230769230769,0.8627893168769358,0.6403004943620155,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5120711326599121,3143280,0.2637663973912399,0.024375860035384313,0.96875,0.047555129434324064,0.8627893168769358,0.6403004943620155,0.7498677948175568,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2742912411689757,0.2630208333333333,0.11493354182955434,0.6950531005859375,0.9908100496553769,0.9125,0.5703125,0.7019230769230769,0.8654365190847624,0.6456549731324842,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5145034790039062,3143280,0.2335284962573186,0.02352607709750567,0.97265625,0.0459409594095941,0.8654365190847624,0.6456549731324842,0.7807660345999848,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2745570165770395,0.22623697916666666,0.11007113440658929,0.6958169341087341,0.9905877121470392,0.8771929824561403,0.5859375,0.702576112412178,0.866721240651205,0.6504178110257228,0.0015864621893178213,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.515657365322113,3143280,0.2035870451345142,0.022834788937409024,0.98046875,0.044630156472261734,0.866721240651205,0.6504178110257228,0.811437636926796,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2693367506776538,0.19596354166666666,0.10765895953757225,0.6967642307281494,0.9908100496553769,0.9074074074074074,0.57421875,0.7033492822966507,0.8676392994069653,0.65473449076038,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5194911360740662,3143280,0.17283035648113837,0.02200403261155431,0.98046875,0.043042098945382835,0.8676392994069653,0.65473449076038,0.8427891516204578,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
