round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7078744832958495,0.251953125,0.11136890951276102,0.6940550208091736,0.9902912621359223,0.9032258064516129,0.546875,0.681265206812652,0.8500689945795875,0.5993910158470035,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049773454666138,3143280,0.30482472393092713,0.025088486362689986,0.94140625,0.048874467653619955,0.8500689945795875,0.5993910158470035,0.7074865906172093,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7068208038806916,0.5895182291666666,0.16434724983432736,0.6927821636199951,0.9909582746609353,0.9527027027027027,0.55078125,0.698019801980198,0.8549226658702878,0.5993601608700279,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046149492263794,3143280,0.6284740235677759,0.04127290260366442,0.8359375,0.07866201065980519,0.8549226658702878,0.5993601608700279,0.37553826395709,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7062019390719279,0.7688802083333334,0.22319474835886213,0.6919757127761841,0.9908100496553769,0.9459459459459459,0.546875,0.693069306930693,0.8433015942528518,0.5983587358501734,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504385769367218,3143280,0.7730675164900319,0.06046365914786967,0.75390625,0.11194895591647332,0.8433015942528518,0.5983587358501734,0.22656190979829266,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7048942025218692,0.8125,0.23809523809523808,0.6914457678794861,0.9907359371525977,0.9395973154362416,0.546875,0.691358024691358,0.8371767760349778,0.59770015250576,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043359398841858,3143280,0.8155339805825242,0.07107184018440262,0.72265625,0.12941587967820917,0.8371767760349778,0.59770015250576,0.18266978922716628,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7045277867998396,0.8229166666666666,0.23380281690140844,0.6910015344619751,0.9904394871414808,0.9205298013245033,0.54296875,0.683046683046683,0.8324423254891593,0.5957397624351239,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046071410179138,3143280,0.8283554435633291,0.07508250825082509,0.7109375,0.13582089552238805,0.8324423254891593,0.5957397624351239,0.16937372516431215,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7040038274867193,0.8216145833333334,0.2388888888888889,0.690604567527771,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8299749872516431,0.5939338286233645,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504917323589325,3143280,0.8285777810716668,0.0751755472945064,0.7109375,0.13597310422114306,0.8299749872516431,0.5939338286233645,0.16914708770869533,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7030545430524009,0.8121744791666666,0.23576158940397351,0.6902523636817932,0.9900689246275847,0.9066666666666666,0.53125,0.6699507389162561,0.8288178968044119,0.5912318913781008,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056805610656738,3143280,0.8221299933298748,0.0732484076433121,0.71875,0.1329479768786127,0.8288178968044119,0.5912318913781008,0.17587066555866132,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7030309953859875,0.79296875,0.22249388753056235,0.6899352073669434,0.9896242496109093,0.8918918918918919,0.515625,0.6534653465346535,0.8281202783863413,0.5867755165835861,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5065761804580688,3143280,0.8121248054546802,0.06951265583679637,0.71875,0.12676541508784017,0.8281202783863413,0.5867755165835861,0.18606935106141875,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7026036833013807,0.7679036458333334,0.20512820512820512,0.6896690726280212,0.9899206996220262,0.9347826086956522,0.50390625,0.6548223350253807,0.8279861550483494,0.5821135607114248,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5085164308547974,3143280,0.796487067368265,0.06468531468531469,0.72265625,0.11874197689345314,0.8279861550483494,0.5821135607114248,0.20208506459167486,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7014793894120626,0.7428385416666666,0.19222903885480572,0.6894702315330505,0.9899206996220262,0.9347826086956522,0.50390625,0.6548223350253807,0.8271988259707637,0.5779957255849246,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5097585916519165,3143280,0.7770695916401097,0.05897435897435897,0.71875,0.10900473933649289,0.8271988259707637,0.5779957255849246,0.2218025232303392,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
