round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.70716084923063,0.6848958333333334,0.18927973199329984,0.6920585632324219,0.9899948121248054,0.8853503184713376,0.54296875,0.6731234866828087,0.848420118559719,0.5959715389664323,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037322640419006,3143280,0.7410509152894094,0.05374862183020948,0.76171875,0.1004119464469619,0.848420118559719,0.5959715389664323,0.2593487950441943,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7032394911561693,0.8909505208333334,0.2505592841163311,0.688834547996521,0.9899948121248054,0.8805031446540881,0.546875,0.6746987951807228,0.8509866106840673,0.5930932295544984,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018779039382935,3143280,0.942785147854443,0.19212410501193317,0.62890625,0.2943327239488117,0.8509866106840673,0.5930932295544984,0.051144519150865,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.699793142931802,0.9329427083333334,0.23703703703703705,0.6860754489898682,0.9902171496331431,0.9492753623188406,0.51171875,0.6649746192893401,0.83652283254325,0.5863135435250438,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008282661437988,3143280,0.986807974505299,0.6911764705882353,0.55078125,0.6130434782608696,0.83652283254325,0.5863135435250438,0.004759386567953464,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.695729769553457,0.94921875,0.27102803738317754,0.6835429668426514,0.9901430371303639,0.9694656488549618,0.49609375,0.6563307493540051,0.8262177631827452,0.5755521444903525,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49980428814888,3143280,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8262177631827452,0.5755521444903525,0.0003021832741557755,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6925839509282794,0.9537760416666666,0.25263157894736843,0.6810203790664673,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8159786488630355,0.5619142668469989,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49886614084243774,3143280,0.9894019121025717,0.9669421487603306,0.45703125,0.6206896551724138,0.8159786488630355,0.5619142668469989,0.0003021832741557755,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6893289898123061,0.9537760416666666,0.23655913978494625,0.6784657835960388,0.989846587119247,0.9541984732824428,0.48828125,0.6459948320413437,0.8055447679799048,0.5491583781592987,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49804040789604187,3143280,0.9886607870747796,0.9724770642201835,0.4140625,0.5808219178082191,0.8055447679799048,0.5491583781592987,0.0002266374556168316,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6857522674969265,0.955078125,0.23333333333333334,0.6758723258972168,0.9894760246053509,0.9318181818181818,0.48046875,0.634020618556701,0.7948978242804261,0.5373556625798052,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.497376024723053,3143280,0.988141999555325,0.9705882352941176,0.38671875,0.553072625698324,0.7948978242804261,0.5373556625798052,0.0002266374556168316,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6829585756574359,0.9541015625,0.2033898305084746,0.6732099056243896,0.9888831245831172,0.8785714285714286,0.48046875,0.6212121212121212,0.7809335043344412,0.5264211804098516,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4964437782764435,3143280,0.9873267620247536,0.9775280898876404,0.33984375,0.5043478260869565,0.7809335043344412,0.5264211804098516,0.00015109163707788774,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6799222405467715,0.9537760416666666,0.19318181818181818,0.6704924702644348,0.9883643370636627,0.8613138686131386,0.4609375,0.6005089058524173,0.7688092857615019,0.5111112556814323,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4958222210407257,3143280,0.9869561995108574,0.9878048780487805,0.31640625,0.47928994082840237,0.7688092857615019,0.5111112556814323,7.554581853894387e-05,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6761776728289468,0.9527994791666666,0.16184971098265896,0.667726457118988,0.9876973245386497,0.8629032258064516,0.41796875,0.5631578947368421,0.7567331686277101,0.49027985228908133,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4954968988895416,3143280,0.986437411991403,0.9866666666666667,0.2890625,0.4471299093655589,0.7567331686277101,0.49027985228908133,7.554581853894387e-05,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
