round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7076578846999577,0.4869791666666667,0.13973799126637554,0.6930637955665588,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8492642545516356,0.5979800172017854,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043578743934631,3143280,0.5801526717557252,0.037929267042542285,0.8671875,0.07267965297102635,0.8492642545516356,0.5979800172017854,0.4253985041927929,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7053211395229613,0.8453776041666666,0.26584234930448225,0.6908138394355774,0.9908100496553769,0.9459459459459459,0.546875,0.693069306930693,0.8530588088785224,0.5970958943550987,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033431649208069,3143280,0.8730452827391981,0.097736057426836,0.69140625,0.17126269956458637,0.8530588088785224,0.5970958943550987,0.12344186749263428,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7032311286245074,0.8942057291666666,0.25968109339407747,0.6890265345573425,0.9907359371525977,0.9455782312925171,0.54296875,0.6898263027295285,0.8402793188600136,0.5949517702151894,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024353265762329,3143280,0.9420440228266509,0.19131455399061034,0.63671875,0.29422382671480146,0.8402793188600136,0.5949517702151894,0.05205106897333232,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7007828840187618,0.916015625,0.25862068965517243,0.6874846816062927,0.9903653746387016,0.92,0.5390625,0.6798029556650246,0.8327602966589862,0.590908252166802,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017499327659607,3143280,0.9707996739049878,0.3431818181818182,0.58984375,0.4339080459770115,0.8327602966589862,0.590908252166802,0.02183274155775478,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6988562507288797,0.9296875,0.25517241379310346,0.6859873533248901,0.9903653746387016,0.9565217391304348,0.515625,0.6700507614213198,0.8266409378069048,0.5844555323458851,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019287467002869,3143280,0.9793967242273771,0.46474358974358976,0.56640625,0.5105633802816901,0.8266409378069048,0.5844555323458851,0.012616151696003627,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.696831523520606,0.9368489583333334,0.2706766917293233,0.6844885945320129,0.989846587119247,0.916083916083916,0.51171875,0.656641604010025,0.8226263857936087,0.5764338831499254,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5013853907585144,3143280,0.9825835618468836,0.5405405405405406,0.546875,0.5436893203883495,0.8226263857936087,0.5764338831499254,0.008989952406134321,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6945962028844015,0.939453125,0.2677165354330709,0.6829856634140015,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8192612032088087,0.5673361312723186,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022483468055725,3143280,0.9836952493885719,0.5775862068965517,0.5234375,0.5491803278688525,0.8192612032088087,0.5673361312723186,0.007403490216816499,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930024487631662,0.94140625,0.28,0.6814605593681335,0.9899206996220262,0.96875,0.484375,0.6458333333333334,0.8151640229564856,0.5582241745848906,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026894807815552,3143280,0.9836952493885719,0.5789473684210527,0.515625,0.5454545454545454,0.8151640229564856,0.5582241745848906,0.0072523985797386115,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6908698137317385,0.9410807291666666,0.2788844621513944,0.6799306869506836,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.8113842236722821,0.5508518466410552,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026789307594299,3143280,0.982731786852442,0.548936170212766,0.50390625,0.5254582484725051,0.8113842236722821,0.5508518466410552,0.00800785676512805,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6885659630809511,0.9407552083333334,0.2777777777777778,0.67840975522995,0.989179574594234,0.8985507246376812,0.484375,0.6294416243654822,0.8072657961584951,0.5432305054162309,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028401613235474,3143280,0.9819906618246498,0.5265306122448979,0.50390625,0.5149700598802395,0.8072657961584951,0.5432305054162309,0.008763314950517489,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
