round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7072009312255041,0.4905598958333333,0.14152495885902358,0.6930462718009949,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8492245634868173,0.5980781107092503,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043430328369141,3143280,0.5842288594085823,0.038129744651483784,0.86328125,0.07303370786516854,0.8492245634868173,0.5980781107092503,0.4211679383546121,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7045852018254144,0.8473307291666666,0.26604068857589985,0.6907914876937866,0.9908100496553769,0.94,0.55078125,0.6945812807881774,0.8529351616208356,0.5969514078092327,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032922625541687,3143280,0.875046320314237,0.09876543209876543,0.6875,0.17271835132482827,0.8529351616208356,0.5969514078092327,0.12132658457354385,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7029829246657235,0.896484375,0.2638888888888889,0.6889998912811279,0.9907359371525977,0.9517241379310345,0.5390625,0.6882793017456359,0.8398189615282919,0.5945663642174059,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024274587631226,3143280,0.9455273104572741,0.2009987515605493,0.62890625,0.304635761589404,0.8398189615282919,0.5945663642174059,0.048349323864924076,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7004556570734297,0.9176432291666666,0.25806451612903225,0.6874560117721558,0.9903653746387016,0.9256756756756757,0.53515625,0.6782178217821783,0.8319328338653018,0.590321011417147,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017156600952148,3143280,0.9735418365078189,0.3746898263027295,0.58984375,0.4582701062215478,0.8319328338653018,0.590321011417147,0.019037546271813855,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6984261470181601,0.93359375,0.26618705035971224,0.6859591007232666,0.9902171496331431,0.9428571428571428,0.515625,0.6666666666666666,0.8251927303675304,0.5836763895470738,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015133023262024,3143280,0.9813977618024161,0.5088967971530249,0.55859375,0.5325884543761639,0.8251927303675304,0.5836763895470738,0.010425322958374254,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6962399546589171,0.9397786458333334,0.26877470355731226,0.6844680309295654,0.9896242496109093,0.8972602739726028,0.51171875,0.6517412935323383,0.8207100008498904,0.57515068302915,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009841918945312,3143280,0.9848069369302601,0.6133333333333333,0.5390625,0.5738045738045738,0.8207100008498904,0.57515068302915,0.006572486212888117,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6942025380475181,0.9420572916666666,0.2644628099173554,0.6829759478569031,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8168453600702577,0.5655383214806476,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019984841346741,3143280,0.9855480619580523,0.6487804878048781,0.51953125,0.5770065075921909,0.8168453600702577,0.5655383214806476,0.005439298934803959,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6927427930491312,0.9427083333333334,0.26666666666666666,0.6814603805541992,0.9899206996220262,0.96875,0.484375,0.6458333333333334,0.8120098374820579,0.5560833370354124,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502127468585968,3143280,0.9858445119691692,0.6701570680628273,0.5,0.5727069351230425,0.8120098374820579,0.5560833370354124,0.004759386567953464,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6909937151840755,0.9456380208333334,0.27705627705627706,0.6799334287643433,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.807440053212586,0.5484269758563858,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018641352653503,3143280,0.9852516119469354,0.6461538461538462,0.4921875,0.5587583148558758,0.807440053212586,0.5484269758563858,0.005212661479187127,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6884669925485338,0.9462890625,0.2794759825327511,0.6784093379974365,0.9891054620914548,0.8920863309352518,0.484375,0.6278481012658228,0.8024311588728564,0.5408334829108791,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018347501754761,3143280,0.9845104869191432,0.6146341463414634,0.4921875,0.5466377440347071,0.8024311588728564,0.5408334829108791,0.005968119664576566,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
