round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6994542758911848,0.4954427083333333,0.16666666666666666,0.6930647492408752,0.9888839484215207,0.813953488372093,0.5426356589147286,0.6511627906976745,0.839220495664865,0.5847141146548155,0.0024176488365064974,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503903865814209,3143280,0.5821846746702238,0.037800687285223365,0.8527131782945736,0.0723922342875946,0.839220495664865,0.5847141146548155,0.4230885463886371,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6969522871077061,0.83984375,0.28488372093023256,0.6908239722251892,0.9900696605898918,0.9078947368421053,0.5348837209302325,0.6731707317073171,0.8407567100297286,0.5860074148089358,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030817985534668,3143280,0.880243070994516,0.10292397660818714,0.6821705426356589,0.17886178861788618,0.8407567100297286,0.5860074148089358,0.11589604110003023,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6947915107011795,0.8938802083333334,0.28193832599118945,0.6890758872032166,0.990514302653031,0.9577464788732394,0.5271317829457365,0.68,0.8292611646414173,0.5851188847750732,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025425553321838,3143280,0.9439751000444642,0.1941031941031941,0.6124031007751938,0.2947761194029851,0.8292611646414173,0.5851188847750732,0.0495618011483832,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.692791473120451,0.9143880208333334,0.27548209366391185,0.68755704164505,0.989773232547799,0.8947368421052632,0.5271317829457365,0.6634146341463415,0.8223045675290082,0.5808955108517375,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015949606895447,3143280,0.9712464799170002,0.3488372093023256,0.5813953488372093,0.436046511627907,0.8223045675290082,0.5808955108517375,0.021154427319431852,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6904653795063496,0.9231770833333334,0.2578616352201258,0.6860800385475159,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8173767338782414,0.5723044001128377,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020696520805359,3143280,0.9789536090114125,0.45695364238410596,0.5348837209302325,0.4928571428571429,0.8173767338782414,0.5723044001128377,0.0123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6886479370296001,0.9303385416666666,0.27702702702702703,0.6845977902412415,0.989773232547799,0.9545454545454546,0.4883720930232558,0.6461538461538462,0.813816441417698,0.562295106496778,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020654797554016,3143280,0.9831036016007114,0.5630252100840336,0.5193798449612403,0.5403225806451613,0.813816441417698,0.562295106496778,0.007857358718646117,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6860415153205395,0.9339192708333334,0.28771929824561404,0.6831180453300476,0.9894768045057062,0.953125,0.4728682170542636,0.6321243523316062,0.8104687474376906,0.5493354794229739,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501910388469696,3143280,0.9841410997480362,0.6018518518518519,0.5038759689922481,0.5485232067510548,0.8104687474376906,0.5493354794229739,0.006497431248111212,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6844467278569937,0.9358723958333334,0.2939068100358423,0.6816318035125732,0.9893285904846598,0.9672131147540983,0.4573643410852713,0.6210526315789474,0.8045253607146119,0.5378990753846148,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027585029602051,3143280,0.9834000296428043,0.5765765765765766,0.49612403100775193,0.5333333333333333,0.8045253607146119,0.5378990753846148,0.007101843457237836,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6824937053024769,0.935546875,0.29285714285714287,0.6801254749298096,0.9893285904846598,0.9672131147540983,0.4573643410852713,0.6210526315789474,0.797730994398645,0.5276680596128389,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030774474143982,3143280,0.982955387579665,0.5625,0.4883720930232558,0.5228215767634855,0.797730994398645,0.5276680596128389,0.007404049561801148,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6802180781960487,0.9348958333333334,0.2907801418439716,0.6786061525344849,0.9888839484215207,0.9354838709677419,0.4496124031007752,0.6073298429319371,0.7905096741093705,0.5183200143497548,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029333829879761,3143280,0.9823625314954795,0.5431034482758621,0.4883720930232558,0.5142857142857142,0.7905096741093705,0.5183200143497548,0.008008461770927773,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
