round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7298053540289402,0.4729817708333333,0.16157431382703263,0.6931516528129578,0.9890321624425671,0.8235294117647058,0.5426356589147286,0.6542056074766355,0.839650377991899,0.5856397280574226,0.0022665457842248413,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040172338485718,3143280,0.5667704164813991,0.0364963503649635,0.8527131782945736,0.06999681832643971,0.839650377991899,0.5856397280574226,0.43880326382592927,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.727530725300312,0.8313802083333334,0.28254847645429365,0.6909892559051514,0.9902178746109382,0.92,0.5348837209302325,0.6764705882352942,0.8416568859652206,0.5877133193361599,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033251047134399,3143280,0.8710538016896399,0.09684439608269858,0.689922480620155,0.16984732824427481,0.8416568859652206,0.5877133193361599,0.12541553339377456,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7256638593971729,0.8893229166666666,0.2796610169491525,0.6893203854560852,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8305554969884811,0.5874372795187613,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027385950088501,3143280,0.9361197569290055,0.17316017316017315,0.6201550387596899,0.2707275803722504,0.8305554969884811,0.5874372795187613,0.05772136597159263,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7239416539669037,0.9098307291666666,0.2805194805194805,0.6878849864006042,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8242659788549433,0.5849642242814922,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023850798606873,3143280,0.967392915369794,0.31275720164609055,0.5891472868217055,0.40860215053763443,0.8242659788549433,0.5849642242814922,0.02523420973103657,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7218492850661278,0.9208984375,0.2831858407079646,0.6864978075027466,0.9902178746109382,0.9701492537313433,0.5038759689922481,0.6632653061224489,0.8201200156491223,0.5794264545988281,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022788047790527,3143280,0.9755446865273455,0.4010989010989011,0.5658914728682171,0.4694533762057878,0.8201200156491223,0.5794264545988281,0.016470232698700515,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7205681689083576,0.9270833333333334,0.27741935483870966,0.6851129531860352,0.9899214465688454,0.9692307692307692,0.4883720930232558,0.6494845360824743,0.817481568941646,0.5719442443991511,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028976202011108,3143280,0.9793982510745517,0.46621621621621623,0.5348837209302325,0.4981949458483754,0.817481568941646,0.5719442443991511,0.011937141130250831,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7179447617381811,0.9296875,0.2894736842105263,0.6837378144264221,0.9896250185267527,0.9538461538461539,0.4806201550387597,0.6391752577319587,0.8158405195133778,0.5628464129099051,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027445554733276,3143280,0.9804357492218764,0.48905109489051096,0.5193798449612403,0.5037593984962406,0.8158405195133778,0.5628464129099051,0.010577213659715926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7167654689401388,0.9300130208333334,0.29042904290429045,0.6823660731315613,0.9894768045057062,0.953125,0.4728682170542636,0.6321243523316062,0.8133719173220322,0.5514269643295084,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030212998390198,3143280,0.9807321772639692,0.49624060150375937,0.5116279069767442,0.5038167938931297,0.8133719173220322,0.5514269643295084,0.010123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7149699088186026,0.9303385416666666,0.29605263157894735,0.6809831857681274,0.9893285904846598,0.9523809523809523,0.46511627906976744,0.625,0.8103246724343521,0.5431695383057902,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035848617553711,3143280,0.9801393211797836,0.48175182481751827,0.5116279069767442,0.49624060150375937,0.8103246724343521,0.5431695383057902,0.010728316711997582,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7128147650510073,0.9309895833333334,0.3026315789473684,0.6795973181724548,0.9891803764636135,0.9375,0.46511627906976744,0.6217616580310881,0.8065933641161878,0.5356580445286845,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035899877548218,3143280,0.9786571809693198,0.4482758620689655,0.5038759689922481,0.4744525547445255,0.8065933641161878,0.5356580445286845,0.012088244182532487,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
