round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8208112325519323,0.40625,0.146866230121609,0.6934124231338501,0.9894768045057062,0.8536585365853658,0.5426356589147286,0.6635071090047393,0.8409042990575386,0.5883091471766306,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042933225631714,3143280,0.5022973173262191,0.03270622286541244,0.875968992248062,0.06305803571428571,0.8409042990575386,0.5883091471766306,0.5049864007252947,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8190135899931192,0.7945963541666666,0.26025791324736225,0.6914852261543274,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8441512576693584,0.5917959332299566,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039030909538269,3143280,0.8307395879650215,0.07685881370091896,0.7131782945736435,0.138763197586727,0.8441512576693584,0.5917959332299566,0.16696887277123,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.8178023621439934,0.875,0.2808988764044944,0.6900530457496643,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8343752415891825,0.5927971558501746,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037443041801453,3143280,0.9164072921298355,0.1416803953871499,0.6666666666666666,0.23369565217391305,0.8343752415891825,0.5927971558501746,0.07872469023874282,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.816697932779789,0.8974609375,0.29213483146067415,0.6888666152954102,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8296400936136119,0.5922667253534085,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033941268920898,3143280,0.9453090262338817,0.20149253731343283,0.627906976744186,0.3050847457627119,0.8296400936136119,0.5922667253534085,0.048504079782411606,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8150947857648134,0.9088541666666666,0.3069306930693069,0.6877473592758179,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8270660706881162,0.5925485669378504,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031943917274475,3143280,0.9610197124647992,0.2673611111111111,0.5968992248062015,0.36930455635491605,0.8270660706881162,0.5925485669378504,0.03188274403142943,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.8152211811393499,0.9150390625,0.31496062992125984,0.6866524815559387,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8260844865190308,0.5915907051372529,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042253732681274,3143280,0.9676893434118867,0.3168724279835391,0.5968992248062015,0.41397849462365593,0.8260844865190308,0.5915907051372529,0.02508310667875491,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.8123139459639788,0.91796875,0.3225806451612903,0.6855895519256592,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8262057203633033,0.5911731330361868,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043354034423828,3143280,0.9681339854750259,0.32231404958677684,0.6046511627906976,0.42048517520215634,0.8262057203633033,0.5911731330361868,0.0247809005741916,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.8121564406901598,0.9169921875,0.32,0.6845585107803345,0.9900696605898918,0.9428571428571428,0.5116279069767442,0.6633165829145728,0.8264511164055747,0.5901928084849944,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045509934425354,3143280,0.967392915369794,0.3157894736842105,0.6046511627906976,0.4148936170212766,0.8264511164055747,0.5901928084849944,0.02553641583559988,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.8106428142637014,0.9176432291666666,0.3394255874673629,0.6835431456565857,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8276043021030266,0.5870839621037577,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5064734816551208,3143280,0.9657625611382836,0.3053435114503817,0.6201550387596899,0.4092071611253197,0.8276043021030266,0.5870839621037577,0.027500755515261408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.8086440656334162,0.9163411458333334,0.3393316195372751,0.6825559735298157,0.9900696605898918,0.984375,0.4883720930232558,0.6528497409326425,0.828847095424506,0.5846361919141436,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5079203248023987,3143280,0.9625018526752631,0.28620689655172415,0.6434108527131783,0.39618138424821003,0.828847095424506,0.5846361919141436,0.03127833182230281,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
