round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9723300915211439,0.3082682291666667,0.1322988975091874,0.6938470005989075,0.9899214465688454,0.8961038961038961,0.5348837209302325,0.6699029126213593,0.8427028939162866,0.5917063901443971,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048931837081909,3143280,0.36742255817400327,0.02697142857142857,0.9147286821705426,0.052397868561278864,0.8427028939162866,0.5917063901443971,0.64324569356301,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.970647756010294,0.7021484375,0.22784810126582278,0.6923108100891113,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8479745162945315,0.594625236299736,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045327544212341,3143280,0.7284719134430117,0.05207785376117833,0.7674418604651163,0.09753694581280788,0.8479745162945315,0.594625236299736,0.27228770021154425,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9697864577174187,0.8359375,0.30386740331491713,0.6912707090377808,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8398916743389533,0.5965224793504944,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047234296798706,3143280,0.8520824069957018,0.08658420551855375,0.7054263565891473,0.15423728813559323,0.8398916743389533,0.5965224793504944,0.14505893019038985,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9690139628946781,0.8658854166666666,0.3016949152542373,0.6904959082603455,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8374921812955505,0.5993669632504333,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050002336502075,3143280,0.8907662664888099,0.11518987341772152,0.7054263565891473,0.19804134929270947,0.8374921812955505,0.5993669632504333,0.1056210335448776,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9675408490002155,0.8792317708333334,0.30654205607476637,0.6898177862167358,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8362570016937598,0.6036054327270357,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5054115653038025,3143280,0.9044019564250778,0.13142857142857142,0.7131782945736435,0.22195416164053075,0.8362570016937598,0.6036054327270357,0.0918706557872469,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9693874586373568,0.8821614583333334,0.3143939393939394,0.6892001628875732,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8365141111509367,0.6073803416154784,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5067379474639893,3143280,0.9060323106565881,0.1324599708879185,0.7054263565891473,0.22303921568627452,0.8365141111509367,0.6073803416154784,0.09005741915986704,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.96526257134974,0.8779296875,0.31444241316270566,0.6886506080627441,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8376192718472758,0.6113554826564686,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5080175399780273,3143280,0.9006966058989181,0.1279229711141678,0.7209302325581395,0.21728971962616822,0.8376192718472758,0.6113554826564686,0.09579933514656996,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9661174919456244,0.8704427083333334,0.3184931506849315,0.6881784200668335,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8395297298183718,0.6150488529682836,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5096075534820557,3143280,0.8912109085519491,0.11757269279393173,0.7209302325581395,0.20217391304347826,0.8395297298183718,0.6150488529682836,0.10546993049259595,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9644741602241993,0.8541666666666666,0.30218068535825543,0.6877680420875549,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8421921890264045,0.617995473093573,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5114918351173401,3143280,0.8766859344894027,0.1046119235095613,0.7209302325581395,0.18271119842829076,0.8421921890264045,0.617995473093573,0.12027802961619825,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9620969388633966,0.837890625,0.2905982905982906,0.6874367594718933,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8446777756693631,0.6206046225473738,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5127409100532532,3143280,0.8591966800059285,0.0931615460852329,0.7286821705426356,0.16520210896309315,0.8446777756693631,0.6206046225473738,0.13825929283771532,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
