round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2747778855264187,0.15397135416666666,0.11628697721863311,0.6947158575057983,0.990514302653031,0.9452054794520548,0.5348837209302325,0.6831683168316832,0.846012519297851,0.5968784482311382,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056617259979248,3143280,0.16659255965614347,0.02176183844011142,0.9689922480620154,0.04256768261535842,0.846012519297851,0.5968784482311382,0.8490480507706256,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2708044536411762,0.3076171875,0.13360488798370673,0.6939592361450195,0.9909589447161702,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.8545732685815758,0.5989596972680927,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.50616854429245,3143280,0.30532088335556545,0.025406080799666806,0.9457364341085271,0.049482863516528086,0.8545732685815758,0.5989596972680927,0.7071622846781505,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2679551430046558,0.3798828125,0.14227825303917155,0.6936958432197571,0.9906625166740773,0.9230769230769231,0.5581395348837209,0.6956521739130435,0.8497725254825341,0.6036970575275611,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505560040473938,3143280,0.33911368015414256,0.0262582056892779,0.9302325581395349,0.05107469674398808,0.8497725254825341,0.6036970575275611,0.6724085826533696,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2653748225420713,0.3753255208333333,0.13907581875280395,0.6937314867973328,0.9906625166740773,0.9230769230769231,0.5581395348837209,0.6956521739130435,0.8495798398073378,0.6110839287814238,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5064080357551575,3143280,0.32636727434415297,0.02577319587628866,0.9302325581395349,0.050156739811912224,0.8495798398073378,0.6110839287814238,0.6854034451495921,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2617663517594337,0.3509114583333333,0.13529921942758022,0.6939191818237305,0.9906625166740773,0.9342105263157895,0.5503875968992248,0.6926829268292682,0.8492975465081138,0.6187333385632665,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5089744925498962,3143280,0.3035423151030087,0.025736820257368204,0.9612403100775194,0.050131392763290886,0.8492975465081138,0.6187333385632665,0.7092777274100937,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.264911588281393,0.3206380208333333,0.1336654213366542,0.6942366361618042,0.9906625166740773,0.9342105263157895,0.5503875968992248,0.6926829268292682,0.850314270921916,0.6244335602124101,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5108238458633423,3143280,0.27923521565140064,0.025080256821829856,0.9689922480620154,0.048894973596714256,0.850314270921916,0.6244335602124101,0.734209731036567,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2558413352817297,0.2880859375,0.13248710829036098,0.6946914196014404,0.9906625166740773,0.9230769230769231,0.5581395348837209,0.6956521739130435,0.852682137745074,0.629816061329555,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5118833184242249,3143280,0.24885134133689046,0.024272779811211714,0.9767441860465116,0.04736842105263158,0.852682137745074,0.629816061329555,0.7653369598065881,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.256410313770175,0.2604166666666667,0.12883435582822086,0.6953137516975403,0.9908107306951237,0.9240506329113924,0.5658914728682171,0.7019230769230769,0.8561944052045045,0.6346803663328093,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.514339804649353,3143280,0.21772639691714837,0.02368177613320999,0.9922480620155039,0.046259486808818216,0.8561944052045045,0.6346803663328093,0.7973708068902992,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2525808978825808,0.2275390625,0.12532252119424991,0.6960988640785217,0.9908107306951237,0.9240506329113924,0.5658914728682171,0.7019230769230769,0.8595151583302293,0.6373795995863031,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5181664228439331,3143280,0.18882466281310212,0.022857142857142857,0.9922480620155039,0.044684936289055684,0.8595151583302293,0.6373795995863031,0.8268359020852222,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2472672034054995,0.193359375,0.12127659574468085,0.6970638036727905,0.9908107306951237,0.9240506329113924,0.5658914728682171,0.7019230769230769,0.8624476117518348,0.6408829269158287,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5213942527770996,3143280,0.1630354231510301,0.02216834083824039,0.9922480620155039,0.04336777909537523,0.8624476117518348,0.6408829269158287,0.8531278331822303,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
