round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7079041544348001,0.2532552083333333,0.12642802741812642,0.6940653920173645,0.9894768045057062,0.8536585365853658,0.5426356589147286,0.6635071090047393,0.840067961233282,0.5873845441658284,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046156644821167,3143280,0.3073958796502149,0.024884985361773318,0.9224806201550387,0.048462634901242106,0.840067961233282,0.5873845441658284,0.7045935327893623,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.706849928945303,0.5986328125,0.1893491124260355,0.6928067803382874,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8428733241031624,0.5898709594473494,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504561185836792,3143280,0.6336149399733215,0.041487279843444226,0.8217054263565892,0.07898658718330849,0.8428733241031624,0.5898709594473494,0.37005137503777574,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7061424795538187,0.7565104166666666,0.23828920570264767,0.6920439600944519,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8322668269061826,0.589825457205686,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046557188034058,3143280,0.7714539795464651,0.060360920970752956,0.751937984496124,0.11175115207373272,0.8322668269061826,0.589825457205686,0.2281656089453007,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7055735439062119,0.8082682291666666,0.26650062266500624,0.6915397047996521,0.9908107306951237,0.971830985915493,0.5348837209302325,0.69,0.8272160023989074,0.5886320356211271,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046280026435852,3143280,0.8196235363865422,0.07299843014128729,0.7209302325581395,0.13257305773342837,0.8272160023989074,0.5886320356211271,0.17845270474463584,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7046612296253443,0.8206380208333334,0.2682602921646746,0.691119372844696,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8240475236669549,0.5855914324843626,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050336122512817,3143280,0.8323699421965318,0.0775716694772344,0.7131782945736435,0.1399239543726236,0.8240475236669549,0.5855914324843626,0.16530673919613176,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7043275777250528,0.8151041666666666,0.2604166666666667,0.6907374858856201,0.989773232547799,0.8947368421052632,0.5271317829457365,0.6634146341463415,0.8224826114355727,0.5823667439942932,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050435066223145,3143280,0.8305913739439751,0.07679465776293823,0.7131782945736435,0.1386586284853052,0.8224826114355727,0.5823667439942932,0.16711997582351162,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.703029116615653,0.8017578125,0.24721878862793573,0.6904054880142212,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8219502367281153,0.5792299944720576,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5069383382797241,3143280,0.8196235363865422,0.07232704402515723,0.7131782945736435,0.13133476088508209,0.8219502367281153,0.5792299944720576,0.17830160169235418,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7028589621186256,0.7880859375,0.2421420256111758,0.6901218295097351,0.989773232547799,0.9411764705882353,0.49612403100775193,0.649746192893401,0.8218758565434651,0.5734823859302481,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5077047944068909,3143280,0.8074699866607381,0.06921944035346098,0.7286821705426356,0.12642905178211164,0.8218758565434651,0.5734823859302481,0.1909942580840133,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7022558059543371,0.7646484375,0.23003194888178913,0.6898748278617859,0.9894768045057062,0.9393939393939394,0.4806201550387597,0.6358974358974359,0.8225505492420249,0.5662646165684994,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.509131908416748,3143280,0.791907514450867,0.06425153793574846,0.7286821705426356,0.11809045226130653,0.8225505492420249,0.5662646165684994,0.20686007857358718,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7013170942664146,0.7421875,0.21893491124260356,0.6896846890449524,0.9893285904846598,0.9384615384615385,0.4728682170542636,0.6288659793814433,0.8225757330840718,0.560345653772717,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5101103186607361,3143280,0.7773825403883208,0.06021780909673286,0.7286821705426356,0.11124260355029586,0.8225757330840718,0.560345653772717,0.2216681776971895,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
