round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7072062622755766,0.6806640625,0.21078037007240547,0.6921126842498779,0.9890321624425671,0.8571428571428571,0.5116279069767442,0.6407766990291263,0.8384954352822112,0.581722588917147,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503619372844696,3143280,0.7427004594634652,0.05385896724042199,0.751937984496124,0.10051813471502591,0.8384954352822112,0.581722588917147,0.257479601087942,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7033934593200684,0.8857421875,0.24839400428265523,0.6889402866363525,0.9896250185267527,0.8933333333333333,0.5193798449612403,0.6568627450980392,0.8391045328573001,0.581434017090914,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020696520805359,3143280,0.9402697495183044,0.1813953488372093,0.6046511627906976,0.27906976744186046,0.8391045328573001,0.581434017090914,0.05318827440314294,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6999653428792953,0.9270833333333334,0.25333333333333335,0.6862643361091614,0.9899214465688454,0.9420289855072463,0.5038759689922481,0.6565656565656566,0.826312898109689,0.5782856669865478,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008965134620667,3143280,0.9862160960426857,0.6730769230769231,0.5426356589147286,0.6008583690987125,0.826312898109689,0.5782856669865478,0.005137503777576307,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6967220343649387,0.9440104166666666,0.3008130081300813,0.6837952733039856,0.9899214465688454,0.9552238805970149,0.49612403100775193,0.6530612244897959,0.8174622418070521,0.5681756725281578,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000041127204895,3143280,0.9899214465688454,0.9552238805970149,0.49612403100775193,0.6530612244897959,0.8174622418070521,0.5681756725281578,0.00045330915684496827,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6931603197008371,0.94921875,0.3157894736842105,0.681336522102356,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8106790032352452,0.5565253632216793,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4988928437232971,3143280,0.9888839484215207,0.9821428571428571,0.4263565891472868,0.5945945945945946,0.8106790032352452,0.5565253632216793,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6902042869478464,0.94921875,0.2909090909090909,0.6788420677185059,0.9894768045057062,0.967741935483871,0.46511627906976744,0.6282722513089005,0.8008122081895512,0.5394316630744433,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49848267436027527,3143280,0.9881428783162888,0.9803921568627451,0.3875968992248062,0.5555555555555556,0.8008122081895512,0.5394316630744433,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6863547433167696,0.9488932291666666,0.2831050228310502,0.6763147711753845,0.9888839484215207,0.921875,0.4573643410852713,0.6113989637305699,0.7889008365720926,0.5226666877691035,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4974501430988312,3143280,0.9878464502741959,0.9795918367346939,0.37209302325581395,0.5393258426966292,0.7889008365720926,0.5226666877691035,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6836409252136946,0.9479166666666666,0.25925925925925924,0.6737431883811951,0.9885875203794279,0.90625,0.4496124031007752,0.6010362694300518,0.7733963749323549,0.5082766886712344,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49700844287872314,3143280,0.9875500222321032,1.0,0.3488372093023256,0.5172413793103449,0.7733963749323549,0.5082766886712344,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.680513521656394,0.9466145833333334,0.22641509433962265,0.6711093783378601,0.9884393063583815,0.9473684210526315,0.4186046511627907,0.5806451612903226,0.7584828550746028,0.49314713270977845,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49709269404411316,3143280,0.986364310063732,1.0,0.2868217054263566,0.4457831325301205,0.7584828550746028,0.49314713270977845,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6770635079592466,0.9462890625,0.2028985507246377,0.6684165596961975,0.9859196680005928,0.717948717948718,0.43410852713178294,0.5410628019323671,0.7482798850211193,0.47182002393363914,0.003324267150196434,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49509498476982117,3143280,0.9856232399585001,1.0,0.24806201550387597,0.39751552795031053,0.7482798850211193,0.47182002393363914,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
