round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7077242508530617,0.4886067708333333,0.1656930430164631,0.6930943727493286,0.9888839484215207,0.813953488372093,0.5426356589147286,0.6511627906976745,0.8392761343856665,0.5848068626388142,0.0024176488365064974,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039351582527161,3143280,0.5775900400177857,0.03740224413464808,0.8527131782945736,0.07166123778501629,0.8392761343856665,0.5848068626388142,0.4277727410093684,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7055187318474054,0.8385416666666666,0.28530259365994237,0.6908765435218811,0.9900696605898918,0.9078947368421053,0.5348837209302325,0.6731707317073171,0.8410015204012546,0.5865566400877611,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031905174255371,3143280,0.8769823625314955,0.10034207525655645,0.6821705426356589,0.1749502982107356,0.8410015204012546,0.5865566400877611,0.11922030825022666,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7032036446034908,0.8922526041666666,0.28509719222462204,0.6891513466835022,0.9906625166740773,0.9714285714285714,0.5271317829457365,0.6834170854271356,0.8297209161764603,0.5863074406045088,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027406811714172,3143280,0.9402697495183044,0.18287037037037038,0.6124031007751938,0.2816399286987522,0.8297209161764603,0.5863074406045088,0.0533393774554246,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7012018784880638,0.9127604166666666,0.27956989247311825,0.6876534819602966,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8230940516936427,0.5826413940963656,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022698044776917,3143280,0.9694679116644435,0.3303964757709251,0.5813953488372093,0.42134831460674155,0.8230940516936427,0.5826413940963656,0.022967663946811726,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6990952361375093,0.9228515625,0.2796352583586626,0.6861987709999084,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8184649101229673,0.5762521849206023,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023806095123291,3143280,0.9764339706536238,0.4117647058823529,0.5426356589147286,0.4682274247491639,0.8184649101229673,0.5762521849206023,0.015110305228165609,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6971287578344345,0.9287109375,0.2724252491694352,0.6847383379936218,0.989773232547799,0.9545454545454546,0.4883720930232558,0.6461538461538462,0.8155693539583142,0.5679787665528184,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024077296257019,3143280,0.981028605306062,0.5036496350364964,0.5348837209302325,0.518796992481203,0.8155693539583142,0.5679787665528184,0.010275007555152614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6950479745864868,0.9300130208333334,0.2760942760942761,0.683283269405365,0.9896250185267527,0.9682539682539683,0.4728682170542636,0.6354166666666666,0.8131968017691942,0.5546817742355755,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026739239692688,3143280,0.9820661034533867,0.532258064516129,0.5116279069767442,0.5217391304347826,0.8131968017691942,0.5546817742355755,0.008763977032336053,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6932426802814007,0.931640625,0.2857142857142857,0.6818240284919739,0.9893285904846598,0.9523809523809523,0.46511627906976744,0.625,0.8089208196579214,0.5435069844221555,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026134252548218,3143280,0.9816214613902475,0.5203252032520326,0.49612403100775193,0.5079365079365079,0.8089208196579214,0.5435069844221555,0.00891508008461771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6912185177206993,0.931640625,0.2857142857142857,0.6803524494171143,0.9893285904846598,0.9672131147540983,0.4573643410852713,0.6210526315789474,0.803576574107262,0.5338302719683798,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037201046943665,3143280,0.98028753520083,0.48484848484848486,0.49612403100775193,0.4904214559386973,0.803576574107262,0.5338302719683798,0.010275007555152614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6892563160508871,0.9309895833333334,0.28859060402684567,0.6788714528083801,0.9888839484215207,0.9354838709677419,0.4496124031007752,0.6073298429319371,0.7977198666544847,0.5250081374924673,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5038908123970032,3143280,0.9795464650955981,0.4676258992805755,0.5038759689922481,0.48507462686567165,0.7977198666544847,0.5250081374924673,0.01118162586884255,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
