round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7073293533176184,0.4918619791666667,0.16568679850347406,0.6930806040763855,0.9887357344004742,0.797752808988764,0.5503875968992248,0.6513761467889908,0.8393306017649773,0.5850440363140901,0.0027198549410698096,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503829836845398,3143280,0.5805543204387135,0.03765833618623759,0.8527131782945736,0.07213114754098361,0.8393306017649773,0.5850440363140901,0.4247506799637353,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7046744525432587,0.8385416666666666,0.2832369942196532,0.6908577084541321,0.9900696605898918,0.9078947368421053,0.5348837209302325,0.6731707317073171,0.8409652088150475,0.5864051604956463,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031129121780396,3143280,0.8789091448050985,0.10185185185185185,0.6821705426356589,0.1772406847935549,0.8409652088150475,0.5864051604956463,0.11725596857056513,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7027300745248795,0.8935546875,0.2844638949671772,0.6891300082206726,0.9906625166740773,0.9714285714285714,0.5271317829457365,0.6834170854271356,0.8295680561119427,0.5855207559776416,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026132464408875,3143280,0.9430858159181859,0.19128329297820823,0.6124031007751938,0.2915129151291513,0.8295680561119427,0.5855207559776416,0.05046841946207314,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7011153548955917,0.9140625,0.27472527472527475,0.6876338720321655,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8226208297314582,0.5818895639100885,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020651817321777,3143280,0.9709500518749073,0.3456221198156682,0.5813953488372093,0.43352601156069365,0.8226208297314582,0.5818895639100885,0.021456633423995165,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6986430659890175,0.9231770833333334,0.2578616352201258,0.686184287071228,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8178540555356428,0.5739220635712247,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021151900291443,3143280,0.9792500370535052,0.46357615894039733,0.5426356589147286,0.5,0.8178540555356428,0.5739220635712247,0.012239347234814143,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6969397123903036,0.9306640625,0.27796610169491526,0.6847292184829712,0.9899214465688454,0.9692307692307692,0.4883720930232558,0.6494845360824743,0.8142111835000152,0.564168638624684,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021963119506836,3143280,0.9832518156217578,0.5677966101694916,0.5193798449612403,0.5425101214574899,0.8142111835000152,0.564168638624684,0.0077062556663644605,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6945633199065924,0.9342447916666666,0.2887323943661972,0.6832804083824158,0.9894768045057062,0.9393939393939394,0.4806201550387597,0.6358974358974359,0.8111838514176747,0.5522541139959957,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018288493156433,3143280,0.9841410997480362,0.6018518518518519,0.5038759689922481,0.5485232067510548,0.8111838514176747,0.5522541139959957,0.006497431248111212,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6929278429597616,0.9358723958333334,0.2939068100358423,0.681826114654541,0.9891803764636135,0.9375,0.46511627906976744,0.6217616580310881,0.8060504473353152,0.5413710685880657,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019417405128479,3143280,0.9838446717059434,0.5925925925925926,0.49612403100775193,0.540084388185654,0.8060504473353152,0.5413710685880657,0.006648534300392868,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6911978628486395,0.9368489583333334,0.2971014492753623,0.6803532242774963,0.9893285904846598,0.9672131147540983,0.4573643410852713,0.6210526315789474,0.7994557947434879,0.5310850113360058,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502910315990448,3143280,0.9835482436638506,0.5833333333333334,0.4883720930232558,0.5316455696202531,0.7994557947434879,0.5310850113360058,0.006799637352674524,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6886780858039856,0.9358723958333334,0.2939068100358423,0.6788670420646667,0.9888839484215207,0.9354838709677419,0.4496124031007752,0.6073298429319371,0.7927393226366428,0.5226605959531697,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028209686279297,3143280,0.9835482436638506,0.5833333333333334,0.4883720930232558,0.5316455696202531,0.7927393226366428,0.5226605959531697,0.006799637352674524,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
