round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.701883144889559,0.5100911458333334,0.15115623237450648,0.6930223703384399,0.9894019121025717,0.869281045751634,0.51953125,0.6503667481662592,0.8427652484513108,0.585063646203679,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041961669921875,3143280,0.5928259097309716,0.038258110014104375,0.84765625,0.07321187584345479,0.8427652484513108,0.585063646203679,0.4121024401299388,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6993018882615225,0.8531901041666666,0.28298887122416533,0.6907707452774048,0.9901430371303639,0.9361702127659575,0.515625,0.6649874055415617,0.8465392932688676,0.5862310165037348,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033102035522461,3143280,0.8774920329059512,0.0997134670487106,0.6796875,0.17391304347826086,0.8465392932688676,0.5862310165037348,0.11868248092468082,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6974577286413738,0.8997395833333334,0.26666666666666666,0.6889622211456299,0.9903653746387016,0.9701492537313433,0.5078125,0.6666666666666666,0.8341738297480548,0.5829341810729964,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026478171348572,3143280,0.947157785518417,0.20439844760672704,0.6171875,0.30709426627793973,0.8341738297480548,0.5829341810729964,0.04646067840145048,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6954159161874226,0.9153645833333334,0.2441860465116279,0.6873930096626282,0.9902171496331431,0.9626865671641791,0.50390625,0.6615384615384615,0.8263911349342751,0.5765552354020185,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022403597831726,3143280,0.9733936115022604,0.3702770780856423,0.57421875,0.450229709035222,0.8263911349342751,0.5765552354020185,0.01888645463473597,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6930330659661974,0.9254557291666666,0.22895622895622897,0.6858735084533691,0.9901430371303639,0.9624060150375939,0.5,0.6580976863753213,0.8217418209847397,0.569603799204214,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018881559371948,3143280,0.9808789742829616,0.4963768115942029,0.53515625,0.5150375939849624,0.8217418209847397,0.569603799204214,0.010500868776913199,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6905079522303172,0.9303385416666666,0.2357142857142857,0.6843469142913818,0.9900689246275847,0.9621212121212122,0.49609375,0.654639175257732,0.8187034625953766,0.5637922082607167,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016874074935913,3143280,0.984065811902468,0.5887445887445888,0.53125,0.5585215605749486,0.8187034625953766,0.5637922082607167,0.007176852761199668,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.688412550517491,0.9332682291666666,0.24354243542435425,0.6828216910362244,0.9897724746164678,0.946969696969697,0.48828125,0.6443298969072165,0.8149049244069653,0.5569281766382178,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017887949943542,3143280,0.9848810494330393,0.6226415094339622,0.515625,0.5641025641025641,0.8149049244069653,0.5569281766382178,0.0060436654831155096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.686659209217344,0.93359375,0.23308270676691728,0.6812687516212463,0.9893277995997924,0.9117647058823529,0.484375,0.6326530612244898,0.8104164404226788,0.549380946529058,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018087029457092,3143280,0.9846587119247017,0.6172248803827751,0.50390625,0.5548387096774193,0.8104164404226788,0.549380946529058,0.0060436654831155096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6848494061401913,0.9345703125,0.23574144486692014,0.6797041893005371,0.9889572370858964,0.8962962962962963,0.47265625,0.618925831202046,0.8046247910685955,0.5394260162859283,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020133256912231,3143280,0.9841399244052471,0.5990566037735849,0.49609375,0.5427350427350427,0.8046247910685955,0.5394260162859283,0.006421394575810229,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6821524377380099,0.9345703125,0.24150943396226415,0.6781281232833862,0.9885866745720003,0.8695652173913043,0.46875,0.6091370558375635,0.7986137342298103,0.5294785572580802,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021035075187683,3143280,0.9834729118802342,0.5753424657534246,0.4921875,0.5305263157894737,0.7986137342298103,0.5294785572580802,0.00702576112412178,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
