round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.732956999540329,0.4912109375,0.14636810486073185,0.693108081817627,0.9894760246053509,0.875,0.51953125,0.6519607843137255,0.843162011549067,0.5861856633200545,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043039917945862,3143280,0.5752612465722967,0.037193575655114115,0.859375,0.07130124777183601,0.843162011549067,0.5861856633200545,0.4302334365792853,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.730736113020352,0.84375,0.2727272727272727,0.6909356713294983,0.9904394871414808,0.9635036496350365,0.515625,0.6717557251908397,0.8473797405001132,0.5880995260943686,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035486221313477,3143280,0.8685244200696658,0.09411764705882353,0.6875,0.16556914393226718,0.8473797405001132,0.5880995260943686,0.12797461660497092,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7291327199765614,0.89453125,0.2636363636363636,0.6892057657241821,0.9904394871414808,0.9703703703703703,0.51171875,0.670076726342711,0.8354173847454105,0.5864262864095147,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028614401817322,3143280,0.9398206477432743,0.1811926605504587,0.6171875,0.2801418439716312,0.8354173847454105,0.5864262864095147,0.053939714436805924,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7274198170219148,0.9147135416666666,0.2556818181818182,0.6877197027206421,0.9902171496331431,0.9626865671641791,0.50390625,0.6615384615384615,0.8282201700253078,0.5811123191513271,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502604067325592,3143280,0.9692433113466242,0.3282937365010799,0.59375,0.4228094575799722,0.8282201700253078,0.5811123191513271,0.023494749565611543,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7253665511097227,0.9225260416666666,0.25157232704402516,0.6862903237342834,0.9902171496331431,0.9626865671641791,0.50390625,0.6615384615384615,0.824341364404699,0.5751439561375432,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023067593574524,3143280,0.9776180241606759,0.4307228915662651,0.55859375,0.48639455782312924,0.824341364404699,0.5751439561375432,0.014278159703860392,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.722884566443307,0.9248046875,0.2222222222222222,0.6848600506782532,0.9901430371303639,0.9624060150375939,0.5,0.6580976863753213,0.8227618370854424,0.57020599753925,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023053288459778,3143280,0.9811754242940784,0.5036496350364964,0.5390625,0.5207547169811321,0.8227618370854424,0.57020599753925,0.010274231321296366,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7213654603276933,0.9280598958333334,0.22996515679442509,0.6834398508071899,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8211821622157588,0.5650719972686943,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024896860122681,3143280,0.9824353368413251,0.5372549019607843,0.53515625,0.5362035225048923,0.8211821622157588,0.5650719972686943,0.008914406587595377,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7197629805122103,0.9300130208333334,0.24561403508771928,0.6820001602172852,0.9896242496109093,0.9202898550724637,0.49609375,0.6446700507614214,0.8187754672036716,0.559021224098736,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023541450500488,3143280,0.9819165493218706,0.5230769230769231,0.53125,0.5271317829457365,0.8187754672036716,0.559021224098736,0.00936768149882904,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7183130830526352,0.9322916666666666,0.2624113475177305,0.6805582642555237,0.9894019121025717,0.9312977099236641,0.4765625,0.6304909560723514,0.8152848667560626,0.5513510422093111,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032268166542053,3143280,0.9811013117912992,0.5018587360594795,0.52734375,0.5142857142857142,0.8152848667560626,0.5513510422093111,0.010123139684218478,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7156810419900077,0.9313151041666666,0.2596491228070175,0.6791148781776428,0.9888831245831172,0.8785714285714286,0.48046875,0.6212121212121212,0.8114916403830174,0.5428907465912335,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503079891204834,3143280,0.9805084117690654,0.4874551971326165,0.53125,0.508411214953271,0.8114916403830174,0.5428907465912335,0.010803052051068974,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
