round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8261317729949951,0.43359375,0.1377601585728444,0.6933653354644775,0.989179574594234,0.8125,0.55859375,0.6620370370370371,0.8443195446475789,0.5890345481290211,0.0024930120117851477,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040425062179565,3143280,0.515748906840584,0.033580980683506685,0.8828125,0.06470083023189235,0.8443195446475789,0.5890345481290211,0.49135000377729093,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8247819010700499,0.8033854166666666,0.23929471032745592,0.6914301514625549,0.99051359964426,0.9637681159420289,0.51953125,0.6751269035532995,0.8497451213926872,0.5924662666400785,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039182305335999,3143280,0.8285777810716668,0.07447248655357881,0.703125,0.13468013468013468,0.8497451213926872,0.5924662666400785,0.16899599607161744,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.823705741763115,0.8821614583333334,0.276,0.6899357438087463,0.9904394871414808,0.9205298013245033,0.54296875,0.683046683046683,0.838913887210093,0.5932707631322606,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029451847076416,3143280,0.9198843844956645,0.14470284237726097,0.65625,0.23712067748764998,0.838913887210093,0.5932707631322606,0.07501699780917126,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.822794862304415,0.9059244791666666,0.29683698296836986,0.6886981129646301,0.9900689246275847,0.8860759493670886,0.546875,0.6763285024154589,0.8330229364187505,0.592542477323868,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023967027664185,3143280,0.9509375231601571,0.22038567493112948,0.625,0.3258655804480652,0.8330229364187505,0.592542477323868,0.04275893329304223,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8215083697012493,0.9137369791666666,0.289544235924933,0.6875374913215637,0.9901430371303639,0.9241379310344827,0.5234375,0.6683291770573566,0.8307404788660573,0.5905010762292198,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027784109115601,3143280,0.9647224486770918,0.2940074906367041,0.61328125,0.39746835443037976,0.8307404788660573,0.5905010762292198,0.02848077358918184,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.8189460652215139,0.9166666666666666,0.2849162011173184,0.6863943934440613,0.9896983621136886,0.8774193548387097,0.53125,0.6618004866180048,0.8311555382167409,0.5897798651911681,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026008486747742,3143280,0.9690950863410658,0.33052631578947367,0.61328125,0.42954856361149113,0.8311555382167409,0.5897798651911681,0.024023570295384152,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.8189388449702943,0.91796875,0.2840909090909091,0.6852880716323853,0.9902912621359223,0.9629629629629629,0.5078125,0.6649616368286445,0.8321963589276271,0.5881214018430211,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040481686592102,3143280,0.969169198843845,0.33122362869198313,0.61328125,0.4301369863013699,0.8321963589276271,0.5881214018430211,0.023948024476845207,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.8176063831363405,0.91796875,0.29213483146067415,0.6841859817504883,0.9902171496331431,0.9558823529411765,0.5078125,0.6632653061224489,0.8337078655001133,0.5860697544548494,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046576857566833,3143280,0.9662046987326762,0.30392156862745096,0.60546875,0.4046997389033943,0.8337078655001133,0.5860697544548494,0.026818765581325073,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.8170384160109929,0.9163411458333334,0.2958904109589041,0.6831102967262268,0.9900689246275847,0.9485294117647058,0.50390625,0.6581632653061225,0.834687010132583,0.5829648387822842,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5054109692573547,3143280,0.963091973615949,0.2815884476534296,0.609375,0.3851851851851852,0.834687010132583,0.5829648387822842,0.030067235778499662,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.8143533123391016,0.9153645833333334,0.2972972972972973,0.6820635199546814,0.989846587119247,0.9407407407407408,0.49609375,0.649616368286445,0.8354166469932764,0.580328739638005,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062128305435181,3143280,0.9613132735492478,0.27380952380952384,0.62890625,0.3815165876777251,0.8354166469932764,0.580328739638005,0.03225806451612903,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
