round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9812672287225723,0.3294270833333333,0.12785774767146485,0.6937940716743469,0.9902171496331431,0.9428571428571428,0.515625,0.6666666666666666,0.8460666892517186,0.5925030312389312,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050070285797119,3143280,0.38501445193804196,0.027497062279670977,0.9140625,0.053388090349075976,0.8460666892517186,0.5925030312389312,0.6252171942282995,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9806731385844094,0.7014973958333334,0.2005231037489102,0.6922534704208374,0.9908100496553769,0.9647887323943662,0.53515625,0.6884422110552764,0.8532670025307849,0.5966219041970856,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044671893119812,3143280,0.7314162899281109,0.052603613177470775,0.7734375,0.09850746268656717,0.8532670025307849,0.5966219041970856,0.26939638890987383,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9798358500003814,0.8447265625,0.273972602739726,0.691149890422821,0.9908100496553769,0.94,0.55078125,0.6945812807881774,0.8441467630977562,0.5985615267342635,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039889216423035,3143280,0.8557770695916401,0.08980582524271845,0.72265625,0.15975820379965458,0.8441467630977562,0.5985615267342635,0.14164840976051976,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9796572812965938,0.8746744791666666,0.2857142857142857,0.6903229355812073,0.9907359371525977,0.9337748344370861,0.55078125,0.6928746928746928,0.8400572554676287,0.6006059812944221,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039660334587097,3143280,0.8972800711480027,0.12182061579651941,0.7109375,0.208,0.8400572554676287,0.6006059812944221,0.09911611392309436,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9789301689182008,0.8798828125,0.28901734104046245,0.6896070241928101,0.9905877121470392,0.9215686274509803,0.55078125,0.6894865525672371,0.8388982468648485,0.6041498759907034,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043047070503235,3143280,0.9084710590676647,0.1344286781179985,0.703125,0.22570532915360503,0.8388982468648485,0.6041498759907034,0.08755760368663594,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9755595794745854,0.8818359375,0.29514563106796116,0.6889375448226929,0.9903653746387016,0.89375,0.55859375,0.6875,0.8406048151016092,0.6084219961775011,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045430064201355,3143280,0.910620321648262,0.13685015290519878,0.69921875,0.2289002557544757,0.8406048151016092,0.6084219961775011,0.08529122913046763,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.9773846264396395,0.8759765625,0.2983425414364641,0.6883484125137329,0.9903653746387016,0.9038461538461539,0.55078125,0.6844660194174758,0.8426953095489915,0.611298453000036,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5055279731750488,3143280,0.905506558956496,0.1299927378358751,0.69921875,0.21922841396203308,0.8426953095489915,0.611298453000036,0.09050389060965476,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9759241176503046,0.8668619791666666,0.29604130808950085,0.6878033876419067,0.9902171496331431,0.8924050632911392,0.55078125,0.6811594202898551,0.8453475284713303,0.6138947471503592,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5065618753433228,3143280,0.8966130586229897,0.12058627581612258,0.70703125,0.2060330108138873,0.8453475284713303,0.6138947471503592,0.09972048047140591,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9762083223887852,0.8548177083333334,0.29430379746835444,0.6873320937156677,0.9899948121248054,0.8666666666666667,0.55859375,0.6793349168646081,0.8481754799520285,0.6159668378880746,0.0016620080078567651,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5076319575309753,3143280,0.8834210331282888,0.11012433392539965,0.7265625,0.19125964010282775,0.8481754799520285,0.6159668378880746,0.11354536526403264,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9726644217967987,0.8375651041666666,0.27994227994227994,0.6869409680366516,0.9902912621359223,0.9139072847682119,0.5390625,0.6781326781326781,0.8504521830380751,0.6172558627099275,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5098814368247986,3143280,0.8706736826502631,0.0999462654486835,0.7265625,0.1757203589985829,0.8504521830380751,0.6172558627099275,0.12653924605273098,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
