round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2909555179732186,0.15364583333333334,0.1095890410958904,0.6946511268615723,0.9906618246498184,0.9452054794520548,0.5390625,0.6865671641791045,0.8493285865377351,0.5974648732675114,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5055906772613525,3143280,0.1764618691173201,0.021762114537444935,0.96484375,0.042564190935722904,0.8493285865377351,0.5974648732675114,0.8387852232378937,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2892978319099972,0.3134765625,0.12598425196850394,0.6938958764076233,0.9908841621581561,0.9403973509933775,0.5546875,0.6977886977886978,0.8591606092298104,0.6016725847300347,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056118369102478,3143280,0.320017787000667,0.025736467084972882,0.9453125,0.05010870690547676,0.8591606092298104,0.6016725847300347,0.6920752436352647,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2866043729441508,0.3841145833333333,0.12811059907834102,0.6935689449310303,0.9907359371525977,0.9225806451612903,0.55859375,0.6958637469586375,0.8531505852440129,0.6057853660873906,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056148767471313,3143280,0.3707848514044319,0.027107741787273144,0.921875,0.05266681544298148,0.8531505852440129,0.6057853660873906,0.6398730830248546,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.285732764005661,0.3857421875,0.1276005547850208,0.6935530304908752,0.9907359371525977,0.9225806451612903,0.55859375,0.6958637469586375,0.852418735126917,0.6118595370666894,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5065021514892578,3143280,0.3655969762098866,0.026891522333637192,0.921875,0.05225863596102746,0.852418735126917,0.6118595370666894,0.6451612903225806,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2835849097796848,0.3606770833333333,0.12555654496883348,0.6937122344970703,0.9906618246498184,0.9166666666666666,0.55859375,0.6941747572815534,0.8528422048519302,0.6192967117855425,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5076060891151428,3143280,0.3410657377899652,0.026018223734767813,0.92578125,0.050613988254137744,0.8528422048519302,0.6192967117855425,0.67024250207751,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2762370126588003,0.330078125,0.12796610169491526,0.6939748525619507,0.9905877121470392,0.9006211180124224,0.56640625,0.6954436450839329,0.8557182577717761,0.6261540991321463,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5088266730308533,3143280,0.3166827243756022,0.025513444844378574,0.94140625,0.04968047825190682,0.8557182577717761,0.6261540991321463,0.6953992596509783,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2794373393058778,0.2952473958333333,0.12595882115462254,0.6944002509117126,0.9906618246498184,0.90625,0.56640625,0.6971153846153846,0.8590865389155399,0.6310412595342583,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5110365152359009,3143280,0.2845920106722004,0.024780014160008093,0.95703125,0.04830917874396135,0.8590865389155399,0.6310412595342583,0.7284127823524967,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2757396408489772,0.2574869791666667,0.12167886022333461,0.6949558854103088,0.9907359371525977,0.9119496855345912,0.56640625,0.6987951807228916,0.8627248373404094,0.6357888780266991,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5136412978172302,3143280,0.2543541095382791,0.02416771814034747,0.97265625,0.04716355715503362,0.8627248373404094,0.6357888780266991,0.7595376595905416,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2756735797439305,0.22721354166666666,0.11878247958426132,0.6956822872161865,0.9906618246498184,0.90625,0.56640625,0.6971153846153846,0.8650403461887134,0.6398788328837903,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5165733695030212,3143280,0.2229304083598903,0.023567768979972054,0.98828125,0.04603766718224001,0.8650403461887134,0.6398788328837903,0.7918712699252096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2678981014660426,0.1962890625,0.11600429645542427,0.6965920925140381,0.9907359371525977,0.9119496855345912,0.56640625,0.6987951807228916,0.8669570262332855,0.6428457028973236,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5199387669563293,3143280,0.18957978210924184,0.022704925359792617,0.9921875,0.04439395263479857,0.8669570262332855,0.6428457028973236,0.8259424340862733,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
