round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7080280406134469,0.2607421875,0.1207897793263647,0.6940315961837769,0.9891054620914548,0.807909604519774,0.55859375,0.6605080831408776,0.8437094236326207,0.5879813611776583,0.0025685578303240916,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504359781742096,3143280,0.31594159934780996,0.025386079966151893,0.9375,0.04943357363542739,0.8437094236326207,0.5879813611776583,0.6960791720178288,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7069460255759104,0.599609375,0.16891891891891891,0.6927664875984192,0.9904394871414808,0.9568345323741008,0.51953125,0.6734177215189874,0.8486463133640554,0.5908458133470716,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045886635780334,3143280,0.6389979989624249,0.041708043694141016,0.8203125,0.07938007938007938,0.8486463133640554,0.5908458133470716,0.3645085744504042,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7065718616758074,0.7646484375,0.21837837837837837,0.6919514536857605,0.9902912621359223,0.9194630872483222,0.53515625,0.6765432098765433,0.8372796186824809,0.590420705518783,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040212273597717,3143280,0.778181279181798,0.060674157303370786,0.73828125,0.11213289824977751,0.8372796186824809,0.590420705518783,0.22104706504494975,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7060114749840327,0.8128255208333334,0.24441524310118265,0.6914072036743164,0.9901430371303639,0.9361702127659575,0.515625,0.6649874055415617,0.831065680006799,0.5878974015935892,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042757391929626,3143280,0.8228711183576669,0.07354116706634692,0.71875,0.13343002175489485,0.831065680006799,0.5878974015935892,0.17511520737327188,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7050862073898315,0.8232421875,0.24687933425797504,0.6909566521644592,0.9901430371303639,0.9555555555555556,0.50390625,0.659846547314578,0.8283557688675682,0.5846000812323363,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050568580627441,3143280,0.8368042688801601,0.07878787878787878,0.7109375,0.14185502727981295,0.8283557688675682,0.5846000812323363,0.16076150185087257,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7039547762700489,0.8160807291666666,0.2395693135935397,0.6905463337898254,0.9901430371303639,0.9624060150375939,0.5,0.6580976863753213,0.8281337054751832,0.5818053039623884,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060626864433289,3143280,0.8336915437634329,0.07738095238095238,0.7109375,0.13957055214723926,0.8281337054751832,0.5818053039623884,0.16393442622950818,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7033140535865512,0.8046875,0.23469387755102042,0.6901874542236328,0.9899948121248054,0.935251798561151,0.5078125,0.6582278481012658,0.8284472501322051,0.5784232758481439,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5063199996948242,3143280,0.826280293485511,0.07422512234910278,0.7109375,0.1344165435745938,0.8284472501322051,0.5784232758481439,0.1714890080834026,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7029679208993912,0.7887369791666666,0.22461170848267623,0.6898616552352905,0.9899206996220262,0.9285714285714286,0.5078125,0.6565656565656566,0.8291833792116794,0.5756135978790252,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5071851015090942,3143280,0.8149410805602906,0.07052510540436949,0.71875,0.12844677137870855,0.8291833792116794,0.5756135978790252,0.18319860995693887,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7025806333337512,0.765625,0.212253829321663,0.6895878911018372,0.9896242496109093,0.9142857142857143,0.5,0.6464646464646465,0.8295984385623631,0.5712075855142568,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5083040595054626,3143280,0.800192692507226,0.06552706552706553,0.71875,0.12010443864229765,0.8295984385623631,0.5712075855142568,0.1982322278461887,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7011899356331144,0.7415364583333334,0.19959677419354838,0.6893666982650757,0.9895501371081301,0.9323308270676691,0.484375,0.6375321336760925,0.8290259429062476,0.5663965316452729,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5101355910301208,3143280,0.7837397168902394,0.061305207646671064,0.7265625,0.11306990881458967,0.8290259429062476,0.5663965316452729,0.21515449119891214,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
