round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7080891694341387,0.5061848958333334,0.15014005602240896,0.6930446624755859,0.9894760246053509,0.875,0.51953125,0.6519607843137255,0.842857319917655,0.585431685381987,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042258501052856,3143280,0.5883791595642185,0.037857641311933005,0.84765625,0.07247828991315965,0.842857319917655,0.585431685381987,0.41663518924227544,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7053463829415185,0.8502604166666666,0.27899686520376177,0.6908120512962341,0.9901430371303639,0.9361702127659575,0.515625,0.6649874055415617,0.8467830465739972,0.5866622773018554,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033737421035767,3143280,0.8748239828058993,0.09769792251544077,0.6796875,0.17083946980854198,0.8467830465739972,0.5866622773018554,0.1214021303920828,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7037212082317897,0.8977864583333334,0.26635514018691586,0.6890190839767456,0.9903653746387016,0.9632352941176471,0.51171875,0.6683673469387755,0.8345846101363602,0.5838368938826128,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026587843894958,3143280,0.9441932854072482,0.1943419434194342,0.6171875,0.29560336763330214,0.8345846101363602,0.5838368938826128,0.04948251114300824,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7015011127505983,0.9147135416666666,0.2471264367816092,0.6874651312828064,0.9902912621359223,0.9699248120300752,0.50390625,0.6632390745501285,0.8270878680497847,0.577696480014931,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024377703666687,3143280,0.9716149114355592,0.34988179669030733,0.578125,0.43593519882179677,0.8270878680497847,0.577696480014931,0.020775100098209563,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6991869240999222,0.9235026041666666,0.22950819672131148,0.6859555244445801,0.9900689246275847,0.9485294117647058,0.50390625,0.6581632653061225,0.8229613252625216,0.5711196407096492,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017582774162292,3143280,0.9798413992440524,0.47315436241610737,0.55078125,0.5090252707581228,0.8229613252625216,0.5711196407096492,0.011860693510614188,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6971177744013922,0.9287109375,0.23157894736842105,0.6844435930252075,0.9900689246275847,0.9621212121212122,0.49609375,0.654639175257732,0.8204488365943945,0.5653686879695495,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019590258598328,3143280,0.9828800118580004,0.5502008032128514,0.53515625,0.5425742574257426,0.8204488365943945,0.5653686879695495,0.008461131676361713,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6948052065713064,0.9309895833333334,0.23741007194244604,0.6829319596290588,0.9897724746164678,0.9402985074626866,0.4921875,0.6461538461538462,0.8175149439072297,0.5588427763974896,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020073056221008,3143280,0.9831764618691173,0.5606694560669456,0.5234375,0.5414141414141415,0.8175149439072297,0.5588427763974896,0.007932310946589107,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6929929401193347,0.931640625,0.23357664233576642,0.6813912987709045,0.9894760246053509,0.9191176470588235,0.48828125,0.6377551020408163,0.8137609659477223,0.5518581766547952,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021882057189941,3143280,0.9828058993552212,0.5504201680672269,0.51171875,0.5303643724696356,0.8137609659477223,0.5518581766547952,0.008083402583666995,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6909679723637445,0.9326171875,0.24175824175824176,0.6798444390296936,0.9890313495886756,0.8970588235294118,0.4765625,0.6224489795918368,0.8089204266450103,0.5421702330059971,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023915767669678,3143280,0.982064774327429,0.5284552845528455,0.5078125,0.5179282868525896,0.8089204266450103,0.5421702330059971,0.008763314950517489,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6887838687215533,0.93359375,0.25547445255474455,0.6782957911491394,0.9887348995775588,0.8880597014925373,0.46484375,0.6102564102564103,0.8040390158740651,0.5325451808034215,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028209686279297,3143280,0.9811013117912992,0.5019762845849802,0.49609375,0.49901768172888017,0.8040390158740651,0.5325451808034215,0.009518773135906928,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
