round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7074938190834863,0.5081380208333334,0.15064643057897695,0.6930283308029175,0.9894019121025717,0.869281045751634,0.51953125,0.6503667481662592,0.8427490179043591,0.5852186376405574,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041855573654175,3143280,0.5921588972059586,0.03819750044006337,0.84765625,0.07310089270675425,0.8427490179043591,0.5852186376405574,0.4127823524967893,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7049308781112944,0.8522135416666666,0.28164556962025317,0.6907938718795776,0.9901430371303639,0.9361702127659575,0.515625,0.6649874055415617,0.8465837059473446,0.5862157489460769,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503325879573822,3143280,0.8770473578892759,0.09937178754997145,0.6796875,0.17339312406576982,0.8465837059473446,0.5862157489460769,0.11913575583591449,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7029918487582888,0.8994140625,0.2660332541567696,0.6889978051185608,0.9903653746387016,0.9701492537313433,0.5078125,0.6666666666666666,0.8340907588577472,0.5828517106574943,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026233196258545,3143280,0.9472318980211962,0.20466321243523317,0.6171875,0.30739299610894943,0.8340907588577472,0.5828517106574943,0.046385132582911534,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7010857875858034,0.9156901041666666,0.2404692082111437,0.6874478459358215,0.9902171496331431,0.9626865671641791,0.50390625,0.6615384615384615,0.8263692974711038,0.5766526252543046,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022441744804382,3143280,0.9735418365078189,0.3721518987341772,0.57421875,0.45161290322580644,0.8263692974711038,0.5766526252543046,0.01873536299765808,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6987006885664804,0.9254557291666666,0.22895622895622897,0.6859440803527832,0.9901430371303639,0.9624060150375939,0.5,0.6580976863753213,0.8216324861184559,0.5698604524894448,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501878559589386,3143280,0.9808789742829616,0.4963768115942029,0.53515625,0.5150375939849624,0.8216324861184559,0.5698604524894448,0.010500868776913199,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6962711300168718,0.9306640625,0.23655913978494625,0.684442400932312,0.9901430371303639,0.9694656488549618,0.49609375,0.6563307493540051,0.8187108401167184,0.5641521174448615,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016903281211853,3143280,0.9845104869191432,0.6044444444444445,0.53125,0.5654885654885655,0.8187108401167184,0.5641521174448615,0.006723577849966004,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6944442127432142,0.93359375,0.23880597014925373,0.6829438209533691,0.9896983621136886,0.9333333333333333,0.4921875,0.6445012787723785,0.8146636794590919,0.5574914941984224,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015282034873962,3143280,0.9855480619580523,0.6502463054187192,0.515625,0.5751633986928104,0.8146636794590919,0.5574914941984224,0.005363753116265015,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6927165721143995,0.9352213541666666,0.23754789272030652,0.6814184784889221,0.9895501371081301,0.9457364341085271,0.4765625,0.6337662337662338,0.8102415931668807,0.550395161738675,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020317435264587,3143280,0.9853257244497147,0.645,0.50390625,0.5657894736842105,0.8102415931668807,0.550395161738675,0.005363753116265015,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6912312605551312,0.9348958333333334,0.2366412213740458,0.6798806190490723,0.9889572370858964,0.8848920863309353,0.48046875,0.6227848101265823,0.804589821617436,0.5412702125440146,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016905665397644,3143280,0.9848810494330393,0.6274509803921569,0.5,0.5565217391304348,0.804589821617436,0.5412702125440146,0.005741482208959734,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6882566311529705,0.9348958333333334,0.23076923076923078,0.6783252358436584,0.9885125620692211,0.8633093525179856,0.46875,0.6075949367088608,0.7987618748583516,0.5313707430362291,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018433332443237,3143280,0.9842881494108056,0.6057692307692307,0.4921875,0.5431034482758621,0.7987618748583516,0.5313707430362291,0.006194757120193397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
