round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6793195977807045,0.4928385416666667,0.21073961499493415,0.6931943893432617,0.9888839484215207,0.8970588235294118,0.4728682170542636,0.6192893401015228,0.830650375649216,0.555249482924639,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044741630554199,3143280,0.5661775603972136,0.03644797879390325,0.8527131782945736,0.06990784874483635,0.830650375649216,0.555249482924639,0.4394076760350559,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.677387123927474,0.8251953125,0.31417624521072796,0.6910021901130676,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8332284982699285,0.566444905925652,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033512711524963,3143280,0.8712020157106862,0.09429824561403509,0.6666666666666666,0.16522574447646493,0.8332284982699285,0.566444905925652,0.12481112118464793,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.675241619348526,0.8763020833333334,0.2883895131086142,0.6892818808555603,0.9890321624425671,0.8571428571428571,0.5116279069767442,0.6407766990291263,0.8198248375935022,0.5711153507192229,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021386742591858,3143280,0.9378983251815621,0.17633928571428573,0.6124031007751938,0.2738301559792028,0.8198248375935022,0.5711153507192229,0.0557570262919311,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6731728818267584,0.8876953125,0.26124197002141325,0.6877952814102173,0.9894768045057062,0.9027777777777778,0.5038759689922481,0.6467661691542289,0.811863815152942,0.5691016517525137,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501787006855011,3143280,0.9688750555802579,0.3231441048034934,0.5736434108527132,0.4134078212290503,0.811863815152942,0.5691016517525137,0.023420973103656696,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.67158317938447,0.8994140625,0.25181598062953997,0.6863521933555603,0.9890321624425671,0.8666666666666667,0.5038759689922481,0.6372549019607843,0.8084001583653695,0.5621383074892093,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501322329044342,3143280,0.9786571809693198,0.4528301886792453,0.5581395348837209,0.5,0.8084001583653695,0.5621383074892093,0.01314596554850408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6692453976720572,0.9046223958333334,0.2544529262086514,0.6849335432052612,0.9890321624425671,0.9365079365079365,0.4573643410852713,0.6145833333333334,0.8068780000983927,0.5516490617925701,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015515685081482,3143280,0.9822143174744331,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.8068780000983927,0.5516490617925701,0.009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6671351883560419,0.9095052083333334,0.26063829787234044,0.68350750207901,0.9887357344004742,0.9491525423728814,0.43410852713178294,0.5957446808510638,0.8055637549459894,0.5382257093271615,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021184682846069,3143280,0.9826589595375722,0.5508474576271186,0.5038759689922481,0.5263157894736842,0.8055637549459894,0.5382257093271615,0.008008461770927773,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6653267703950405,0.9111328125,0.2641509433962264,0.682077944278717,0.9884393063583815,0.9180327868852459,0.43410852713178294,0.5894736842105263,0.8037095213664402,0.5245839748865144,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020290017127991,3143280,0.9819178894323403,0.5289256198347108,0.49612403100775193,0.512,0.8037095213664402,0.5245839748865144,0.008612873980054397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6636975426226854,0.9117838541666666,0.26558265582655827,0.6806252598762512,0.9882910923373351,0.9310344827586207,0.4186046511627907,0.5775401069518716,0.8010125075844362,0.5102715571765646,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027982592582703,3143280,0.9808803912850156,0.5,0.4806201550387597,0.4901185770750988,0.8010125075844362,0.5102715571765646,0.009368389241462678,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.661521827802062,0.9111328125,0.2641509433962264,0.6791766881942749,0.9876982362531496,0.8709677419354839,0.4186046511627907,0.5654450261780105,0.7976138602495895,0.4959149535291184,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502739667892456,3143280,0.9796946791166444,0.46825396825396826,0.4573643410852713,0.4627450980392157,0.7976138602495895,0.4959149535291184,0.010123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
