round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7093408163636923,0.4729817708333333,0.20598332515939186,0.6932761669158936,0.9888839484215207,0.8970588235294118,0.4728682170542636,0.6192893401015228,0.8309918216937129,0.5568487894931725,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045275092124939,3143280,0.5510597302504817,0.035256410256410256,0.8527131782945736,0.06771314250538628,0.8309918216937129,0.5568487894931725,0.45482018736778485,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7077014222741127,0.8186848958333334,0.3165644171779141,0.6911594867706299,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8340460946303363,0.5683578548765702,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034717321395874,3143280,0.8597895360901141,0.08695652173913043,0.6666666666666666,0.15384615384615385,0.8340460946303363,0.5683578548765702,0.13644605621033545,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7056271824985743,0.8720703125,0.29443447037701975,0.6895146369934082,0.9896250185267527,0.8831168831168831,0.5271317829457365,0.6601941747572816,0.8211297120139811,0.5750604784373746,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502349853515625,3143280,0.9322661923817993,0.16255144032921812,0.6124031007751938,0.25691056910569104,0.8211297120139811,0.5750604784373746,0.061498942278634026,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7038308866322041,0.8860677083333334,0.2768595041322314,0.6881076097488403,0.989773232547799,0.9054054054054054,0.5193798449612403,0.6600985221674877,0.8139013636757633,0.5736647645140261,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019502639770508,3143280,0.9645768489699126,0.2900763358778626,0.5891472868217055,0.3887468030690537,0.8139013636757633,0.5736647645140261,0.028105167724388033,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7025264166295528,0.89453125,0.2534562211981567,0.6867495179176331,0.9896250185267527,0.9154929577464789,0.5038759689922481,0.65,0.8110216206212326,0.5690240158522295,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018552541732788,3143280,0.9749518304431599,0.391304347826087,0.5581395348837209,0.46006389776357826,0.8110216206212326,0.5690240158522295,0.016923541855545482,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7004487067461014,0.9010416666666666,0.2549019607843137,0.6854222416877747,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8102655196890791,0.561042615585231,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018259286880493,3143280,0.9786571809693198,0.45161290322580644,0.5426356589147286,0.49295774647887325,0.8102655196890791,0.561042615585231,0.012843759443940768,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6985705681145191,0.9039713541666666,0.25692695214105793,0.6840947866439819,0.9890321624425671,0.9104477611940298,0.4728682170542636,0.6224489795918368,0.8102145663342399,0.5522675385045751,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020699501037598,3143280,0.9792500370535052,0.46308724832214765,0.5348837209302325,0.49640287769784175,0.8102145663342399,0.5522675385045751,0.012088244182532487,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6969328224658966,0.90625,0.2653061224489796,0.6827706694602966,0.9887357344004742,0.9491525423728814,0.43410852713178294,0.5957446808510638,0.8098684349237808,0.5392434295965475,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030417442321777,3143280,0.9783607529272269,0.4429530201342282,0.5116279069767442,0.4748201438848921,0.8098684349237808,0.5392434295965475,0.012541553339377455,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6956592220813036,0.9075520833333334,0.2717948717948718,0.6814314126968384,0.9884393063583815,0.9322033898305084,0.4263565891472868,0.5851063829787234,0.808426513548907,0.5272134248128285,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503368616104126,3143280,0.9782125389061805,0.4383561643835616,0.49612403100775193,0.46545454545454545,0.808426513548907,0.5272134248128285,0.0123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6937325354665518,0.9085286458333334,0.2739018087855297,0.680106520652771,0.9882910923373351,0.9310344827586207,0.4186046511627907,0.5775401069518716,0.8068914705255341,0.5166687264773709,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040644407272339,3143280,0.9765821846746702,0.40764331210191085,0.49612403100775193,0.44755244755244755,0.8068914705255341,0.5166687264773709,0.014052583862194016,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
