round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7993677165359259,0.4130859375,0.1947297900848593,0.6935214400291443,0.9890321624425671,0.8985507246376812,0.4806201550387597,0.6262626262626263,0.8320530570841562,0.5610512319396541,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046505928039551,3143280,0.48154735437972435,0.031432545201668986,0.875968992248062,0.06068743286788399,0.8320530570841562,0.5610512319396541,0.5261408280447265,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7984511945396662,0.7887369791666666,0.30439442658092175,0.6916309595108032,0.9890321624425671,0.8395061728395061,0.5271317829457365,0.6476190476190476,0.8362265468150054,0.5757056559798978,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032638311386108,3143280,0.8197717504075885,0.07103393843725335,0.6976744186046512,0.12893982808022922,0.8362265468150054,0.5757056559798978,0.1778482925355092,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7964303195476532,0.8636067708333334,0.3164763458401305,0.6902123093605042,0.9903660886319846,0.9571428571428572,0.5193798449612403,0.6733668341708543,0.824674191364402,0.5815076633977543,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031741857528687,3143280,0.912850155624722,0.1339712918660287,0.6511627906976745,0.2222222222222222,0.824674191364402,0.5815076633977543,0.08204895738893926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7952907420694828,0.8785807291666666,0.30280373831775703,0.6890435218811035,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8191337461140746,0.5816866986985658,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502984881401062,3143280,0.9424929598340003,0.18944844124700239,0.6124031007751938,0.2893772893772894,0.8191337461140746,0.5816866986985658,0.05107283167119976,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7946989871561527,0.8873697916666666,0.30522088353413657,0.6879392862319946,0.9902178746109382,0.9315068493150684,0.5271317829457365,0.6732673267326733,0.817451699733637,0.5798813251848008,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026488900184631,3143280,0.9610197124647992,0.2673611111111111,0.5968992248062015,0.36930455635491605,0.817451699733637,0.5798813251848008,0.03188274403142943,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.793228268623352,0.892578125,0.30962343096234307,0.686885416507721,0.9902178746109382,0.9436619718309859,0.5193798449612403,0.67,0.8182546543254128,0.5765594964053983,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030330419540405,3143280,0.9653179190751445,0.2972972972972973,0.5968992248062015,0.39690721649484534,0.8182546543254128,0.5765594964053983,0.027500755515261408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7918750997632742,0.8942057291666666,0.3157894736842105,0.6858518719673157,0.9900696605898918,0.9428571428571428,0.5116279069767442,0.6633165829145728,0.8199103455223128,0.574633800564153,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503514289855957,3143280,0.9660589891803765,0.3031496062992126,0.5968992248062015,0.402088772845953,0.8199103455223128,0.574633800564153,0.02674524025385313,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7906076684594154,0.8948567708333334,0.3171247357293869,0.6848427653312683,0.9899214465688454,0.9420289855072463,0.5038759689922481,0.6565656565656566,0.8219139251419081,0.570993041750666,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042222142219543,3143280,0.9641322069067734,0.28517110266159695,0.5813953488372093,0.3826530612244898,0.8219139251419081,0.570993041750666,0.028407373828951345,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.790263120085001,0.8961588541666666,0.3227176220806794,0.6838423609733582,0.9893285904846598,0.9130434782608695,0.4883720930232558,0.6363636363636364,0.823803298966174,0.5659563309038578,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049178004264832,3143280,0.9617607825700312,0.2704626334519573,0.5891472868217055,0.37073170731707317,0.823803298966174,0.5659563309038578,0.0309761257177395,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7888789903372526,0.8948567708333334,0.3284823284823285,0.6828866004943848,0.9894768045057062,0.967741935483871,0.46511627906976744,0.6282722513089005,0.8254917877248098,0.5613048487418916,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5067780017852783,3143280,0.9596857862753817,0.25925925925925924,0.5968992248062015,0.3615023474178404,0.8254917877248098,0.5613048487418916,0.03324267150196434,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
