round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9492903128266335,0.3180338541666667,0.18003913894324852,0.6939300894737244,0.9888839484215207,0.8648648648648649,0.49612403100775193,0.6305418719211823,0.8337380318183203,0.5677667747080765,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046961307525635,3143280,0.35927078701645176,0.026636568848758466,0.9147286821705426,0.051765738100460625,0.8337380318183203,0.5677667747080765,0.651556361438501,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9490594360977411,0.6953125,0.2676056338028169,0.6924161314964294,0.9902178746109382,0.9315068493150684,0.5271317829457365,0.6732673267326733,0.8393838978027977,0.5816962015119163,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042209029197693,3143280,0.7182451459908107,0.049338758901322485,0.751937984496124,0.09260143198090692,0.8393838978027977,0.5816962015119163,0.28241160471441523,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9466006904840469,0.8268229166666666,0.3316582914572864,0.6913732290267944,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8299171158761283,0.5863893978078935,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039230585098267,3143280,0.8503038387431451,0.08560677328316087,0.7054263565891473,0.15268456375838926,0.8299171158761283,0.5863893978078935,0.1468721668177697,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9460296798497438,0.8564453125,0.3287671232876712,0.6905992031097412,0.990514302653031,0.9452054794520548,0.5348837209302325,0.6831683168316832,0.82600893499289,0.5873032968592896,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039572715759277,3143280,0.8916555506150882,0.11211340206185567,0.6744186046511628,0.19226519337016573,0.82600893499289,0.5873032968592896,0.10411000302206104,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9461598433554173,0.8649088541666666,0.3295638126009693,0.689915120601654,0.990514302653031,0.9452054794520548,0.5348837209302325,0.6831683168316832,0.8260417325546255,0.5880114955365372,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.50444495677948,3143280,0.905587668593449,0.1264705882352941,0.6666666666666666,0.2126081582200247,0.8260417325546255,0.5880114955365372,0.08975521305530372,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9451416730880737,0.865234375,0.33225806451612905,0.6893128752708435,0.9903660886319846,0.9444444444444444,0.5271317829457365,0.6766169154228856,0.8282110569951342,0.5891294195104495,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051482319831848,3143280,0.9072180228249592,0.12965722801788376,0.6744186046511628,0.2175,0.8282110569951342,0.5891294195104495,0.08824418253248716,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.944117832928896,0.8626302083333334,0.3385579937304075,0.6887641549110413,0.990514302653031,0.9710144927536232,0.5193798449612403,0.6767676767676768,0.8307997216892617,0.5915024671072763,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5066664814949036,3143280,0.9020305320883355,0.12429378531073447,0.6821705426356589,0.21027479091995221,0.8307997216892617,0.5915024671072763,0.09368389241462678,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9430170580744743,0.8570963541666666,0.3378582202111614,0.6882752180099487,0.9902178746109382,0.9315068493150684,0.5271317829457365,0.6732673267326733,0.8338996769440169,0.5928060999796508,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5073216557502747,3143280,0.8934341188676449,0.11688311688311688,0.6976744186046512,0.20022246941045607,0.8338996769440169,0.5928060999796508,0.10275007555152614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9437805376946926,0.8460286458333334,0.3328631875881523,0.6878349184989929,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.836594933713785,0.5938726238181398,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5096707940101624,3143280,0.8808359270787016,0.10618436406067679,0.7054263565891473,0.1845841784989858,0.836594933713785,0.5938726238181398,0.11574493804774856,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9426587633788586,0.8362630208333334,0.34248366013071896,0.6874901056289673,0.9903660886319846,0.9571428571428572,0.5193798449612403,0.6733668341708543,0.8387531304101336,0.5953508942967314,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5104774832725525,3143280,0.8663109530161553,0.09528795811518324,0.7054263565891473,0.16789667896678967,0.8387531304101336,0.5953508942967314,0.13055303717135086,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
