round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2486781887710094,0.18294270833333334,0.16389073950699534,0.6947474479675293,0.9890321624425671,0.8313253012048193,0.5348837209302325,0.6509433962264151,0.8364871702966539,0.5787340345893209,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049221515655518,3143280,0.16377649325626203,0.021690091965989935,0.9689922480620154,0.04243041412084182,0.8364871702966539,0.5787340345893209,0.8519190087639771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2478882763534784,0.3225911458333333,0.17973985021679148,0.693983793258667,0.9906625166740773,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8450344491532373,0.5884494825924196,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505429744720459,3143280,0.3038387431451015,0.025155925155925157,0.937984496124031,0.04899777282850779,0.8450344491532373,0.5884494825924196,0.7085222121486854,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2426178492605686,0.3987630208333333,0.19239177962396153,0.6936886310577393,0.9906625166740773,0.9459459459459459,0.5426356589147286,0.6896551724137931,0.8380919081387149,0.591950248428266,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5055718421936035,3143280,0.35512079442715283,0.02625673249551167,0.9069767441860465,0.05103598691384951,0.8380919081387149,0.591950248428266,0.6556361438501058,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2412823140621185,0.4088541666666667,0.19145146927871773,0.693696141242981,0.990514302653031,0.9333333333333333,0.5426356589147286,0.6862745098039216,0.8372602556804205,0.594713694854074,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5064229965209961,3143280,0.34622795316436933,0.026327433628318585,0.9224806201550387,0.051193805119380514,0.8372602556804205,0.594713694854074,0.6650045330915685,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.241182129830122,0.3889973958333333,0.187797490263955,0.6938427090644836,0.9903660886319846,0.9210526315789473,0.5426356589147286,0.6829268292682927,0.838210213629261,0.598399565488761,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5073322057723999,3143280,0.3319994071439158,0.0259852750108272,0.9302325581395349,0.05055824731409311,0.838210213629261,0.598399565488761,0.6796615291628891,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2391167394816875,0.3645833333333333,0.18666666666666668,0.6941317915916443,0.9903660886319846,0.9210526315789473,0.5426356589147286,0.6829268292682927,0.840987464303368,0.601629454278406,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5086567997932434,3143280,0.3063583815028902,0.025838716399249843,0.9612403100775194,0.05032467532467533,0.840987464303368,0.601629454278406,0.7064067694167422,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.236862599849701,0.3284505208333333,0.18297029702970297,0.6945381164550781,0.9903660886319846,0.9324324324324325,0.5348837209302325,0.6798029556650246,0.845388194283385,0.6057033449163569,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.511140763759613,3143280,0.2841262783459315,0.025055566781167913,0.9612403100775194,0.04883812524615991,0.845388194283385,0.6057033449163569,0.7290722272589907,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2345282062888145,0.2975260416666667,0.18257575757575759,0.6950761675834656,0.9903660886319846,0.9324324324324325,0.5348837209302325,0.6798029556650246,0.8499353419497213,0.609581082831952,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5135805606842041,3143280,0.2564102564102564,0.0245136186770428,0.9767441860465116,0.04782691212753843,0.8499353419497213,0.609581082831952,0.7576307041402236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2360319439321756,0.2705078125,0.1794214573416331,0.6957478523254395,0.9903660886319846,0.9324324324324325,0.5348837209302325,0.6798029556650246,0.8524742246305004,0.6132217141047887,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5164085626602173,3143280,0.227063880243071,0.023961063272182705,0.9922480620155039,0.046792176932919025,0.8524742246305004,0.6132217141047887,0.7878513145965549,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2332717198878527,0.24251302083333334,0.1756996103436061,0.6966167688369751,0.9903660886319846,0.9324324324324325,0.5348837209302325,0.6798029556650246,0.8546663902300748,0.6169015112829198,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5196601152420044,3143280,0.19697643397065362,0.02308385933273219,0.9922480620155039,0.045118082481494536,0.8546663902300748,0.6169015112829198,0.818525234209731,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
