round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7060520444065332,0.2682291666666667,0.17413666421748714,0.6941821575164795,0.9890321624425671,0.8985507246376812,0.4806201550387597,0.6262626262626263,0.8316108756714714,0.5601546463914415,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049927234649658,3143280,0.2841262783459315,0.024093946142943915,0.9224806201550387,0.04696132596685083,0.8316108756714714,0.5601546463914415,0.7283167119975823,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7055848687887192,0.5869140625,0.23692122669873722,0.6929609179496765,0.9890321624425671,0.8395061728395061,0.5271317829457365,0.6476190476190476,0.8355372123478135,0.5738590556023861,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039198994636536,3143280,0.608418556395435,0.038899082568807336,0.8217054263565892,0.07428170988086896,0.8355372123478135,0.5738590556023861,0.3957388939256573,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7047024611383677,0.7389322916666666,0.27090909090909093,0.6922165751457214,0.9902178746109382,0.9436619718309859,0.5193798449612403,0.67,0.823691435853826,0.5792316564477075,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042025446891785,3143280,0.7535200829998517,0.05406976744186046,0.7209302325581395,0.10059491617090319,0.823691435853826,0.5792316564477075,0.24584466606225447,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7040576655417681,0.7825520833333334,0.2863247863247863,0.6917359828948975,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8178716256580011,0.5789307054088809,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044815540313721,3143280,0.8009485697346969,0.0651862464183381,0.7054263565891473,0.11934426229508197,0.8178716256580011,0.5789307054088809,0.1971894832275612,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7039285264909267,0.8004557291666666,0.29621125143513205,0.6913444995880127,0.9899214465688454,0.9066666666666666,0.5271317829457365,0.6666666666666666,0.8159172423810093,0.576584358960319,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044673085212708,3143280,0.8114717652289907,0.06737320211960636,0.689922480620155,0.12275862068965518,0.8159172423810093,0.576584358960319,0.1861589604110003,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7029661871492863,0.796875,0.2925170068027211,0.6910194754600525,0.9902178746109382,0.9436619718309859,0.5193798449612403,0.67,0.8163588381229487,0.5726358568778681,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5052847862243652,3143280,0.8080628427449237,0.06686478454680535,0.6976744186046512,0.12203389830508475,0.8163588381229487,0.5726358568778681,0.18978543366576006,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7022157199680805,0.7848307291666666,0.2900107411385607,0.690738320350647,0.989773232547799,0.9411764705882353,0.49612403100775193,0.649746192893401,0.8179911024900377,0.5684861898632967,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062443017959595,3143280,0.8000592856084185,0.06490727532097004,0.7054263565891473,0.11887655127367734,0.8179911024900377,0.5684861898632967,0.19809610154125112,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7017006110399961,0.7708333333333334,0.2830957230142566,0.6905059814453125,0.9890321624425671,0.8666666666666667,0.5038759689922481,0.6372549019607843,0.8198722769238698,0.563818006860102,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5070633292198181,3143280,0.7879057358826145,0.06132075471698113,0.7054263565891473,0.11283323000619963,0.8198722769238698,0.563818006860102,0.21048655182834694,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7015731688588858,0.7532552083333334,0.287593984962406,0.6903167963027954,0.9888839484215207,0.8857142857142857,0.4806201550387597,0.6231155778894473,0.8212392324433481,0.5576054710345438,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5083827972412109,3143280,0.7723432636727434,0.05893416927899686,0.7286821705426356,0.10904872389791183,0.8212392324433481,0.5576054710345438,0.2268056814747658,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7007121909409761,0.7298177083333334,0.2820069204152249,0.6901951432228088,0.9893285904846598,0.9523809523809523,0.46511627906976744,0.625,0.8221634208793963,0.5525890860414758,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5104542374610901,3143280,0.7544093671261302,0.054778554778554776,0.7286821705426356,0.1018970189701897,0.8221634208793963,0.5525890860414758,0.24508915080084617,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
