round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7054460030049086,0.6595052083333334,0.24964131994261118,0.6923524141311646,0.9888839484215207,0.8970588235294118,0.4728682170542636,0.6192893401015228,0.8303563689350866,0.5532030694914231,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040138959884644,3143280,0.7120201571068623,0.04740518962075848,0.7364341085271318,0.08907641819034225,0.8303563689350866,0.5532030694914231,0.2884557268056815,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7025742642581463,0.8668619791666666,0.2761061946902655,0.6893300414085388,0.9893285904846598,0.9130434782608695,0.4883720930232558,0.6363636363636364,0.8321532067815987,0.561496342332221,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023936033248901,3143280,0.9304876241292426,0.15863453815261044,0.6124031007751938,0.25199362041467305,0.8321532067815987,0.561496342332221,0.0633121789060139,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6993127465248108,0.896484375,0.2318840579710145,0.6867806315422058,0.9893285904846598,0.9253731343283582,0.4806201550387597,0.6326530612244898,0.8176918247392008,0.5653100345207596,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011070966720581,3143280,0.9813250333481547,0.5107913669064749,0.5503875968992248,0.5298507462686567,0.8176918247392008,0.5653100345207596,0.010275007555152614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6963316388428211,0.9192708333333334,0.27058823529411763,0.6844465136528015,0.9879946642952423,0.7857142857142857,0.5116279069767442,0.6197183098591549,0.8084224138536901,0.560925962600544,0.0027198549410698096,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4994153678417206,3143280,0.9890321624425671,0.9365079365079365,0.4573643410852713,0.6145833333333334,0.8084224138536901,0.560925962600544,0.0006044122091266244,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6938238721340895,0.9251302083333334,0.26282051282051283,0.6821264028549194,0.9891803764636135,0.9516129032258065,0.4573643410852713,0.6178010471204188,0.8043115908925856,0.5492163603359657,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4992680549621582,3143280,0.9887357344004742,0.9818181818181818,0.4186046511627907,0.5869565217391305,0.8043115908925856,0.5492163603359657,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6906202360987663,0.9248046875,0.24262295081967214,0.6798076629638672,0.9885875203794279,0.8939393939393939,0.4573643410852713,0.6051282051282051,0.800624207880317,0.533870126747907,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49832507967948914,3143280,0.9881428783162888,0.9803921568627451,0.3875968992248062,0.5555555555555556,0.800624207880317,0.533870126747907,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6876183152198792,0.9248046875,0.2376237623762376,0.6774516701698303,0.9884393063583815,0.9047619047619048,0.4418604651162791,0.59375,0.7961133718001878,0.5180509088672992,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49787628650665283,3143280,0.9876982362531496,0.9791666666666666,0.3643410852713178,0.5310734463276836,0.7961133718001878,0.5180509088672992,0.0001511030522816561,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6848861146718264,0.9241536458333334,0.22073578595317725,0.6750609278678894,0.9882910923373351,0.9310344827586207,0.4186046511627907,0.5775401069518716,0.791263432358543,0.5006355238509301,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4981449842453003,3143280,0.9875500222321032,1.0,0.3488372093023256,0.5172413793103449,0.791263432358543,0.5006355238509301,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6824554670602083,0.9228515625,0.19661016949152543,0.672608494758606,0.9874018082110567,0.8333333333333334,0.4263565891472868,0.5641025641025641,0.7829925900937307,0.48298777314600727,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49706321954727173,3143280,0.987105380168964,1.0,0.32558139534883723,0.49122807017543857,0.7829925900937307,0.48298777314600727,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6794878374785185,0.921875,0.1780821917808219,0.6701255440711975,0.9874018082110567,0.8928571428571429,0.3875968992248062,0.5405405405405406,0.7728230032727281,0.46640172393586565,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49738529324531555,3143280,0.986364310063732,1.0,0.2868217054263566,0.4457831325301205,0.7728230032727281,0.46640172393586565,0.0,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
