round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7057046815752983,0.4729817708333333,0.20598332515939186,0.6932768821716309,0.9888839484215207,0.8970588235294118,0.4728682170542636,0.6192893401015228,0.831053317121967,0.5566689849790266,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045365691184998,3143280,0.5509115162294353,0.03524511374559436,0.8527131782945736,0.06769230769230769,0.831053317121967,0.5566689849790266,0.4549712904200665,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7040958646684885,0.818359375,0.3161764705882353,0.6911545395851135,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8340308671909591,0.5683318677262053,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035161972045898,3143280,0.8596413220690677,0.08686868686868687,0.6666666666666666,0.15370866845397677,0.8340308671909591,0.5683318677262053,0.13659715926261712,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7023607641458511,0.8714192708333334,0.29338103756708406,0.6895065307617188,0.9896250185267527,0.8831168831168831,0.5271317829457365,0.6601941747572816,0.8212187339672633,0.5753479524854199,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502381443977356,3143280,0.9310804802134282,0.15991902834008098,0.6124031007751938,0.2536115569823435,0.8212187339672633,0.5753479524854199,0.06270776669688728,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7003934755921364,0.8854166666666666,0.2757201646090535,0.6880922317504883,0.989773232547799,0.9054054054054054,0.5193798449612403,0.6600985221674877,0.8138099990394999,0.5735530292961648,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020095705986023,3143280,0.9635393508225878,0.28413284132841327,0.5968992248062015,0.385,0.8138099990394999,0.5735530292961648,0.02931399214264128,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6990672126412392,0.89453125,0.2534562211981567,0.6867206692695618,0.989773232547799,0.9285714285714286,0.5038759689922481,0.6532663316582915,0.8111627672708446,0.5694440805692895,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019375681877136,3143280,0.9743589743589743,0.3829787234042553,0.5581395348837209,0.45425867507886436,0.8111627672708446,0.5694440805692895,0.017527954064672106,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6968789324164391,0.900390625,0.25365853658536586,0.6853814125061035,0.9896250185267527,0.9402985074626866,0.4883720930232558,0.6428571428571429,0.8105911526234535,0.5614769480975238,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019770860671997,3143280,0.977619682821995,0.4329268292682927,0.5503875968992248,0.48464163822525597,0.8105911526234535,0.5614769480975238,0.014052583862194016,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6950620394200087,0.9029947916666666,0.255,0.6840417385101318,0.9888839484215207,0.875,0.4883720930232558,0.6268656716417911,0.8108476764098852,0.5525856323522323,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018988847732544,3143280,0.9782125389061805,0.4430379746835443,0.5426356589147286,0.4878048780487805,0.8108476764098852,0.5525856323522323,0.013297068600785736,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6932907961308956,0.9055989583333334,0.2676767676767677,0.6827070713043213,0.9882910923373351,0.8676470588235294,0.4573643410852713,0.5989847715736041,0.8105776821963122,0.5399737608170536,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024789571762085,3143280,0.9771750407588558,0.422360248447205,0.5271317829457365,0.4689655172413793,0.8105776821963122,0.5399737608170536,0.014052583862194016,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6918309610337019,0.9055989583333334,0.2676767676767677,0.6813574433326721,0.9884393063583815,0.9322033898305084,0.4263565891472868,0.5851063829787234,0.8096540794310092,0.5284240824052822,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5036140084266663,3143280,0.9756929005483919,0.3939393939393939,0.5038759689922481,0.4421768707482993,0.8096540794310092,0.5284240824052822,0.015110305228165609,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6899207644164562,0.9065755208333334,0.27341772151898736,0.6800238490104675,0.9881428783162888,0.9152542372881356,0.4186046511627907,0.574468085106383,0.8079304504276568,0.5169599758755096,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5044270753860474,3143280,0.974210760337928,0.37142857142857144,0.5038759689922481,0.4276315789473684,0.8079304504276568,0.5169599758755096,0.01662133575098217,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
