round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7055632323026657,0.4788411458333333,0.20624690133862172,0.6932559013366699,0.9887357344004742,0.8732394366197183,0.4806201550387597,0.62,0.8308126064456579,0.5563835771578259,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043809413909912,3143280,0.5543204387135023,0.035506778566817304,0.8527131782945736,0.06817477533312674,0.8308126064456579,0.5563835771578259,0.4514959202175884,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7038218472152948,0.8212890625,0.3146067415730337,0.6911243796348572,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8337181190129808,0.5675171824814229,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034239292144775,3143280,0.8618645323847636,0.0882051282051282,0.6666666666666666,0.15579710144927536,0.8337181190129808,0.5675171824814229,0.13433061347839226,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7019834779202938,0.873046875,0.29347826086956524,0.68946772813797,0.9893285904846598,0.8607594936708861,0.5271317829457365,0.6538461538461539,0.8209077428015209,0.5740797815336658,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022197961807251,3143280,0.934785830739588,0.16844349680170576,0.6124031007751938,0.26421404682274247,0.8209077428015209,0.5740797815336658,0.05893019038984588,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6999728381633759,0.8870442708333334,0.2755741127348643,0.6880504488945007,0.9894768045057062,0.881578947368421,0.5193798449612403,0.6536585365853659,0.8134995935445027,0.5726572342505122,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017557144165039,3143280,0.9668000592856084,0.30612244897959184,0.5813953488372093,0.40106951871657753,0.8134995935445027,0.5726572342505122,0.025687518887881535,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6986689530313015,0.896484375,0.24644549763033174,0.686680257320404,0.9896250185267527,0.9154929577464789,0.5038759689922481,0.65,0.8103305291418049,0.56756915735944,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016828775405884,3143280,0.9771750407588558,0.4260355029585799,0.5581395348837209,0.48322147651006714,0.8103305291418049,0.56756915735944,0.01465699607132064,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6965738944709301,0.9026692708333334,0.25806451612903225,0.6853407621383667,0.9891803764636135,0.9,0.4883720930232558,0.6331658291457286,0.8092136550305604,0.5586981311064348,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501525342464447,3143280,0.9801393211797836,0.4825174825174825,0.5348837209302325,0.5073529411764706,0.8092136550305604,0.5586981311064348,0.01118162586884255,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6946440078318119,0.9065755208333334,0.2622107969151671,0.6839988827705383,0.9885875203794279,0.8714285714285714,0.4728682170542636,0.6130653266331658,0.8085407193442362,0.5488130247002426,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501619279384613,3143280,0.9811768193271083,0.5076923076923077,0.5116279069767442,0.5096525096525096,0.8085407193442362,0.5488130247002426,0.00967059534602599,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930825058370829,0.9095052083333334,0.26842105263157895,0.6826603412628174,0.9887357344004742,0.9491525423728814,0.43410852713178294,0.5957446808510638,0.8076382007257632,0.5360115060776037,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025822520256042,3143280,0.9807321772639692,0.4961832061068702,0.5038759689922481,0.5,0.8076382007257632,0.5360115060776037,0.009972801450589302,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6918867863714695,0.9104817708333334,0.27055702917771884,0.6813042759895325,0.9884393063583815,0.9322033898305084,0.4263565891472868,0.5851063829787234,0.8055936241539985,0.5238122814290443,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029799938201904,3143280,0.9799911071587372,0.47761194029850745,0.49612403100775193,0.4866920152091255,0.8055936241539985,0.5238122814290443,0.010577213659715926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6899235378950834,0.9108072916666666,0.2751322751322751,0.679958164691925,0.9881428783162888,0.9152542372881356,0.4186046511627907,0.574468085106383,0.8040896216801253,0.5124363115482611,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034335255622864,3143280,0.9795464650955981,0.46715328467153283,0.49612403100775193,0.48120300751879697,0.8040896216801253,0.5124363115482611,0.011030522816560894,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
