round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9871209022828511,0.8858493752110773,0.25353356890459366,0.6894780397415161,0.9908841621581561,0.9235668789808917,0.56640625,0.7021791767554479,0.8447738524118003,0.6174488870844447,0.0009065498224673264,0.689868152141571,0.9717335921387844,0.6456140350877193,0.33515482695810567,0.4412470023980815,0.8022032449491183,0.43795038156410304,0.006337453724038401,0.5041940808296204,3143280,0.911954346698288,0.14153846153846153,0.71875,0.2365038560411311,0.8447738524118003,0.6174488870844447,0.08430913348946135,0.8931820938978527,0.17868504772004243,0.6138433515482696,0.2767967145790554,0.8022032449491183,0.43795038156410304,0.0971952061241137
2,0.9815614093201501,0.8468085106382979,0.24299065420560748,0.6867285966873169,0.9907359371525977,0.901840490797546,0.57421875,0.7016706443914081,0.8535339212529274,0.6380242593931942,0.001208733096623102,0.6879104971885681,0.9737959480771564,0.6822429906542056,0.3989071038251366,0.503448275862069,0.81671164682705,0.4826013153443603,0.0064002007906130386,0.5084483027458191,3143280,0.8739346327725487,0.10454296661193213,0.74609375,0.18338934229476717,0.8535339212529274,0.6380242593931942,0.12359295912971217,0.8220308140240203,0.11985973860376156,0.6848816029143898,0.20401519262072706,0.81671164682705,0.4826013153443603,0.1732446508125745
3,0.9775799824510302,0.7452212090509963,0.2001696352841391,0.6856217384338379,0.9908841621581561,0.9030303030303031,0.58203125,0.7078384798099763,0.861125685814384,0.654617790774273,0.001208733096623102,0.6880955696105957,0.9747664685187432,0.7033639143730887,0.41894353369763204,0.5251141552511416,0.8181622584280798,0.5042979528516948,0.0060864654577398505,0.5145124793052673,3143280,0.7962647298599274,0.06733772995487677,0.7578125,0.12368504941026458,0.861125685814384,0.654617790774273,0.20299161441414218,0.6963484168385297,0.07976617009240053,0.7704918032786885,0.14456596035543404,0.8181622584280798,0.5042979528516948,0.30620568488423167
4,0.9729027697018215,0.7255656872678149,0.19400912517357666,0.6839544773101807,0.9908841621581561,0.893491124260355,0.58984375,0.7105882352941176,0.8650512649202992,0.6647170874803604,0.0013598247337009896,0.6872148513793945,0.9761615916535242,0.7671232876712328,0.4080145719489982,0.5326991676575505,0.818180088195631,0.5188863352775104,0.004266800527075359,0.5197087526321411,3143280,0.7923367672126288,0.06700680272108843,0.76953125,0.123279098873592,0.8650512649202992,0.6647170874803604,0.20722218025232303,0.6703869950260828,0.07336244541484715,0.7650273224043715,0.133885878227606,0.818180088195631,0.5188863352775104,0.3328731881784527
5,0.9710627937316895,0.7759540695710908,0.22227432590855803,0.681171178817749,0.9908841621581561,0.8674033149171271,0.61328125,0.7185354691075515,0.8683305731566819,0.6712363084979828,0.0018130996449346529,0.6847092509269714,0.9757976464879291,0.7094972067039106,0.46265938069216755,0.5600882028665931,0.8208361520938604,0.5316335671195128,0.006525694923762314,0.5176951289176941,3143280,0.8304305936411472,0.08120362737015664,0.76953125,0.14690529455630127,0.8683305731566819,0.6712363084979828,0.16839162952330589,0.7223098386509765,0.0843820920156798,0.7449908925318761,0.15159377316530764,0.8208361520938604,0.5316335671195128,0.27847148145824185
6,0.9653414717742376,0.8349881796690307,0.26349110642146517,0.6774875521659851,0.991180612169273,0.8784530386740331,0.62109375,0.7276887871853547,0.8723823078775403,0.6798395211002148,0.0016620080078567651,0.6811912655830383,0.9763435642363217,0.7317784256559767,0.45719489981785066,0.5627802690582959,0.824681381482392,0.5426491353839052,0.005772730124866662,0.5179409384727478,3143280,0.8771955828948343,0.10887772194304858,0.76171875,0.19052271617000488,0.8723823078775403,0.6798395211002148,0.12057112638815441,0.7944922964939949,0.10689559678759346,0.7030965391621129,0.18557692307692308,0.824681381482392,0.5426491353839052,0.20235928970320638
7,0.9612404249395643,0.8861870989530564,0.32029043969342474,0.6734136939048767,0.9914770621803898,0.8810810810810811,0.63671875,0.7392290249433107,0.8761988472180252,0.6855888780650802,0.0016620080078567651,0.6770792603492737,0.9770107970399127,0.7428571428571429,0.47358834244080145,0.578420467185762,0.8279717736492722,0.5521813847157805,0.0056472359917173875,0.5169244408607483,3143280,0.9167716593789372,0.15347721822541965,0.75,0.25481088254810885,0.8761988472180252,0.6855888780650802,0.08000302183274156,0.8573941526143395,0.14160700079554495,0.6484517304189436,0.23245184459680052,0.8279717736492722,0.5521813847157805,0.135408169668068
8,0.9587804910114834,0.9129348193177981,0.36029776674937963,0.6693605780601501,0.991551174683169,0.8858695652173914,0.63671875,0.740909090909091,0.879468417126237,0.6915109216005757,0.0015864621893178213,0.6730618476867676,0.9776173723159044,0.7571428571428571,0.48269581056466304,0.5895439377085651,0.831319769680549,0.5615342854974089,0.005333500658844199,0.5164322853088379,3143280,0.9418957978210925,0.2079646017699115,0.734375,0.32413793103448274,0.879468417126237,0.6915109216005757,0.054090806073883814,0.9045857090864976,0.2012835472578763,0.6284153005464481,0.3049049933716306,0.831319769680549,0.5615342854974089,0.08590073414067892
9,0.9543480330705643,0.9308341776426883,0.40046838407494145,0.6653829216957092,0.9914770621803898,0.873015873015873,0.64453125,0.7415730337078652,0.8834856250472161,0.6980467242870889,0.0018130996449346529,0.6690886616706848,0.9780419750090986,0.7679083094555874,0.48816029143898,0.5968819599109132,0.8350133888982039,0.5684438990253889,0.005082512392545649,0.5153500437736511,3143280,0.9573853109019491,0.2691751085383502,0.7265625,0.3928194297782471,0.8834856250472161,0.6980467242870889,0.03815063836216665,0.9349144728860852,0.27871621621621623,0.6010928961748634,0.3808424697057126,0.8350133888982039,0.5684438990253889,0.05358599485474054
10,0.9495608792986189,0.9427895981087471,0.41946538725154214,0.66124027967453,0.9914029496776107,0.8608247422680413,0.65234375,0.7422222222222222,0.8852034071164162,0.7026850752558054,0.0020397371005514845,0.6648070812225342,0.9778600024263011,0.7555555555555555,0.49544626593806923,0.5984598459845984,0.8372873700212804,0.573794272731232,0.005521741858568112,0.5130563974380493,3143280,0.9676128362854813,0.33575317604355714,0.72265625,0.45848822800495664,0.8852034071164162,0.7026850752558054,0.027649769585253458,0.9528084435278418,0.36914285714285716,0.5883424408014571,0.45365168539325845,0.8372873700212804,0.573794272731232,0.034636380749199974
11,0.9457759001425334,0.9501519756838905,0.439209726443769,0.6572262644767761,0.9914029496776107,0.8465346534653465,0.66796875,0.7467248908296943,0.887266752285261,0.7075478667791523,0.00234192037470726,0.660729169845581,0.9781026325366978,0.7513368983957219,0.51183970856102,0.6088840736728061,0.8403304313100777,0.5792818918335512,0.0058354771914413,0.5105416178703308,3143280,0.9748758615578448,0.4083885209713024,0.72265625,0.5218617771509168,0.887266752285261,0.7075478667791523,0.020246279368436957,0.9611185248089288,0.4371584699453552,0.5828779599271403,0.4996096799375488,0.8403304313100777,0.5792818918335512,0.025851791428750708
