round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2964710325854165,0.3584804708400214,0.11053412462908012,0.6936486959457397,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.856657085093274,0.6122217900313226,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5056775808334351,3143280,0.3571957907218023,0.027191011235955055,0.937984496124031,0.05284996724175584,0.856657085093274,0.6122217900313226,0.6541251133272892,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2919977547441208,0.35446762974852863,0.11025073746312684,0.6937380433082581,0.9909589447161702,0.925,0.5736434108527132,0.7081339712918661,0.8540654920454199,0.6320110979326994,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5076264142990112,3143280,0.3299244108492663,0.02631578947368421,0.9457364341085271,0.051206715634837356,0.8540654920454199,0.6320110979326994,0.6820791779993955,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2840228392396655,0.27875869448903157,0.10817069136619252,0.6947164535522461,0.9909589447161702,0.925,0.5736434108527132,0.7081339712918661,0.8613254666038828,0.6442866598120198,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5138055086135864,3143280,0.2598191788943234,0.024809533111935924,0.9844961240310077,0.04839939024390244,0.8613254666038828,0.6442866598120198,0.7543064369900272,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2801967859268188,0.19676297485286248,0.10091331037580475,0.6967626810073853,0.9911071587372166,0.9259259259259259,0.5813953488372093,0.7142857142857143,0.8669133511845777,0.653788803352764,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5201247930526733,3143280,0.1757818289610197,0.02250351617440225,0.9922480620155039,0.04400893931579852,0.8669133511845777,0.653788803352764,0.8401329706860079,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.268137959582465,0.13710540395933654,0.09586545199719691,0.699880063533783,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8710768845127572,0.6620141302548445,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5278034806251526,3143280,0.11827478879502001,0.02106649111257406,0.9922480620155039,0.041257050765511685,0.8710768845127572,0.6620141302548445,0.8987609549712904,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.272014822278704,0.10393258426966293,0.09289099526066351,0.7036287188529968,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8746266348998855,0.6675285810819467,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5381321310997009,3143280,0.08136949755446865,0.02023715415019763,0.9922480620155039,0.039665323830182835,0.8746266348998855,0.6675285810819467,0.9363856149894227,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2596696027687617,0.08761369716425896,0.09259012904084075,0.7072939276695251,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8783924977920212,0.6751338372933086,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5484784245491028,3143280,0.06284274492366979,0.01984496124031008,0.9922480620155039,0.038911688706490345,0.8783924977920212,0.6751338372933086,0.9552734965246298,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2556857095445906,0.07891920813269128,0.09299262381454163,0.7105332612991333,0.9912553727582629,0.926829268292683,0.5891472868217055,0.7203791469194313,0.8806959408331985,0.6814634421456505,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5585023760795593,3143280,0.05306061953460797,0.019643953345610803,0.9922480620155039,0.03852520692249812,0.8806959408331985,0.6814634421456505,0.9652462979752191,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.253174914462226,0.07423756019261638,0.09280377506881636,0.7131000757217407,0.9912553727582629,0.926829268292683,0.5891472868217055,0.7203791469194313,0.8821208777564594,0.6861608736471808,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5668214559555054,3143280,0.04787312879798429,0.01953900167913296,0.9922480620155039,0.03832335329341317,0.8821208777564594,0.6861608736471808,0.9705349048050771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2488669812679292,0.07209737827715355,0.09260954872465664,0.7149961590766907,0.9912553727582629,0.926829268292683,0.5891472868217055,0.7203791469194313,0.8843200714049773,0.6902421351809946,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5748655200004578,3143280,0.04564991848228842,0.019494364910143162,0.9922480620155039,0.03823749066467513,0.8843200714049773,0.6902421351809946,0.9728014505893019,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
11,1.2463834163120815,0.07089352594970573,0.09273772204806688,0.7165153622627258,0.9909589447161702,0.8777777777777778,0.6124031007751938,0.7214611872146118,0.8862035885217906,0.6948849621386344,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5596733689308167,3143280,0.043278494145546166,0.019446976602856273,0.9922480620155039,0.038146326925942484,0.8862035885217906,0.6948849621386344,0.9752190994258084,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
12,1.2375545746939525,0.07089352594970573,0.09273772204806688,0.7176650166511536,0.9909589447161702,0.8777777777777778,0.6124031007751938,0.7214611872146118,0.8877825568510592,0.6982004036614694,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5642746090888977,3143280,0.04431599229287091,0.01946768060836502,0.9922480620155039,0.03818615751789976,0.8877825568510592,0.6982004036614694,0.9741613780598368,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
13,1.2358391550609045,0.07102728731942215,0.09274983670803397,0.718674898147583,0.9911071587372166,0.8876404494382022,0.6124031007751938,0.7247706422018348,0.8892004657253767,0.7015498930156693,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5700553059577942,3143280,0.044019564250778125,0.019461760681161625,0.9922480620155039,0.03817476886370415,0.8892004657253767,0.7015498930156693,0.9744635841644002,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
14,1.2262997364997863,0.07316746923488497,0.09294410263123445,0.7195208072662354,0.9911071587372166,0.8876404494382022,0.6124031007751938,0.7247706422018348,0.8909317084484175,0.7054549817451397,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5742975473403931,3143280,0.04564991848228842,0.019494364910143162,0.9922480620155039,0.03823749066467513,0.8909317084484175,0.7054549817451397,0.9728014505893019,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
15,1.221076901640211,0.07504012841091492,0.09311475409836066,0.7200442552566528,0.9912553727582629,0.8977272727272727,0.6124031007751938,0.728110599078341,0.8926319106219589,0.7098556646903532,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5790960192680359,3143280,0.04816955684007707,0.01954496869751107,0.9922480620155039,0.03833483078766098,0.8926319106219589,0.7098556646903532,0.9702326987005138,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
16,1.2158586752414704,0.07865168539325842,0.09344564359041853,0.7202325463294983,0.9912553727582629,0.8977272727272727,0.6124031007751938,0.728110599078341,0.894114243278257,0.7125000255672738,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5821595191955566,3143280,0.0509856232399585,0.019601837672281776,0.9922480620155039,0.03844421084246884,0.894114243278257,0.7125000255672738,0.9673617407071623,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
17,1.2146376260689327,0.08400214018191546,0.09394019581899973,0.7203340530395508,0.9912553727582629,0.8977272727272727,0.6124031007751938,0.728110599078341,0.895440787516311,0.7159297987734282,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.585737943649292,3143280,0.054394545724025495,0.019671123405563238,0.9922480620155039,0.038577456298975285,0.895440787516311,0.7159297987734282,0.9638863705046842,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
18,1.2072320939813341,0.08895131086142322,0.09440234011434649,0.7205510139465332,0.9908107306951237,0.8252427184466019,0.6589147286821705,0.7327586206896551,0.8965236927243295,0.7183798657395039,0.0027198549410698096,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5707201361656189,3143280,0.05706239810286053,0.01972568962860225,0.9922480620155039,0.03868238138410396,0.8965236927243295,0.7183798657395039,0.9611665155636144,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
19,1.204469132423401,0.09577314071696094,0.09504685408299866,0.720587432384491,0.9911071587372166,0.8349514563106796,0.6666666666666666,0.7413793103448276,0.8977934269000916,0.7201879496647227,0.0025687518887881535,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.573905348777771,3143280,0.06061953460797392,0.01979891724671307,0.9922480620155039,0.038823172581134366,0.8977934269000916,0.7201879496647227,0.9575400423088546,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
20,1.200628128222057,0.10219368646334938,0.0954177897574124,0.7205220460891724,0.9911071587372166,0.8349514563106796,0.6666666666666666,0.7413793103448276,0.8988183507043276,0.7224091717091723,0.0025687518887881535,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5757230520248413,3143280,0.06476952719727286,0.019885039614727356,0.9922480620155039,0.038988729820286325,0.8988183507043276,0.7224091717091723,0.9533091568449683,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
