round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9877707697663988,0.8004280363830926,0.21720881427072403,0.6915971636772156,0.9911071587372166,0.9726027397260274,0.5503875968992248,0.7029702970297029,0.8465700778473554,0.6030915754073602,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048701763153076,3143280,0.8147324736920113,0.0718105423987777,0.7286821705426356,0.13073713490959665,0.8465700778473554,0.6030915754073602,0.18359020852221214,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9864054422719138,0.8856340288924559,0.2571676802780191,0.6895885467529297,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8401645969062529,0.6148470026767243,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046919584274292,3143280,0.9060323106565881,0.1345875542691751,0.7209302325581395,0.22682926829268293,0.8401645969062529,0.6148470026767243,0.09035962526443034,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9831883895397187,0.8812199036918138,0.25752508361204013,0.6880669593811035,0.9909589447161702,0.9358974358974359,0.5658914728682171,0.7053140096618358,0.8445582988373265,0.6234947526420945,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5070803165435791,3143280,0.8996591077515933,0.12872628726287264,0.7364341085271318,0.21914648212226068,0.8445582988373265,0.6234947526420945,0.09715926261710486,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9820058046068465,0.8440342429106474,0.23490813648293962,0.6870052218437195,0.9908107306951237,0.9240506329113924,0.5658914728682171,0.7019230769230769,0.8503874797650757,0.6305175375136285,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5106158256530762,3143280,0.8652734548688306,0.09876543209876543,0.7441860465116279,0.17438692098092642,0.8503874797650757,0.6305175375136285,0.13236627379873073,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9765937915870121,0.7894596040663456,0.21063189568706117,0.6864147186279297,0.9909589447161702,0.925,0.5736434108527132,0.7081339712918661,0.8555173698229634,0.634507331270037,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.514945387840271,3143280,0.8185860382392174,0.07591014717273431,0.7596899224806202,0.13802816901408452,0.8555173698229634,0.634507331270037,0.1802659413720157,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9789731175558909,0.7430444087747459,0.19991670137442732,0.6860437393188477,0.9909589447161702,0.925,0.5736434108527132,0.7081339712918661,0.8585646147106436,0.6380441927285802,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5185622572898865,3143280,0.7887950200088928,0.06568364611260054,0.7596899224806202,0.12091301665638494,0.8585646147106436,0.6380441927285802,0.21063765488062858,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.9732709365231649,0.7201712145532371,0.19290123456790123,0.6854770183563232,0.9911071587372166,0.9367088607594937,0.5736434108527132,0.7115384615384616,0.8628616809687462,0.6431113967637635,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5221589803695679,3143280,0.7773825403883208,0.06246016571064372,0.7596899224806202,0.1154299175500589,0.8628616809687462,0.6431113967637635,0.2222725899063161,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9720039299556187,0.7204387372926698,0.19429452582883577,0.6845707893371582,0.9911071587372166,0.9367088607594937,0.5736434108527132,0.7115384615384616,0.8653759654782236,0.6470718585306284,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5255038142204285,3143280,0.7815325329776197,0.063595068137573,0.7596899224806202,0.11736526946107785,0.8653759654782236,0.6470718585306284,0.21804170444242973,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9715772722448622,0.7388978063135366,0.2019623875715454,0.683361291885376,0.9909589447161702,0.9047619047619048,0.5891472868217055,0.7136150234741784,0.8670580118586612,0.6512179585365673,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5221371650695801,3143280,0.7951682229138877,0.06763285024154589,0.7596899224806202,0.12420785804816223,0.8670580118586612,0.6512179585365673,0.20414022363251738,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9696528012411934,0.7677902621722846,0.21447963800904976,0.681772768497467,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8695980658809308,0.6545700427735526,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5239810347557068,3143280,0.8196235363865422,0.0763239875389408,0.7596899224806202,0.1387119603680113,0.8695980658809308,0.6545700427735526,0.1792082200060441,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
