round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9871209022828511,0.8858493752110773,0.25353356890459366,0.6894780397415161,0.9908841621581561,0.9235668789808917,0.56640625,0.7021791767554479,0.8447738524118003,0.6174488870844447,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041940808296204,3143280,0.911954346698288,0.14153846153846153,0.71875,0.2365038560411311,0.8447738524118003,0.6174488870844447,0.08430913348946135,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.9815614093201501,0.8468085106382979,0.24299065420560748,0.6867285966873169,0.9907359371525977,0.901840490797546,0.57421875,0.7016706443914081,0.8535339212529274,0.6380242593931942,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5084483027458191,3143280,0.8739346327725487,0.10454296661193213,0.74609375,0.18338934229476717,0.8535339212529274,0.6380242593931942,0.12359295912971217,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.9775799824510302,0.7452212090509963,0.2001696352841391,0.6856217384338379,0.9908841621581561,0.9030303030303031,0.58203125,0.7078384798099763,0.861125685814384,0.654617790774273,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5145124793052673,3143280,0.7962647298599274,0.06733772995487677,0.7578125,0.12368504941026458,0.861125685814384,0.654617790774273,0.20299161441414218,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.9729027697018215,0.7255656872678149,0.19400912517357666,0.6839544773101807,0.9908841621581561,0.893491124260355,0.58984375,0.7105882352941176,0.8650512649202992,0.6647170874803604,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5197087526321411,3143280,0.7923367672126288,0.06700680272108843,0.76953125,0.123279098873592,0.8650512649202992,0.6647170874803604,0.20722218025232303,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.9710627937316895,0.7759540695710908,0.22227432590855803,0.681171178817749,0.9908841621581561,0.8674033149171271,0.61328125,0.7185354691075515,0.8683305731566819,0.6712363084979828,0.0018130996449346529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5176951289176941,3143280,0.8304305936411472,0.08120362737015664,0.76953125,0.14690529455630127,0.8683305731566819,0.6712363084979828,0.16839162952330589,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.9653414717742376,0.8349881796690307,0.26349110642146517,0.6774875521659851,0.991180612169273,0.8784530386740331,0.62109375,0.7276887871853547,0.8723823078775403,0.6798395211002148,0.0016620080078567651,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5179409384727478,3143280,0.8771955828948343,0.10887772194304858,0.76171875,0.19052271617000488,0.8723823078775403,0.6798395211002148,0.12057112638815441,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.9612404249395643,0.8861870989530564,0.32029043969342474,0.6734136939048767,0.9914770621803898,0.8810810810810811,0.63671875,0.7392290249433107,0.8761988472180252,0.6855888780650802,0.0016620080078567651,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5169244408607483,3143280,0.9167716593789372,0.15347721822541965,0.75,0.25481088254810885,0.8761988472180252,0.6855888780650802,0.08000302183274156,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.9587804910114834,0.9129348193177981,0.36029776674937963,0.6693605780601501,0.991551174683169,0.8858695652173914,0.63671875,0.740909090909091,0.879468417126237,0.6915109216005757,0.0015864621893178213,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5164322853088379,3143280,0.9418957978210925,0.2079646017699115,0.734375,0.32413793103448274,0.879468417126237,0.6915109216005757,0.054090806073883814,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.9543480330705643,0.9308341776426883,0.40046838407494145,0.6653829216957092,0.9914770621803898,0.873015873015873,0.64453125,0.7415730337078652,0.8834856250472161,0.6980467242870889,0.0018130996449346529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5153500437736511,3143280,0.9573853109019491,0.2691751085383502,0.7265625,0.3928194297782471,0.8834856250472161,0.6980467242870889,0.03815063836216665,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.9495608792986189,0.9427895981087471,0.41946538725154214,0.66124027967453,0.9914029496776107,0.8608247422680413,0.65234375,0.7422222222222222,0.8852034071164162,0.7026850752558054,0.0020397371005514845,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5130563974380493,3143280,0.9676128362854813,0.33575317604355714,0.72265625,0.45848822800495664,0.8852034071164162,0.7026850752558054,0.027649769585253458,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
