round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2945359316893987,0.3629854778790949,0.11087018006976525,0.6936031579971313,0.9908841621581561,0.9182389937106918,0.5703125,0.7036144578313253,0.8589127245127295,0.6356284855966169,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5071633458137512,3143280,0.3489957755873416,0.026222222222222223,0.921875,0.05099394987035436,0.8589127245127295,0.6356284855966169,0.662083553675304,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.280073041830744,0.19432624113475178,0.1003167898627244,0.6964062452316284,0.9909582746609353,0.8941176470588236,0.59375,0.7136150234741784,0.8688806411479187,0.6674765717274225,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5171772837638855,3143280,0.19476765730378715,0.02267614505534059,0.984375,0.04433107573225437,0.8688806411479187,0.6674765717274225,0.8205031351514693,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.269613100375448,0.10746369469773726,0.09356564686513925,0.703120231628418,0.9911064996664938,0.8863636363636364,0.609375,0.7222222222222222,0.8753586950876332,0.6872355448871972,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5314188599586487,3143280,0.088045653301712,0.020151334129828752,0.98828125,0.03949730700179533,0.8753586950876332,0.6872355448871972,0.9293646596660875,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.257735678042684,0.08051334008780817,0.09228512369140494,0.7096260786056519,0.9907359371525977,0.8195121951219512,0.65625,0.7288503253796096,0.8776637278556318,0.6999346307190666,0.002795195285940923,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.537941575050354,3143280,0.058104202178907584,0.019523111351184504,0.98828125,0.0382898221717745,0.8776637278556318,0.6999346307190666,0.9598851703558208,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.251081655195781,0.07186761229314421,0.09246417013407304,0.7140945196151733,0.9912547246720522,0.8382352941176471,0.66796875,0.7434782608695653,0.8799177081759462,0.709257951906777,0.0024930120117851477,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5461909174919128,3143280,0.047432001778700064,0.019308555292681065,0.98828125,0.03787708660827906,0.8799177081759462,0.709257951906777,0.9707637682254288,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2376706486940383,0.07078689631881122,0.09260602862608007,0.7167724967002869,0.9914029496776107,0.8301886792452831,0.6875,0.7521367521367521,0.8828138279538416,0.7163522381963706,0.0027196494674019793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5516186952590942,3143280,0.04513451419254428,0.019262981574539362,0.98828125,0.037789395070948466,0.8828138279538416,0.7163522381963706,0.973105688600136,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2279814053433284,0.07328605200945626,0.09271260415288983,0.718039333820343,0.9914029496776107,0.8240740740740741,0.6953125,0.7542372881355932,0.8858507108389363,0.7226199032723237,0.002870741104479867,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5558364987373352,3143280,0.046394426739791,0.01928794693908668,0.98828125,0.037837433634936066,0.8858507108389363,0.7226199032723237,0.971821409684974,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2215855538845062,0.07862208713272544,0.09319949478162601,0.7190877795219421,0.9914770621803898,0.821917808219178,0.703125,0.7578947368421053,0.8883515430233436,0.727566140991487,0.002946286923018811,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.559738278388977,3143280,0.04965537686207663,0.019352864682934293,0.98828125,0.037962337759771925,0.8883515430233436,0.727566140991487,0.9684973936692604,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2101472280706678,0.08686254643701452,0.09384006970976606,0.7197228670120239,0.9914770621803898,0.8248847926267281,0.69921875,0.7568710359408034,0.8915173849814912,0.731631939352256,0.002870741104479867,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.566573441028595,3143280,0.05395390202327133,0.019439108720706876,0.98828125,0.038128249566724434,0.8915173849814912,0.731631939352256,0.9641157361940017,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.1993434833628793,0.10341100979398851,0.09540684203352869,0.7192486524581909,0.9916993996887274,0.8428571428571429,0.69140625,0.759656652360515,0.893412080012465,0.7349682154748196,0.0024930120117851477,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5737727284431458,3143280,0.06432965241236197,0.019650485436893204,0.98828125,0.03853476505978219,0.893412080012465,0.7349682154748196,0.9535393215985495,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
