round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.277168083935976,0.3379564606741573,0.14041486209254617,0.6938181519508362,0.9909589447161702,0.9594594594594594,0.5503875968992248,0.6995073891625616,0.853850550881903,0.5972999649841071,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5057547688484192,3143280,0.3405958203646065,0.0265234546251644,0.937984496124031,0.051588147516521,0.853850550881903,0.5972999649841071,0.6710486551828347,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2722337245941162,0.4097612359550562,0.14583333333333334,0.6935175657272339,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8463937909530268,0.6058272054606183,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5061607360839844,3143280,0.3788350377945754,0.02701443875174662,0.8992248062015504,0.05245308614062853,0.8463937909530268,0.6058272054606183,0.6313085524327592,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2715015150606632,0.35077247191011235,0.14318813716404077,0.6939988136291504,0.9906625166740773,0.9342105263157895,0.5503875968992248,0.6926829268292682,0.8489824556471544,0.6189884346832971,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5107470750808716,3143280,0.31777086112346226,0.026059322033898304,0.9534883720930233,0.05073210971334296,0.8489824556471544,0.6189884346832971,0.694620731338773,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2639942644163966,0.2868679775280899,0.139041966935142,0.6949495673179626,0.9906625166740773,0.9125,0.5658914728682171,0.6985645933014354,0.8560023052000534,0.6289091622018611,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5129184126853943,3143280,0.2584852527049059,0.024951267056530214,0.9922480620155039,0.048678455980224376,0.8560023052000534,0.6289091622018611,0.7558174675128437,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2668170239776373,0.21927668539325842,0.13127563977339324,0.6966174244880676,0.9908107306951237,0.935064935064935,0.5581395348837209,0.6990291262135923,0.8600709598674978,0.6366326573433347,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5216310620307922,3143280,0.19282644138135469,0.02296788085411807,0.9922480620155039,0.044896527534198524,0.8600709598674978,0.6366326573433347,0.8227561196736174,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2655979599803686,0.16766151685393257,0.12543811104962185,0.6989603638648987,0.9908107306951237,0.9135802469135802,0.5736434108527132,0.7047619047619048,0.8643346428931198,0.644600102425884,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5239030122756958,3143280,0.13739439751000446,0.021523457205313602,0.9922480620155039,0.04213298222514812,0.8643346428931198,0.644600102425884,0.8792686612269568,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.2439033826813102,0.13728932584269662,0.12218649517684887,0.7016576528549194,0.9909589447161702,0.9146341463414634,0.5813953488372093,0.7109004739336493,0.8680267112713507,0.6501451707999101,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.529882550239563,3143280,0.10300874462724174,0.02071532610454766,0.9922480620155039,0.040583386176284084,0.8680267112713507,0.6501451707999101,0.914324569356301,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2521455269306898,0.11973314606741572,0.12035087719298246,0.7044761776924133,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8708713140811646,0.6540130269354035,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.535706639289856,3143280,0.07959092930191196,0.020198832255010256,0.9922480620155039,0.039591710485617077,0.8708713140811646,0.6540130269354035,0.9381988516168026,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2581503512337804,0.10463483146067416,0.1188666205943331,0.7072272300720215,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8729773860811834,0.6578393350190349,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5431167483329773,3143280,0.06491774121831925,0.019888129272840272,0.9922480620155039,0.03899466869763899,0.8729773860811834,0.6578393350190349,0.9531580537926866,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2495395205914974,0.09533005617977527,0.11869334701556354,0.7095922827720642,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.8751841934493898,0.6621274177559575,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5483518838882446,3143280,0.056617756039721356,0.019716574245224893,0.9922480620155039,0.03866485425162362,0.8751841934493898,0.6621274177559575,0.9616198247204594,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
11,1.2390343770384789,0.0898876404494382,0.11926605504587157,0.7114947438240051,0.9911071587372166,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.87692422123361,0.6671017098316238,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5530886650085449,3143280,0.05202312138728324,0.01962287291123716,0.9922480620155039,0.03848466626578473,0.87692422123361,0.6671017098316238,0.9663040193411907,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
12,1.238006948493421,0.08725421348314606,0.11955969517358171,0.7130828499794006,0.9911071587372166,0.9058823529411765,0.5968992248062015,0.719626168224299,0.8787134453604336,0.6696656108210804,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5506303906440735,3143280,0.048465984882169855,0.019550939361539635,0.9922480620155039,0.03834631515877771,0.8787134453604336,0.6696656108210804,0.9699304925959504,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
13,1.2380340127274394,0.0860252808988764,0.11971592830571526,0.7144869565963745,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8807832057742448,0.6735604538916983,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5560088157653809,3143280,0.04579813250333482,0.019497334348819496,0.9922480620155039,0.03824320286824021,0.8807832057742448,0.6735604538916983,0.9726503475370203,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
14,1.2308628177270293,0.08462078651685394,0.11955420466058764,0.7155315279960632,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8818948088487821,0.6770479422115225,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5600913166999817,3143280,0.04490884837705647,0.019479531273778723,0.9922480620155039,0.0382089552238806,0.8818948088487821,0.6770479422115225,0.9735569658507102,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
15,1.2262506438419223,0.08514747191011236,0.11961479979726306,0.7162351608276367,0.9911071587372166,0.9058823529411765,0.5968992248062015,0.719626168224299,0.8832277954650342,0.6784977248156246,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5623665452003479,3143280,0.04505706239810286,0.019482496194824964,0.9922480620155039,0.038214658904314074,0.8832277954650342,0.6784977248156246,0.9734058627984286,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
16,1.222299630753696,0.08549859550561797,0.11965523069122866,0.7169256210327148,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8848641595273403,0.6823646736469652,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5667108297348022,3143280,0.04579813250333482,0.019497334348819496,0.9922480620155039,0.03824320286824021,0.8848641595273403,0.6823646736469652,0.9726503475370203,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
17,1.220089802518487,0.08637640449438203,0.11975642760487144,0.7174509763717651,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8868870662815296,0.683752076124776,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5693598985671997,3143280,0.04668741662961316,0.019515169995426133,0.9922480620155039,0.03827751196172249,0.8868870662815296,0.683752076124776,0.9717437292233303,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
18,1.2134986761957407,0.08760533707865169,0.11989839119390347,0.7179191708564758,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8881509437498388,0.6861643065981069,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.572424054145813,3143280,0.04802134281903068,0.019541984732824428,0.9922480620155039,0.03832909118131457,0.8881509437498388,0.6861643065981069,0.9703838017527954,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
19,1.2209027418866754,0.08760533707865169,0.11989839119390347,0.7184199094772339,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8893386840212621,0.6913651373772889,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5755143761634827,3143280,0.04965169705054098,0.019574858541061325,0.9922480620155039,0.03839232153569286,0.8893386840212621,0.6913651373772889,0.9687216681776972,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
20,1.221617597155273,0.08936095505617977,0.12040020349330167,0.7187583446502686,0.9912553727582629,0.9069767441860465,0.6046511627906976,0.7255813953488373,0.8902921559945745,0.694020371557151,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5710844993591309,3143280,0.05128205128205128,0.0196078431372549,0.9922480620155039,0.038455760853237195,0.8902921559945745,0.694020371557151,0.967059534602599,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
21,1.204744798131287,0.09304775280898876,0.1205311542390194,0.7188957333564758,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8916825383438638,0.6959267274640856,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5818600058555603,3143280,0.05306061953460797,0.019643953345610803,0.9922480620155039,0.03852520692249812,0.8916825383438638,0.6959267274640856,0.9652462979752191,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
22,1.2122426368296146,0.09691011235955056,0.12098427887901572,0.7188857793807983,0.9912553727582629,0.9166666666666666,0.5968992248062015,0.7230046948356808,0.8929159609334184,0.6987486145107982,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5856032371520996,3143280,0.055876685934489405,0.01970140064645221,0.9922480620155039,0.03863567763356474,0.8929159609334184,0.6987486145107982,0.9623753399818676,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
23,1.2069675317034125,0.09919241573033707,0.12095254411512764,0.7191622257232666,0.9908107306951237,0.8526315789473684,0.627906976744186,0.7232142857142857,0.8935426286308655,0.7011213565664693,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5680270195007324,3143280,0.057803468208092484,0.01974090067859346,0.9922480620155039,0.03871162861031302,0.8935426286308655,0.7011213565664693,0.960411000302206,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
24,1.1987384837120771,0.10586376404494383,0.12204792277193588,0.7192969918251038,0.9909589447161702,0.8541666666666666,0.6356589147286822,0.7288888888888889,0.8954062329423396,0.703782067636778,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5702009201049805,3143280,0.06047132058692752,0.019795855242808538,0.9922480620155039,0.038817285822592876,0.8954062329423396,0.703782067636778,0.9576911453611363,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
25,1.2041467148810625,0.11148174157303371,0.12272490899635985,0.7192416191101074,0.9909589447161702,0.8541666666666666,0.6356589147286822,0.7288888888888889,0.8963790320502458,0.704872446389698,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5721406936645508,3143280,0.06269453090262339,0.01984188497907301,0.9922480620155039,0.038905775075987845,0.8963790320502458,0.704872446389698,0.9554245995769115,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
26,1.2005934417247772,0.11569522471910113,0.12323759791122715,0.7192917466163635,0.9909589447161702,0.8541666666666666,0.6356589147286822,0.7288888888888889,0.8973617875608217,0.7078986076254138,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5740561485290527,3143280,0.06625166740773678,0.01991597946164618,0.9922480620155039,0.039048200122025624,0.8973617875608217,0.7078986076254138,0.9517981263221517,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
27,1.1848744843155146,0.12183988764044944,0.123378899404136,0.7191843390464783,0.9914035867793093,0.9176470588235294,0.6046511627906976,0.7289719626168224,0.8988546622905348,0.7108131341588984,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5928747653961182,3143280,0.06817844968133986,0.019956345494231368,0.9922480620155039,0.03912578327984105,0.8988546622905348,0.7108131341588984,0.9498337866424902,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
28,1.1832291008904576,0.1307935393258427,0.12449160035366932,0.7189384698867798,0.9911071587372166,0.8709677419354839,0.627906976744186,0.7297297297297297,0.8999252684129023,0.7119696846341064,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5793404579162598,3143280,0.07336594041796354,0.020065841040915505,0.9922480620155039,0.03933620159803319,0.8999252684129023,0.7119696846341064,0.9445451798126322,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
29,1.179016349837184,0.1386938202247191,0.12517831669044222,0.7186511158943176,0.9912553727582629,0.8723404255319149,0.6356589147286822,0.7354260089686099,0.9009701050224781,0.7136913492582588,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5792375206947327,3143280,0.07781236104935527,0.02016065522129469,0.9922480620155039,0.039518369867242976,0.9009701050224781,0.7136913492582588,0.9400120882441826,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
30,1.1855475129559636,0.14712078651685392,0.12657317511686444,0.7184929251670837,0.9912553727582629,0.8723404255319149,0.6356589147286822,0.7354260089686099,0.9022697084062493,0.7142556463329807,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5827558040618896,3143280,0.08136949755446865,0.02023715415019763,0.9922480620155039,0.039665323830182835,0.9022697084062493,0.7142556463329807,0.9363856149894227,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
31,1.1731633907184005,0.15572331460674158,0.12769816796662434,0.7182245850563049,0.9912553727582629,0.8723404255319149,0.6356589147286822,0.7354260089686099,0.9039435553962532,0.7158343196296502,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5851251482963562,3143280,0.08789091448050985,0.020378920554051903,0.9922480620155039,0.039937597503900156,0.9039435553962532,0.7158343196296502,0.9297370806890299,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
32,1.1738504488021135,0.16239466292134833,0.12858447488584474,0.7180981636047363,0.9912553727582629,0.8723404255319149,0.6356589147286822,0.7354260089686099,0.9054411154919283,0.7176868565241162,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5875746607780457,3143280,0.09456054542759745,0.02052597819114817,0.9922480620155039,0.04021995286724273,0.9054411154919283,0.7176868565241162,0.9229374433363554,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
33,1.1651749312877655,0.1716994382022472,0.1298413869420878,0.7176893353462219,0.9912553727582629,0.8723404255319149,0.6356589147286822,0.7354260089686099,0.9062048301437704,0.7190607942995038,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5879498720169067,3143280,0.10286053060619535,0.020711974110032363,0.9922480620155039,0.040576953558408624,0.9062048301437704,0.7190607942995038,0.9144756724085826,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
34,1.1627800585702062,0.18205758426966293,0.13126981167257132,0.7172439694404602,0.9914035867793093,0.9080459770114943,0.6124031007751938,0.7314814814814815,0.9077668140214261,0.7198789983946832,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6086907386779785,3143280,0.11145694382688602,0.020908199934661875,0.9922480620155039,0.04095344744840825,0.9077668140214261,0.7198789983946832,0.9057116953762466,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
35,1.1618923200294375,0.19188904494382023,0.13265498398341813,0.7169255614280701,0.9914035867793093,0.9080459770114943,0.6124031007751938,0.7314814814814815,0.9088977442305575,0.7215780599066796,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6118836402893066,3143280,0.11975692900548392,0.020943271767810027,0.9844961240310077,0.041014048118843856,0.9088977442305575,0.7215780599066796,0.8970988213961922,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
36,1.1658018780872226,0.203125,0.13394390383514596,0.7163025736808777,0.9914035867793093,0.9080459770114943,0.6124031007751938,0.7314814814814815,0.9094629164997505,0.7230375787046688,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6138409376144409,3143280,0.12731584407884985,0.021120904706469316,0.9844961240310077,0.04135460761966786,0.9094629164997505,0.7230375787046688,0.8893925657298277,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
37,1.1524983188137412,0.21383426966292135,0.13518733101583624,0.7154678106307983,0.9914035867793093,0.9080459770114943,0.6124031007751938,0.7314814814814815,0.9109792180592745,0.724814189653899,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6155483722686768,3143280,0.14213724618348897,0.02147809910366988,0.9844961240310077,0.042039059913935785,0.9109792180592745,0.724814189653899,0.8742822605016621,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
38,1.153679589740932,0.22419241573033707,0.13674545809728464,0.7149746417999268,0.9912553727582629,0.8888888888888888,0.6201550387596899,0.730593607305936,0.9121411888179054,0.7250460837218498,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.61281818151474,3143280,0.15592115014080332,0.021821305841924397,0.9844961240310077,0.04269625147083544,0.9121411888179054,0.7250460837218498,0.8602296766394681,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
39,1.1459377072751522,0.23665730337078653,0.1386687797147385,0.7143948674201965,0.9912553727582629,0.8888888888888888,0.6201550387596899,0.730593607305936,0.913278561405235,0.7258077495475173,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6151314377784729,3143280,0.16674077367718987,0.022098486166695668,0.9844961240310077,0.04322668481960518,0.913278561405235,0.7258077495475173,0.8491991538229072,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
40,1.1487487154081464,0.25895365168539325,0.14189875991055093,0.7135555744171143,0.9914035867793093,0.898876404494382,0.6201550387596899,0.7339449541284404,0.9145459528980159,0.7281201482776674,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6181634664535522,3143280,0.18348895805543206,0.022541711040113595,0.9844961240310077,0.04407426687489155,0.9145459528980159,0.7281201482776674,0.83212450891508,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
41,1.144363697618246,0.27071629213483145,0.14385820280296785,0.7131325006484985,0.9903660886319846,0.7758620689655172,0.6976744186046512,0.7346938775510204,0.9163937440993671,0.7281120873069158,0.003928679359323058,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5833688378334045,3143280,0.1941603675707722,0.02283351312477526,0.9844961240310077,0.044631874890177475,0.9163937440993671,0.7281120873069158,0.8212450891508009,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
42,1.1401221416890621,0.2870435393258427,0.14666946837570918,0.7123441696166992,0.9914035867793093,0.9080459770114943,0.6124031007751938,0.7314814814814815,0.9175047615031591,0.7280293675561026,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6283702254295349,3143280,0.21135319401215355,0.023319867792875506,0.9844961240310077,0.04556053811659193,0.9175047615031591,0.7280293675561026,0.8037171350861287,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
43,1.1302969520911574,0.3049508426966292,0.14878520748226187,0.7113484144210815,0.9915518008003558,0.9090909090909091,0.6201550387596899,0.7373271889400922,0.9183223578635669,0.7281615609338967,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6298062801361084,3143280,0.2286942344745813,0.023831863389003564,0.9844961240310077,0.04653719311102968,0.9183223578635669,0.7281615609338967,0.786038077969175,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
44,1.140546279028058,0.3240870786516854,0.1516086381665932,0.7103732824325562,0.9915518008003558,0.9090909090909091,0.6201550387596899,0.7373271889400922,0.9193080417278693,0.7287039143614894,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6325292587280273,3143280,0.24929598340002965,0.02447013487475915,0.9844961240310077,0.04775333709343862,0.9193080417278693,0.7287039143614894,0.7650347537020248,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
45,1.1361957471817732,0.34094101123595505,0.15488518685276903,0.7095040082931519,0.9915518008003558,0.9090909090909091,0.6201550387596899,0.7373271889400922,0.9209022374965151,0.7291701828484078,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6343051195144653,3143280,0.2693048762412924,0.025123639960435214,0.9844961240310077,0.048996913580246916,0.9209022374965151,0.7291701828484078,0.7446358416440012,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
46,1.1270217634737492,0.359375,0.15863500115287066,0.7086871266365051,0.9915518008003558,0.9090909090909091,0.6201550387596899,0.7373271889400922,0.921783086297413,0.7307284953690828,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6376430988311768,3143280,0.28842448495627687,0.025588952071486596,0.9767441860465116,0.04987136354640807,0.921783086297413,0.7307284953690828,0.7249924448473859,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
47,1.127806237898767,0.37377106741573035,0.1616921269095182,0.7078573107719421,0.9914035867793093,0.898876404494382,0.6201550387596899,0.7339449541284404,0.9227465146733946,0.7309452252146201,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6406410932540894,3143280,0.30650659552393655,0.026436303080766027,0.9844961240310077,0.05148996553821204,0.9227465146733946,0.7309452252146201,0.7067089755213055,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
48,1.1197675131261349,0.390625,0.16462093862815885,0.706752359867096,0.9914035867793093,0.898876404494382,0.6201550387596899,0.7339449541284404,0.9239283982373653,0.7306901158492827,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6395074725151062,3143280,0.33096190899659106,0.027172740996333836,0.9767441860465116,0.05287452790600084,0.9239283982373653,0.7306901158492827,0.6816258688425506,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
49,1.1124106450006366,0.40765449438202245,0.16814595660749507,0.7057719826698303,0.9914035867793093,0.898876404494382,0.6201550387596899,0.7339449541284404,0.9247928482573952,0.7307429834975446,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6440545916557312,3143280,0.35734400474284866,0.0282574568288854,0.9767441860465116,0.05492589363557106,0.9247928482573952,0.7307429834975446,0.6547295255364158,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
50,1.1251124739646912,0.4216994382022472,0.17111222949169602,0.7050506472587585,0.9914035867793093,0.898876404494382,0.6201550387596899,0.7339449541284404,0.9259700464554035,0.7324712902857052,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.6439562439918518,3143280,0.3743886171631836,0.029005524861878452,0.9767441860465116,0.056338028169014086,0.9259700464554035,0.7324712902857052,0.6373526745240253,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
