round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8306826359033583,0.9171225937183384,0.24677716390423574,0.687398374080658,0.9908841621581561,0.9290322580645162,0.5625,0.7007299270072993,0.8369293339691773,0.6076447113601247,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026137232780457,3143280,0.9670199362632476,0.31287128712871287,0.6171875,0.4152431011826544,0.8369293339691773,0.6076447113601247,0.026214399033013522,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8237001471008574,0.9258358662613981,0.28793774319066145,0.6818450093269348,0.9909582746609353,0.9652777777777778,0.54296875,0.695,0.8398824082118305,0.6129011060595116,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5051921010017395,3143280,0.9657600237160009,0.30711610486891383,0.640625,0.4151898734177215,0.8398824082118305,0.6129011060595116,0.027951952859409233,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.8175957797254836,0.9200945626477541,0.2928870292887029,0.6768104434013367,0.9908841621581561,0.9586206896551724,0.54296875,0.6932668329177057,0.8415622698213341,0.616044313441436,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5083667635917664,3143280,0.9552360483213518,0.24635568513119532,0.66015625,0.35881104033970274,0.8415622698213341,0.616044313441436,0.03905718818463398,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.81145409652165,0.9357649442755825,0.3192555476020043,0.6710020899772644,0.9907359371525977,0.9645390070921985,0.53125,0.6851385390428212,0.8417955470461586,0.6164895440705822,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5093342661857605,3143280,0.9672422737715852,0.31906614785992216,0.640625,0.42597402597402595,0.8417955470461586,0.6164895440705822,0.026441036488630356,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8068619236775807,0.9492063492063492,0.32616487455197135,0.6645012497901917,0.99051359964426,0.9637681159420289,0.51953125,0.6751269035532995,0.8398196992804261,0.6113186778576363,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5072523951530457,3143280,0.9822129993329874,0.5266666666666666,0.6171875,0.5683453237410072,0.8398196992804261,0.6113186778576363,0.01072750623253003,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.8004975426197052,0.9567038162782844,0.33712512926577043,0.6574847102165222,0.99051359964426,0.9776119402985075,0.51171875,0.6717948717948717,0.8419764438694568,0.6126282507625938,0.0002266374556168316,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505831241607666,3143280,0.9885125620692211,0.7821229050279329,0.546875,0.6436781609195402,0.8419764438694568,0.6126282507625938,0.002946286923018811,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7950515219143459,0.9592705167173252,0.30927835051546393,0.6504884958267212,0.9899206996220262,0.9054054054054054,0.5234375,0.6633663366336634,0.8423445821844073,0.6120864011109125,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4988022744655609,3143280,0.9901430371303639,0.9555555555555556,0.50390625,0.659846547314578,0.8423445821844073,0.6120864011109125,0.0004532749112336632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7905478124107633,0.9597433299560959,0.28365384615384615,0.6435589790344238,0.9904394871414808,0.9703703703703703,0.51171875,0.670076726342711,0.8440092460999471,0.6120012027575031,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49712473154067993,3143280,0.9899948121248054,0.984,0.48046875,0.6456692913385826,0.8440092460999471,0.6120012027575031,0.00015109163707788774,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7852965394939695,0.9592705167173252,0.25830258302583026,0.6368519067764282,0.9902171496331431,0.918918918918919,0.53125,0.6732673267326733,0.8461084460225126,0.6162187970634512,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49193623661994934,3143280,0.9893277995997924,0.9912280701754386,0.44140625,0.6108108108108108,0.8461084460225126,0.6162187970634512,7.554581853894387e-05,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7800007968289512,0.9580547112462006,0.2188679245283019,0.6303243637084961,0.9899948121248054,0.9172413793103448,0.51953125,0.6633416458852868,0.8446444506874669,0.607792013609479,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.48812684416770935,3143280,0.9883643370636627,0.9900990099009901,0.390625,0.5602240896358543,0.8446444506874669,0.607792013609479,7.554581853894387e-05,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
