round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2653510203318936,0.44317375886524824,0.15133090122956358,0.6933311223983765,0.9908100496553769,0.9230769230769231,0.5625,0.6990291262135923,0.8503823916861828,0.6118505705667338,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5061982870101929,3143280,0.4228859408582228,0.028428303068252975,0.88671875,0.055090401650285156,0.8503823916861828,0.6118505705667338,0.5860844602251265,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,1.2564835224832807,0.31329787234042555,0.14105123087159016,0.6944453120231628,0.9906618246498184,0.891566265060241,0.578125,0.7014218009478673,0.8605053838199743,0.6385956734005032,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5113517045974731,3143280,0.31193952419773213,0.02574070182811515,0.95703125,0.05013300593411091,0.8605053838199743,0.6385956734005032,0.7005363753116265,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,1.2744960185672554,0.17358156028368793,0.12584396099024756,0.6983327269554138,0.9908100496553769,0.9024390243902439,0.578125,0.7047619047619048,0.8666014297046158,0.6585007052319571,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.523082971572876,3143280,0.15711850589194398,0.021767185752387508,0.98828125,0.042596178129472174,0.8666014297046158,0.6585007052319571,0.8589559567877918,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,1.2475132837891578,0.12535460992907801,0.12067736185383245,0.7035625576972961,0.9908100496553769,0.8928571428571429,0.5859375,0.7075471698113207,0.8717242329738613,0.673026791944262,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5331434011459351,3143280,0.0935299785073742,0.0202708116336832,0.98828125,0.03972678024652587,0.8717242329738613,0.673026791944262,0.9237742690942057,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,1.2538101297404083,0.10132978723404255,0.11890482398956975,0.7083450555801392,0.9907359371525977,0.8465608465608465,0.625,0.7191011235955056,0.8741452403773513,0.6849238370785747,0.002190828737629372,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5365045666694641,3143280,0.06521900244571259,0.019668817538676824,0.98828125,0.03857001295830475,0.8741452403773513,0.6849238370785747,0.9526327717760822,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,1.2406741092247624,0.09228723404255319,0.11907424933321861,0.7118209004402161,0.9907359371525977,0.8324873096446701,0.640625,0.7240618101545254,0.8770488852270152,0.6920393238005947,0.0024930120117851477,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.541021466255188,3143280,0.05358333950937523,0.01943164362519201,0.98828125,0.03811388972582103,0.8770488852270152,0.6920393238005947,0.9644934652866963,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,1.246213372796774,0.08785460992907801,0.11901703913006251,0.7142640352249146,0.9907359371525977,0.8133971291866029,0.6640625,0.7311827956989247,0.8798765416068596,0.6983396098956764,0.002946286923018811,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5451343655586243,3143280,0.048321351812050696,0.01932625467878695,0.98828125,0.0379111410803926,0.8798765416068596,0.6983396098956764,0.9698572184029614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,1.2227095783821174,0.087677304964539,0.11929824561403508,0.715558648109436,0.9910323871637146,0.8292682926829268,0.6640625,0.737527114967462,0.8818281911025913,0.7022527608050753,0.0026441036488630354,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5500229001045227,3143280,0.047654339287037724,0.019312977099236642,0.98828125,0.037885594489368075,0.8818281911025913,0.7022527608050753,0.9705371307698119,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,1.2152921803295613,0.09042553191489362,0.11976664378860673,0.716360330581665,0.9912547246720522,0.8285714285714286,0.6796875,0.7467811158798283,0.883895225032107,0.7084201014103326,0.0027196494674019793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5509446859359741,3143280,0.04980360186763507,0.019355825874072374,0.98828125,0.037968034816537856,0.883895225032107,0.7084201014103326,0.9683463020321825,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,1.2094363010355405,0.09388297872340426,0.12001721911321567,0.717056930065155,0.9911064996664938,0.8148148148148148,0.6875,0.7457627118644068,0.8868044767979903,0.7113693690608305,0.0030218327415577548,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5532911419868469,3143280,0.05261987697324538,0.019412261183150464,0.98828125,0.03807660471066295,0.8868044767979903,0.7113693690608305,0.9654755609277027,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
