round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7075763739858355,0.8267477203647416,0.21246545901136016,0.6908351182937622,0.9908841621581561,0.934640522875817,0.55859375,0.6992665036674817,0.8344959323298331,0.6040706579180486,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045369267463684,3143280,0.8402875565107834,0.0811645346272607,0.71875,0.1458581054300436,0.8344959323298331,0.6040706579180486,0.15736194001662007,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7037460826975959,0.7437352245862884,0.17485863418877773,0.6892034411430359,0.9906618246498184,0.9577464788732394,0.53125,0.6834170854271356,0.8350043911007026,0.6009189053844302,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5091226100921631,3143280,0.7817386793152005,0.06162373655037496,0.73828125,0.11375263316280469,0.8350043911007026,0.6009189053844302,0.21742086575508046,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6999789986440114,0.6308679500168862,0.15258179562722904,0.6885708570480347,0.9904394871414808,0.9635036496350365,0.515625,0.6717557251908397,0.8342430308982398,0.5950552878716577,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5146369934082031,3143280,0.7159267768472541,0.048016173869092744,0.7421875,0.09019700925706148,0.8342430308982398,0.5950552878716577,0.28458109843620155,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6963833771433149,0.6260047281323877,0.1506366007056297,0.6871068477630615,0.9896242496109093,0.9084507042253521,0.50390625,0.6482412060301508,0.8296452120476694,0.5748508271899442,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5152360796928406,3143280,0.7262284147335656,0.049055613850996854,0.73046875,0.09193706981317601,0.8296452120476694,0.5748508271899442,0.2738535922036715,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6927308998789106,0.683080040526849,0.15974212034383956,0.6846097707748413,0.9894019121025717,0.959349593495935,0.4609375,0.6226912928759895,0.8210747455050238,0.545008429147832,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5166563987731934,3143280,0.7825539168457719,0.059539473684210524,0.70703125,0.10983009708737865,0.8210747455050238,0.545008429147832,0.21598549520284052,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.688975538781711,0.7644039175954069,0.18542737038766932,0.6813200116157532,0.9891054620914548,0.9739130434782609,0.4375,0.6037735849056604,0.8155264068047896,0.5307543812142358,0.0002266374556168316,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5164461731910706,3143280,0.846957681760913,0.07871448532836516,0.66015625,0.1406575114440283,0.8155264068047896,0.5307543812142358,0.14942962907003096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6854699496712002,0.8373522458628841,0.21614583333333334,0.6778444051742554,0.9885125620692211,0.904,0.44140625,0.5931758530183727,0.8026772729848153,0.509561520773322,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5123035907745361,3143280,0.8939450085229378,0.10223425863236289,0.58984375,0.17426428159261395,0.8026772729848153,0.509561520773322,0.10017375538263958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6819331982306072,0.8889564336372847,0.23177570093457944,0.6742918491363525,0.9882902245608834,0.9016393442622951,0.4296875,0.582010582010582,0.7881155213605802,0.494820587756536,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5100491046905518,3143280,0.9287778848291707,0.1442986881937437,0.55859375,0.2293504410585405,0.7881155213605802,0.494820587756536,0.0640628541210244,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6783726053578514,0.9213779128672746,0.2311756935270806,0.6707970499992371,0.9882902245608834,0.9803921568627451,0.390625,0.5586592178770949,0.7729297789812647,0.47301465261265974,0.00015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5096029043197632,3143280,0.9549395983102349,0.215210355987055,0.51953125,0.30434782608695654,0.7729297789812647,0.47301465261265974,0.03663972199138778,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6749575250489371,0.9388044579533942,0.20804195804195805,0.6673360466957092,0.986437411991403,0.8016528925619835,0.37890625,0.5145888594164456,0.7415813628465665,0.43738689867233255,0.0018130996449346529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048945546150208,3143280,0.9738382865189358,0.34796238244514105,0.43359375,0.38608695652173913,0.7415813628465665,0.43738689867233255,0.015713530256100325,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
