round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8321871326650891,0.8650347779561263,0.23963828183873398,0.6905679106712341,0.9911071587372166,0.9726027397260274,0.5503875968992248,0.7029702970297029,0.8407209841142667,0.5984297877951533,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039825439453125,3143280,0.8903216244256706,0.11378002528445007,0.6976744186046512,0.1956521739130435,0.8407209841142667,0.5984297877951533,0.10592323964944092,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.8292898062297276,0.9147940074906367,0.2443653618030842,0.6874971985816956,0.9908107306951237,0.9466666666666667,0.5503875968992248,0.696078431372549,0.8317754491508946,0.6031220819005274,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034445524215698,3143280,0.9650214910330517,0.2981132075471698,0.6124031007751938,0.4010152284263959,0.8317754491508946,0.6031220819005274,0.028105167724388033,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.825578009401049,0.9232209737827716,0.25647668393782386,0.6847060918807983,0.9906625166740773,0.9342105263157895,0.5503875968992248,0.6926829268292682,0.8329590897271009,0.6071647028985413,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037053227424622,3143280,0.9693196976433971,0.3347457627118644,0.6124031007751938,0.4328767123287671,0.8329590897271009,0.6071647028985413,0.023723179208220008,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.8229468347345079,0.922418405564473,0.27680798004987534,0.6820796132087708,0.9903660886319846,0.9444444444444444,0.5271317829457365,0.6766169154228856,0.8358552315624992,0.6053887648476031,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.505950927734375,3143280,0.9638357788646806,0.2924187725631769,0.627906976744186,0.39901477832512317,0.8358552315624992,0.6053887648476031,0.029616198247204593,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.8182620685441153,0.9184055644729802,0.2823529411764706,0.679620623588562,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8383004069240338,0.6010489403591814,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5081725120544434,3143280,0.9567215058544538,0.2537764350453172,0.6511627906976745,0.3652173913043478,0.8383004069240338,0.6010489403591814,0.03732245391356905,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.8172760418483189,0.9184055644729802,0.28738317757009346,0.6771762371063232,0.9903660886319846,0.9848484848484849,0.5038759689922481,0.6666666666666666,0.8386810929084644,0.5958334412603868,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5107079744338989,3143280,0.9547947235808507,0.2441860465116279,0.6511627906976745,0.35517970401691334,0.8386810929084644,0.5958334412603868,0.03928679359323058,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.8125175029890879,0.9236222578919208,0.2976629766297663,0.6744751930236816,0.9900696605898918,0.984375,0.4883720930232558,0.6528497409326425,0.8403373697761097,0.5873520099908089,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5153713822364807,3143280,0.9565732918334074,0.25301204819277107,0.6511627906976745,0.3644251626898048,0.8403373697761097,0.5873520099908089,0.03747355696585071,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.8100163027218412,0.9308453718566078,0.30604026845637583,0.671471118927002,0.9899214465688454,0.9552238805970149,0.49612403100775193,0.6530612244897959,0.8406512892955786,0.5838819653177005,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5112011432647705,3143280,0.9622054246331703,0.2827586206896552,0.6356589147286822,0.3914081145584726,0.8406512892955786,0.5838819653177005,0.031429434874584466,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.8079915990148272,0.9387372926698769,0.2996941896024465,0.668323814868927,0.9900696605898918,0.984375,0.4883720930232558,0.6528497409326425,0.8404814447794482,0.581613899790587,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5127083659172058,3143280,0.9715429079590929,0.3561643835616438,0.6046511627906976,0.4482758620689655,0.8404814447794482,0.581613899790587,0.02130553037171351,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.8051436601366315,0.9466292134831461,0.3060869565217391,0.6649277806282043,0.9900696605898918,0.984375,0.4883720930232558,0.6528497409326425,0.8404732453890144,0.5786973457815526,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5111899971961975,3143280,0.9792500370535052,0.46405228758169936,0.5503875968992248,0.5035460992907801,0.8404732453890144,0.5786973457815526,0.0123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
11,0.8026535204478673,0.9526484751203852,0.3218390804597701,0.6614066362380981,0.9896250185267527,0.9154929577464789,0.5038759689922481,0.65,0.8410073771087075,0.5805302079597932,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.506205677986145,3143280,0.982955387579665,0.5564516129032258,0.5348837209302325,0.5454545454545454,0.8410073771087075,0.5805302079597932,0.008310667875491085,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
12,0.7991553851536342,0.9562600321027287,0.3312883435582822,0.6578922867774963,0.9894768045057062,0.8918918918918919,0.5116279069767442,0.6502463054187192,0.8402038368461865,0.5792440440964766,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032116770744324,3143280,0.9862160960426857,0.6836734693877551,0.5193798449612403,0.5903083700440529,0.8402038368461865,0.5792440440964766,0.004684194620731339,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
13,0.7976612690516881,0.9578651685393258,0.31670281995661603,0.6544540524482727,0.9893285904846598,0.88,0.5116279069767442,0.6470588235294118,0.8400732322699895,0.5787786285038576,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014247894287109,3143280,0.9885875203794279,0.8170731707317073,0.5193798449612403,0.6350710900473934,0.8400732322699895,0.5787786285038576,0.0022665457842248413,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
14,0.7935551260198865,0.958533975387908,0.3141592920353982,0.6509614586830139,0.9899214465688454,0.9420289855072463,0.5038759689922481,0.6565656565656566,0.8409095700942462,0.5781876368082592,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017383098602295,3143280,0.9891803764636135,0.8783783783783784,0.5038759689922481,0.6403940886699507,0.8409095700942462,0.5781876368082592,0.0013599274705349048,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
